表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,J44.0 慢性阻塞性肺病伴有急性下呼吸道感染,
CM_0_1_3_1,CM-0-1-3-1,b,J44.1 未特指的慢性阻塞性肺病伴有急性加重,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,J44.000 慢性阻塞性肺病伴有急性下呼吸道感染,
CM_0_1_3_2,CM-0-1-3-2,b,J44.000x001 慢性阻塞性支气管炎合并感染,
CM_0_1_3_2,CM-0-1-3-2,c,J44.100 慢性阻塞性肺病伴有急性加重,
CM_0_1_3_2,CM-0-1-3-2,d,J44.100x001 慢性阻塞性肺气肿性支气管炎伴急性加重,
CM_0_1_4_1,CM-0-1-4-1,a,31.1 暂时性气管造口术,
CM_0_1_4_1,CM-0-1-4-1,b,93.90 无创机械性通气,
CM_0_1_4_1,CM-0-1-4-1,c,93.91 间歇性正压通气[IPPB],
CM_0_1_4_1,CM-0-1-4-1,d,93.94 喷雾法给予呼吸药物,
CM_0_1_4_1,CM-0-1-4-1,e,93.95 高压给氧,
CM_0_1_4_1,CM-0-1-4-1,f,93.96 其他富氧疗法,
CM_0_1_4_1,CM-0-1-4-1,g,93.98 其他控制气压和空气成分的疗法,
CM_0_1_4_1,CM-0-1-4-1,h,93.99 其他呼吸操作,
CM_0_1_4_1,CM-0-1-4-1,i,96.70 未特指时间的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,j,96.71 小于96小时连续的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,k,96.72 大于等于96小时连续的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,l,39.65 体外膜氧合[ECMO],
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,31.1x00 暂时性气管造口术,
CM_0_1_4_2,CM-0-1-4-2,b,31.1x00x005 暂时性气管切开术,
CM_0_1_4_2,CM-0-1-4-2,c,93.9000 无创机械性通气,
CM_0_1_4_2,CM-0-1-4-2,d,93.9000x002 无创呼吸机辅助通气(双水平气道正压[BiPAP]),
CM_0_1_4_2,CM-0-1-4-2,e,93.9000x003 无创呼吸机辅助通气(高频通气[HFPPV]),
CM_0_1_4_2,CM-0-1-4-2,f,93.9001 持续性气道正压通气（CPAP）,
CM_0_1_4_2,CM-0-1-4-2,g,93.9100 间歇性正压通气[IPPB],
CM_0_1_4_2,CM-0-1-4-2,h,93.9400 喷雾法给予呼吸药物,
CM_0_1_4_2,CM-0-1-4-2,i,93.9401 雾化吸入,
CM_0_1_4_2,CM-0-1-4-2,j,93.9500 高压给氧,
CM_0_1_4_2,CM-0-1-4-2,k,93.9600 其他富氧疗法,
CM_0_1_4_2,CM-0-1-4-2,l,93.9601 吸氧,
CM_0_1_4_2,CM-0-1-4-2,n,93.9800 其他控制气压和空气成分的疗法,
CM_0_1_4_2,CM-0-1-4-2,o,93.9900 其他呼吸操作,
CM_0_1_4_2,CM-0-1-4-2,p,96.7000 未特指时间的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,q,96.7100 少于96小时连续的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,r,96.7101 呼吸机治疗[小于96小时],
CM_0_1_4_2,CM-0-1-4-2,s,96.7200 等于或大于96小时连续的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,t,96.7201 呼吸机治疗[大于等于96小时],
CM_0_1_4_2,CM-0-1-4-2,u,39.6500 体外膜氧合[ECMO],
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
