表代号,表名,选择字母,内容,
ALL_0_1_1,ALL-0-1-1,def,请选择,
ALL_0_1_1,ALL-0-1-1,a,日间化疗,
ALL_0_1_1,ALL-0-1-1,b,住院化疗,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C91.0 急性淋巴细胞白血病,
CM_0_1_3_1,CM-0-1-3-1,oth,其他,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,C91.000 急性淋巴细胞白血病,
CM_0_1_3_2,CM-0-1-3-2,b,C91.000x006 前B细胞急性淋巴细胞白血病,
CM_0_1_3_2,CM-0-1-3-2,c,C91.000x007 前T细胞急性淋巴细胞白血病,
CM_0_1_3_2,CM-0-1-3-2,oth,其他,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,99.25 注射或输注癌瘤化学治疗药物,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,99.2500 注射或输注癌瘤化学治疗药物,
CM_0_1_4_2,CM-0-1-4-2,b,99.2503 静脉注射化疗药物,
CM_0_1_4_2,CM-0-1-4-2,c,99.2500x036 椎管内注射药物,
CM_0_1_4_2,CM-0-1-4-2,oth,其他,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_2_2_1,CM-0-2-2-1,UTD,无法确定或无记录,
ALL_0_2_3_1,ALL-0-2-3-1,UTD,无法确定或无记录,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
CM_0_3_3,CM-0-3-3,def,请选择,
CM_0_3_3,CM-0-3-3,a,救护车,
CM_0_3_3,CM-0-3-3,b,出租车,
CM_0_3_3,CM-0-3-3,c,私家车,
CM_0_3_3,CM-0-3-3,d,其他,
ALL_1_1_1,ALL-1-1-1,a,面色苍白、精神不振、乏力、食欲低下,
ALL_1_1_1,ALL-1-1-1,b,类似风湿热的骨关节痛,
ALL_1_1_1,ALL-1-1-1,c,出血：以皮肤和黏膜出血多见，表现为紫癜、瘀斑、鼻衄、齿龈出血，消化道出血和血尿。,
ALL_1_1_1,ALL-1-1-1,d,贫血：表现为苍白、虚弱无力、活动后气促、嗜睡等,
ALL_1_1_1,ALL-1-1-1,e,发热,
ALL_1_1_1,ALL-1-1-1,f,感染：如呼吸道感染如扁桃体炎、气管炎和肺炎；消化道感染如胃肠炎；少数患儿发病时即有较严重的感染如脓毒血症。,
ALL_1_1_1,ALL-1-1-1,g,白血病细胞浸润：常见部位：肝、脾、淋巴结、骨和关节。少见部位：中枢神经系统、皮肤、睾丸、胸腺、心脏、肾脏等。,
ALL_1_1_1,ALL-1-1-1,h,呈现恶液质状况,
ALL_1_1_1,ALL-1-1-1,oth,其他,
ALL_1_1_2,ALL-1-1-2,a,血常规检查,
ALL_1_1_2,ALL-1-1-2,b,生化检查: 肝肾功能、LDH、电解质等,
ALL_1_1_2,ALL-1-1-2,c,凝血功能检查: PT、APTT、TT、FIB、DD二聚体、FDP等,
ALL_1_1_2,ALL-1-1-2,oth,其他,
ALL_1_1_3,ALL-1-1-3,a,超声(US)检查,
ALL_1_1_3,ALL-1-1-3,b,电子计算机断层成像CT,
ALL_1_1_3,ALL-1-1-3,c,磁共振MRI,
ALL_1_1_3,ALL-1-1-3,oth,其他,
ALL_1_1_4,ALL-1-1-4,a,常规检查,
ALL_1_1_4,ALL-1-1-4,b,生化检查,
ALL_1_1_4,ALL-1-1-4,c,离心甩片法检查,
ALL_1_1_4,ALL-1-1-4,oth,其他,
ALL_1_2_1,ALL-1-2-1,def,请选择,
ALL_1_2_1,ALL-1-2-1,a,骨髓细胞形态学（Morphology）,
ALL_1_2_1,ALL-1-2-1,b,细胞化学染色,
ALL_1_2_1,ALL-1-2-1,UTD,无法确定或无记录,
ALL_1_2_2,ALL-1-2-2,def,请选择,
ALL_1_2_2,ALL-1-2-2,a,B细胞型 ALL,
ALL_1_2_2,ALL-1-2-2,b,T细胞型 ALL,
ALL_1_2_2,ALL-1-2-2,UTD,无法确定或无记录,
ALL_1_2_2_1,ALL-1-2-2-1,def,请选择,
ALL_1_2_2_1,ALL-1-2-2-1,a,Ⅰ（早期前B）,
ALL_1_2_2_1,ALL-1-2-2-1,b,Ⅱ（普通B）,
ALL_1_2_2_1,ALL-1-2-2-1,c,Ⅲ（前B）,
ALL_1_2_2_1,ALL-1-2-2-1,d,Ⅳ（成熟B）,
ALL_1_2_2_1,ALL-1-2-2-1,UTD,无法确定或无记录,
ALL_1_2_2_2,ALL-1-2-2-2,def,请选择,
ALL_1_2_2_2,ALL-1-2-2-2,a,早前T,
ALL_1_2_2_2,ALL-1-2-2-2,b,前T,
ALL_1_2_2_2,ALL-1-2-2-2,c,皮质T,
ALL_1_2_2_2,ALL-1-2-2-2,d,髓质T,
ALL_1_2_2_2,ALL-1-2-2-2,UTD,无法确定或无记录,
ALL_1_2_2_5,ALL-1-2-2-5,a,染色体G带或R带分析,
ALL_1_2_2_5,ALL-1-2-2-5,b,FISH检查,
ALL_1_2_2_5,ALL-1-2-2-5,c,PCR基因捡测,
ALL_1_2_2_5,ALL-1-2-2-5,oth,其他,
ALL_1_2_2_5,ALL-1-2-2-5,UTD,无法确定或无记录,
ALL_2_1_1,ALL-2-1-1,def,请选择,
ALL_2_1_1,ALL-2-1-1,a,骨髓形态学标准，骨髓中原始及幼稚淋巴细胞≥20%,
ALL_2_1_1,ALL-2-1-1,b,若幼稚细胞比例不足20%，必须要有分子诊断确定存在ALL致病基因，如 ETV6-RUNX1,
ALL_2_1_1,ALL-2-1-1,UTD,无法确定或无记录,
ALL_2_1_2,ALL-2-1-2,def,请选择,
ALL_2_1_2,ALL-2-1-2,a,低危（Low Risk，LR）判断条件,
ALL_2_1_2,ALL-2-1-2,b,中危（Intermediate risk，IR）判断条件,
ALL_2_1_2,ALL-2-1-2,c,高危（High Risk，HR）判断条件,
ALL_2_2_1,ALL-2-2-1,a,年龄≥1岁且＜10岁,
ALL_2_2_1,ALL-2-2-1,b,脑脊液白细胞（WBC）＜50×10⁹/L,
ALL_2_2_1,ALL-2-2-1,c,诱导化疗d15~19骨髓M1（原淋+幼淋＜5％）；或诱导化疗d33~45天骨髓 M1,
ALL_2_2_1,ALL-2-2-1,d,MRD 的LR 标准：诱导治疗d15~33 MRD＜1×10⁻²和巩固治疗前MRD＜1×10⁻⁴,
ALL_2_2_1,ALL-2-2-1,e,泼尼松反应良好（第8天外周血白血病细胞＜1×10⁹/L）,
ALL_2_2_1,ALL-2-2-1,f,非T-ALL,
ALL_2_2_1,ALL-2-2-1,g,非成熟B-ALL,
ALL_2_2_1,ALL-2-2-1,h,无t（9;22）或BCR/ABL融合基因,
ALL_2_2_1,ALL-2-2-1,i,无t（4;11）或MLL/AF4融合基因,
ALL_2_2_1,ALL-2-2-1,j,无t（1;19）或E2A/PBX1融合基因,
ALL_2_2_1,ALL-2-2-1,oth,其他,
ALL_2_2_1,ALL-2-2-1,UTD,无法确定或无记录,
ALL_2_2_2,ALL-2-2-2,a,(1) 年龄≥10岁,
ALL_2_2_2,ALL-2-2-2,b,(2) 初诊最高WBC≥50×10⁹/L,
ALL_2_2_2,ALL-2-2-2,c,(3) CNS2、CNSL（CNS3）或/和睾丸白血病（TL）,
ALL_2_2_2,ALL-2-2-2,d,(4) t (1;19)或E2A-PBX1融合基因阳性,
ALL_2_2_2,ALL-2-2-2,e,(5) d15~19骨髓M2（5%≤原淋+幼淋＜20%，且d33~d45 骨髓M1,
ALL_2_2_2,ALL-2-2-2,f,(6) Ph⁺ALL,
ALL_2_2_2,ALL-2-2-2,g,(7) Ph样ALL,
ALL_2_2_2,ALL-2-2-2,h,(8) iAMP 21,
ALL_2_2_2,ALL-2-2-2,i,(9) T-ALL,
ALL_2_2_2,ALL-2-2-2,j,(10) MRD 标准：诱导治疗d15~d19：1×10⁻³≤MRD＜1×10⁻¹ 或诱导治疗后（d33~d45） 1×10⁻⁴≤MRD＜1×10⁻²或巩固治疗前MRD＜1×10⁻⁴,
ALL_2_2_2,ALL-2-2-2,k,无t（9;22）或BCR/ABL融合基因,
ALL_2_2_2,ALL-2-2-2,l,泼尼松反应良好（第8天外周血白血病细胞＜1×10⁹/L）,
ALL_2_2_2,ALL-2-2-2,m,年龄＜1岁且无MLL基因重排,
ALL_2_2_2,ALL-2-2-2,oth,其他,
ALL_2_2_2,ALL-2-2-2,UTD,无法确定或无记录,
ALL_2_2_3,ALL-2-2-3,a,(1) d15~19 骨髓 M3（原淋+幼淋≥20%）,
ALL_2_2_3,ALL-2-2-3,b,(2) d33~d45 骨髓未完全缓解M2及M3（原淋+幼淋≥5％),
ALL_2_2_3,ALL-2-2-3,c,(3) t(4; 11)或MLL-AF4融合基因阳性或其它MLL基因重排阳性,
ALL_2_2_3,ALL-2-2-3,d,(4) 低二倍体（≤44）或DI指数＜0.8,
ALL_2_2_3,ALL-2-2-3,e,(5) IKZF阳性,
ALL_2_2_3,ALL-2-2-3,f,(6) MEF2D重排,
ALL_2_2_3,ALL-2-2-3,g,(7) TCF3-HLF/t(17;19)(q22;p13),
ALL_2_2_3,ALL-2-2-3,h,(8) 诱导治疗后（d33~d45）评估纵隔瘤灶没有缩小到最初肿瘤体积的1/3，评为高危，巩固治疗前仍存在瘤灶者列入高危,
ALL_2_2_3,ALL-2-2-3,i,(9) 符合MRD的HR标准：诱导治疗d15~19 MRD≥1×10⁻¹，或诱导治疗后（d33~d45）MRD≥1×10⁻²，或巩固治疗前 MRD≥1×10⁻⁴,
ALL_2_2_3,ALL-2-2-3,j,泼尼松反应不良（第8天外周血白血病细胞＞1×10⁹/L）,
ALL_2_2_3,ALL-2-2-3,oth,其他,
ALL_2_2_3,ALL-2-2-3,UTD,无法确定或无记录,
ALL_2_3_1,ALL-2-3-1,UTD,不确定,
ALL_2_3_1,ALL-2-3-1,y,是,
ALL_2_3_1,ALL-2-3-1,n,否,
ALL_2_3_2,ALL-2-3-2,def,请选择,
ALL_2_3_2,ALL-2-3-2,a,低危（Low Risk，LR）判断条件,
ALL_2_3_2,ALL-2-3-2,b,中危（Intermediate risk，IR）判断条件,
ALL_2_3_2,ALL-2-3-2,c,高危（High Risk，HR）判断条件,
ALL_3_1_1,ALL-3-1-1,y,有,
ALL_3_1_1,ALL-3-1-1,n,无,
ALL_3_1_2,ALL-3-1-2,a,VDLP方案,
ALL_3_1_2,ALL-3-1-2,b,VDLD方案,
ALL_3_1_2,ALL-3-1-2,c,CVDLD方案,
ALL_3_1_2,ALL-3-1-2,oth,其他化疗方案,
ALL_3_1_2,ALL-3-1-2,UTD,无法确定或无记录,
ALL_3_2_1,ALL-3-2-1,a,环磷酰胺（CTX）,
ALL_3_2_1,ALL-3-2-1,b,长春新碱（VCR）,
ALL_3_2_1,ALL-3-2-1,c,长春地辛（VDS）,
ALL_3_2_1,ALL-3-2-1,d,柔红霉素（DNR）,
ALL_3_2_1,ALL-3-2-1,e,左旋门冬酰胺酶（L-asp）,
ALL_3_2_1,ALL-3-2-1,f,培门冬（PEG-ASP）,
ALL_3_2_1,ALL-3-2-1,g,泼尼松,
ALL_3_2_1,ALL-3-2-1,h,地塞米松,
ALL_3_2_1,ALL-3-2-1,oth,其他治疗用药,
ALL_3_2_1_1,ALL-3-2-1-1,def,请选择,
ALL_3_2_1_1,ALL-3-2-1-1,a,环磷酰胺（CTX）1000mg/m²/次，1次，静点,
ALL_3_2_1_1,ALL-3-2-1-1,oth,环磷酰胺其他用药方案,
ALL_3_2_1_5,ALL-3-2-1-5,def,请选择,
ALL_3_2_1_5,ALL-3-2-1-5,a,长春新碱（VCR）1.5mg/m²/次，每周1次，共4次，每次最大量不超过2mg,
ALL_3_2_1_5,ALL-3-2-1-5,oth,长春新碱其他用药方案,
ALL_3_2_1_9,ALL-3-2-1-9,def,请选择,
ALL_3_2_1_9,ALL-3-2-1-9,a,长春地辛（VDS）3mg/m²/次，每周1次，共4次,
ALL_3_2_1_9,ALL-3-2-1-9,oth,长春地辛其他用药方案,
ALL_3_2_1_13,ALL-3-2-1-13,def,请选择,
ALL_3_2_1_13,ALL-3-2-1-13,a,柔红霉素（DNR）30mg/m²/次，每周1次，共2-4次,
ALL_3_2_1_13,ALL-3-2-1-13,oth,柔红霉素其他用药方案,
ALL_3_2_1_17,ALL-3-2-1-17,def,请选择,
ALL_3_2_1_17,ALL-3-2-1-17,a,左旋门冬酰胺酶（L-asp）5000-10000u/m²/次，共8-10次,
ALL_3_2_1_17,ALL-3-2-1-17,oth,左旋门冬酰胺酶其他用药方案,
ALL_3_2_1_20,ALL-3-2-1-20,def,请选择,
ALL_3_2_1_20,ALL-3-2-1-20,a,培门冬（PEG-ASP） 2000-2500u/m²/次，d9，d23，肌肉注射,
ALL_3_2_1_20,ALL-3-2-1-20,oth,培门冬其他用药方案,
ALL_3_2_1_25,ALL-3-2-1-25,def,请选择,
ALL_3_2_1_25,ALL-3-2-1-25,a,泼尼松，45-60mg/m²/d，d1-28，第29-35天递减至停,
ALL_3_2_1_25,ALL-3-2-1-25,oth,泼尼松其他用药方案,
ALL_3_2_1_29,ALL-3-2-1-29,def,请选择,
ALL_3_2_1_29,ALL-3-2-1-29,a,地塞米松，6-8mg/m²/d，d8-28，第29-35天递减至停,
ALL_3_2_1_29,ALL-3-2-1-29,oth,地塞米松其他用药方案,
ALL_4_1_1,ALL-4-1-1,UTD,不确定,
ALL_4_1_1,ALL-4-1-1,y,是,
ALL_4_1_1,ALL-4-1-1,n,否,
ALL_4_1_2,ALL-4-1-2,def,请选择,
ALL_4_1_2,ALL-4-1-2,a,CAM方案,
ALL_4_1_2,ALL-4-1-2,b,CAML方案,
ALL_4_1_2,ALL-4-1-2,oth,其他化疗方案,
ALL_4_1_2,ALL-4-1-2,UTD,无法确定或无记录,
ALL_4_2_1,ALL-4-2-1,a,环磷酰胺（CTX）,
