序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
0,ALL-0-1-1,治疗模式,字符串,是,"例:""a""",见,ALL-0-1-1选择代码表,,,
1,ALL-0-1-1,治疗模式,字符串,是,"例:""a""",见,ALL-0-1-1选择代码表,,,
2,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
3,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
4,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
5,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
6,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
7,caseId,患儿病案号,字符串,是,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,身份证号不正确,,,
8,IDCard,患儿身份证号,字符串,否,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,身份证号不正确,,,
9,CM-0-1-3-1,主要诊断ICD-10四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-3-1选择代码表,文本长度不能超过30个字说明,,
10,ALL-0-1-3-1,其他主要诊断ICD-10四位亚目编码与名称,字符串,参考备注,"例:""填写文字说明""","主要诊断ICD-10四位亚目编码与名称(CM-0-1-3-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
11,CM-0-1-3-2,主要诊断ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-3-2选择代码表,文本长度不能超过30个字说明,,
12,ALL-0-1-3-2,其他主要诊断ICD-10六位临床扩展编码与名称,字符串,参考备注,"例:""填写文字说明""","主要诊断ICD-10六位临床扩展编码与名称(CM-0-1-3-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
13,CM-0-1-4-1,主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-4-1选择代码表,文本长度不能超过30个字说明,,
14,ALL-0-1-4-1,其他主要手术操作ICD-9-CM-3四位亚目编码与名称,字符串,参考备注,"例:""填写文字说明""","主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称(CM-0-1-4-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
15,CM-0-1-4-2,主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-4-2选择代码表,文本长度不能超过30个字说明,,
16,ALL-0-1-4-2,其他主要手术操作ICD-9-CM-3六位临床扩展编码与名称,字符串,参考备注,"例:""填写文字说明""","主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称(CM-0-1-4-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
17,CM-0-1-5,是否出院后31天内非计划重复住院,字符串,是,"例:""y""",见,CM-0-1-5选择代码表,,,
18,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",见,CM-0-2-1-2选择代码表,,,
19,CM-0-2-1-2,患儿性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,
20,CM-0-2-1-3,患儿体重（kg）,数值,是,例:10,患儿体重应大于等于0,,,,
21,CM-0-2-1-5,患儿身高（cm）,数值,是,例:10,患儿身高应大于等于0,见,CM-0-2-2-1选择代码表,,
22,CM-0-2-2-1,发病日期时间是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-2-2-1选择代码表,,
23,CM-0-2-2-2,发病日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病日期时间是否无法确定或无记录(CM-0-2-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,ALL-0-2-3-1选择代码表,,
24,ALL-0-2-3-1,入住日间化疗日期时间是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,ALL-0-2-3-1选择代码表,,
25,ALL-0-2-3-2,入住日间化疗日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","入住日间化疗日期时间是否无法确定或无记录(ALL-0-2-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
26,CM-0-2-4-1,入院日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","治疗模式(ALL-0-1-1)等于""住院化疗""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天
27,CM-0-2-4-2,出院日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","治疗模式(ALL-0-1-1)等于""住院化疗""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天
28,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,
29,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,
30,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,
31,ALL-1-1-1,临床主要症状体征,数组,是,"例:[""a"",""b""]",见,ALL-1-1-1选择代码表,文本长度不能超过30个字说明,,
32,ALL-1-1-1-1,临床主要症状其他体征,字符串,参考备注,"例:""填写文字说明""","临床主要症状体征(ALL-1-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
33,ALL-1-1-2,血液常规、生化、凝血检查,数组,是,"例:[""a"",""b""]",见,ALL-1-1-2选择代码表,文本长度不能超过30个字说明,,
34,ALL-1-1-2-1,血液常规、生化、凝血其他检查,字符串,参考备注,"例:""填写文字说明""","血液常规、生化、凝血检查(ALL-1-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
35,ALL-1-1-3,影像学检查,数组,是,"例:[""a"",""b""]",见,ALL-1-1-3选择代码表,文本长度不能超过20个字说明,,
36,ALL-1-1-3-1,影像学其他检查,字符串,参考备注,"例:""填写文字说明""","影像学检查(ALL-1-1-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
37,ALL-1-1-4,脑脊液检查,数组,是,"例:[""a"",""b""]",见,ALL-1-1-4选择代码表,文本长度不能超过20个字说明,,
38,ALL-1-1-4-1,脑脊液其他检查,字符串,参考备注,"例:""填写文字说明""","脑脊液检查(ALL-1-1-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
39,ALL-1-1-5,上述三项，最末一项检查完成日期,字符串,是,"例:""1970-01-01""",见,ALL-1-2-1选择代码表,,,
40,ALL-1-2-1,骨髓细胞学及细胞化学检查,字符串,是,"例:""a""",见,ALL-1-2-1选择代码表,,,
41,ALL-1-2-2,免疫分型检查,字符串,是,"例:""a""",见,ALL-1-2-2选择代码表,若该字段无相应取值，则接口中不必提交该字段,见,ALL-1-2-2-1选择代码表
42,ALL-1-2-2-1,免疫分型-B细胞型 ALL型别,字符串,参考备注,"例:""a""","免疫分型检查(ALL-1-2-2)等于""B细胞型 ALL""(a)时必填;","免疫分型检查(ALL-1-2-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,ALL-1-2-2-1选择代码表
43,ALL-1-2-2-2,免疫分型-T细胞型 ALL型别,字符串,参考备注,"例:""a""","免疫分型检查(ALL-1-2-2)等于""T细胞型 ALL""(b)时必填;","免疫分型检查(ALL-1-2-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,ALL-1-2-2-2选择代码表
44,ALL-1-2-2-5,细胞遗传学和分子生物学检查,数组,是,"例:[""a"",""b""]",见,ALL-1-2-2-5选择代码表,文本长度不能超过20个字说明,,
45,ALL-1-2-2-4,细胞遗传学和分子生物学其他检查,字符串,参考备注,"例:""填写文字说明""","细胞遗传学和分子生物学检查(ALL-1-2-2-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
46,ALL-1-2-5,上述最末一项检查完成日期,字符串,是,"例:""1970-01-01""",见,ALL-2-1-1选择代码表,,,
47,ALL-2-1-1,诊断与分型符合WHO2016诊断标准,字符串,是,"例:""a""",见,ALL-2-1-1选择代码表,,,
48,ALL-2-1-2,临床危险度分层,字符串,是,"例:""a""",见,ALL-2-1-2选择代码表,见,ALL-2-2-1选择代码表,
49,ALL-2-2-1,低危（Low Risk，LR）判断条件,数组,参考备注,"例:[""a"",""b""]","临床危险度分层(ALL-2-1-2)等于""低危（Low Risk，LR）判断条件""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ALL-2-2-1选择代码表,
50,ALL-2-2-1-1,其他低危判断条件,字符串,参考备注,"例:""填写文字说明""","低危（Low Risk，LR）判断条件(ALL-2-2-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,ALL-2-2-2选择代码表,
51,ALL-2-2-2,中危（Intermediate risk，IR）判断条件,数组,参考备注,"例:[""a"",""b""]","临床危险度分层(ALL-2-1-2)等于""中危（Intermediate risk，IR）判断条件""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ALL-2-2-2选择代码表,
52,ALL-2-2-2-1,其他中危判断条件,字符串,参考备注,"例:""填写文字说明""","中危（Intermediate risk，IR）判断条件(ALL-2-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,ALL-2-2-3选择代码表,
53,ALL-2-2-3,高危（High Risk，HR）判断条件,数组,参考备注,"例:[""a"",""b""]","临床危险度分层(ALL-2-1-2)等于""高危（High Risk，HR）判断条件""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ALL-2-2-3选择代码表,
54,ALL-2-2-3-1,其他高危判断条件,字符串,参考备注,"例:""填写文字说明""","高危（High Risk，HR）判断条件(ALL-2-2-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
55,ALL-2-3-1,是否有治疗过程中更改危险度,字符串,是,"例:""UTD""",默认初始化值:UTD见,ALL-2-3-1选择代码表,见,ALL-2-3-2选择代码表,
56,ALL-2-3-2,符合更改危险度判断条件,字符串,参考备注,"例:""a""","是否有治疗过程中更改危险度(ALL-2-3-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,ALL-2-3-2选择代码表,
57,ALL-2-3-3,更改危险度的日期,字符串,参考备注,"例:""1970-01-01""","是否有治疗过程中更改危险度(ALL-2-3-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,
58,ALL-3-1-1,是否有诱导期化疗方案,字符串,是,"例:""y""",见,ALL-3-1-1选择代码表,见,ALL-3-1-2选择代码表,
59,ALL-3-1-2,化疗方案,数组,参考备注,"例:[""a"",""b""]","是否有诱导期化疗方案(ALL-3-1-1)等于""有""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ALL-3-1-2选择代码表,
60,ALL-3-1-2-1,其他化疗方案名称,字符串,参考备注,"例:""填写文字说明""","化疗方案(ALL-3-1-2)等于""其他化疗方案""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,见,ALL-3-2-1选择代码表
