表代号,表名,选择字母,内容,
APL_0_1_1,APL-0-1-1,def,请选择,
APL_0_1_1,APL-0-1-1,a,日间化疗,
APL_0_1_1,APL-0-1-1,b,住院化疗,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C92.4 急性早幼粒细胞白血病,
CM_0_1_3_1,CM-0-1-3-1,b,Z51.2 其他化学治疗,
CM_0_1_3_1,CM-0-1-3-1,oth,其他,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,C92.400 急性早幼粒细胞白血病,
CM_0_1_3_2,CM-0-1-3-2,b,C92.400x001 急性早幼粒细胞白血病(M3型),
CM_0_1_3_2,CM-0-1-3-2,c,C92.400x021 急性髓细胞白血病，M3伴（15；17）伴多样型,
CM_0_1_3_2,CM-0-1-3-2,d,Z51.200 化学治疗，其他的,
CM_0_1_3_2,CM-0-1-3-2,e,Z51.200x008 化学治疗,
CM_0_1_3_2,CM-0-1-3-2,oth,其他,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,99.25 注射或输注癌瘤化学治疗药物,
CM_0_1_4_1,CM-0-1-4-1,b,03.92 椎管其他药物的注射,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,99.2500 注射或输注癌瘤化学治疗药物,
CM_0_1_4_2,CM-0-1-4-2,b,99.2503 静脉注射化疗药物,
CM_0_1_4_2,CM-0-1-4-2,c,99.2500x036 椎管内注射药物,
CM_0_1_4_2,CM-0-1-4-2,d,03.9200x002 椎管内注射化疗药物,
CM_0_1_4_2,CM-0-1-4-2,oth,其他,
APL_0_1_5_1,APL-0-1-5-1,def,请选择,
APL_0_1_5_1,APL-0-1-5-1,a,M9866/3 急性早幼粒细胞性白血病,
APL_0_1_5_1,APL-0-1-5-1,oth,其他,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
