序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
0,,,,,,,,,,
1,APL-0-1-1,治疗模式,字符串,是,"例:""a""",见,APL-0-1-1选择代码表,,,
2,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
3,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
4,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
5,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
6,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
7,caseId,患儿病案号,字符串,是,"例:""填写文字说明""",,,,,
8,IDCard,患儿身份证号,字符串,否,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,身份证号不正确,,,
9,CM-0-1-3-1,主要诊断ICD-10四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-3-1选择代码表,,,
10,APL-0-1-3-1,其他主要诊断ICD-10四位亚目编码与名称,字符串,参考备注,"例:""填写文字说明""","主要诊断ICD-10四位亚目编码与名称(CM-0-1-3-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
11,CM-0-1-3-2,主要诊断ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-3-2选择代码表,,,
12,APL-0-1-3-2,其他主要诊断ICD-10六位临床扩展编码与名称,字符串,参考备注,"例:""填写文字说明""","主要诊断ICD-10六位临床扩展编码与名称(CM-0-1-3-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
13,CM-0-1-4-1,主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-4-1选择代码表,,,
14,APL-0-1-4-1,其他主要手术操作ICD-9-CM-3四位亚目编码与名称,字符串,参考备注,"例:""填写文字说明""","主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称(CM-0-1-4-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
15,CM-0-1-4-2,主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-4-2选择代码表,,,
16,APL-0-1-4-2,其他主要手术操作ICD-9-CM-3六位临床扩展编码与名称,字符串,参考备注,"例:""填写文字说明""","主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称(CM-0-1-4-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
17,APL-0-1-5-1,出院诊断:ICD-10形态学编码与名称,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,APL-0-1-5-1选择代码表,,
18,APL-0-1-5-2,其他ICD-10形态学编码与名称,字符串,参考备注,"例:""填写文字说明""","出院诊断:ICD-10形态学编码与名称(APL-0-1-5-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
19,CM-0-1-5,是否出院后31天内非计划重复住院,字符串,是,"例:""y""",见,CM-0-1-5选择代码表,,,
20,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,
21,CM-0-2-1-2,患儿性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,
22,CM-0-2-1-3,患儿体重（kg）,数值,是,例:10,患儿体重应大于等于0,,,,
23,CM-0-2-1-5,患儿身高（cm）,数值,是,例:10,患儿身高应大于等于0,,,,
24,CM-0-2-2-1,发病日期时间是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-2-2-1选择代码表,,
25,CM-0-2-2-2,发病日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病日期时间是否无法确定或无记录(CM-0-2-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
26,APL-0-2-3-1,入住日间化疗日期时间是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,APL-0-2-3-1选择代码表,,
27,APL-0-2-3-2,入住日间化疗日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","入住日间化疗日期时间是否无法确定或无记录(APL-0-2-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
28,CM-0-2-4-1,入院日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","治疗模式(APL-0-1-1)等于""住院化疗""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
29,CM-0-2-4-2,出院日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","治疗模式(APL-0-1-1)等于""住院化疗""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天
30,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,
31,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,
32,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,
