表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,Q21.1 房间隔缺损,
CM_0_1_3_1,CM-0-1-3-1,b,Q21.2 房室间隔缺损,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,Q21.100 房间隔缺损,
CM_0_1_3_2,CM-0-1-3-2,b,Q21.101 中央型房间隔缺损(卵圆孔型),
CM_0_1_3_2,CM-0-1-3-2,c,Q21.102 房间隔缺损(继发孔型),
CM_0_1_3_2,CM-0-1-3-2,d,Q21.103 上腔型房间隔缺损(高位缺损或静脉窦缺损),
CM_0_1_3_2,CM-0-1-3-2,e,Q21.104 混合型房间隔缺损,
CM_0_1_3_2,CM-0-1-3-2,f,Q21.105 下腔型房间隔缺损(低位缺损),
CM_0_1_3_2,CM-0-1-3-2,g,Q21.106 鲁登巴赫综合征,
CM_0_1_3_2,CM-0-1-3-2,h,Q21.200 房室间隔缺损,
CM_0_1_3_2,CM-0-1-3-2,i,Q21.201 Ⅰ型房间隔缺损,
CM_0_1_3_2,CM-0-1-3-2,j,Q21.202 房室管型室间隔缺损,
CM_0_1_3_2,CM-0-1-3-2,k,Q21.203 部分性房室隔缺损,
CM_0_1_3_2,CM-0-1-3-2,l,Q21.204 过渡性房室隔缺损,
CM_0_1_3_2,CM-0-1-3-2,m,Q21.205 完全性房室隔缺损,
CM_0_1_3_2,CM-0-1-3-2,n,Q21.206 单心房,
CM_0_1_3_2,CM-0-1-3-2,o,Q21.207 先天性心内膜垫缺损,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,35.51 心房间隔缺损的假体修补术，切开法,
CM_0_1_4_1,CM-0-1-4-1,b,35.52 心房间隔缺损假体修补术，闭合法,
CM_0_1_4_1,CM-0-1-4-1,c,35.61 用组织移植物的心房间隔缺损修补术,
CM_0_1_4_1,CM-0-1-4-1,d,35.71 心房间隔缺损的其他和未特指的修补术,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,35.5100 心房间隔缺损的假体修补术，切开法,
CM_0_1_4_2,CM-0-1-4-2,b,35.5100x001 房间隔缺损人造补片修补术,
CM_0_1_4_2,CM-0-1-4-2,c,35.5100x002 经胸房间隔缺损闭式封堵术,
CM_0_1_4_2,CM-0-1-4-2,d,35.5100x003 卵圆孔未闭人造补片修补术,
CM_0_1_4_2,CM-0-1-4-2,e,35.5100x004 胸腔镜下房间隔缺损人造补片修补术,
CM_0_1_4_2,CM-0-1-4-2,f,35.5100x005 经胸卵圆孔未闭闭式封堵术,
CM_0_1_4_2,CM-0-1-4-2,g,35.5101 卵圆孔未闭假体修补术,
CM_0_1_4_2,CM-0-1-4-2,h,35.5200 心房间隔缺损假体修补术，闭合法,
CM_0_1_4_2,CM-0-1-4-2,i,35.5200x001 经皮房间隔缺损封堵术,
CM_0_1_4_2,CM-0-1-4-2,j,35.5200x002 经皮卵圆孔未闭封堵术,
CM_0_1_4_2,CM-0-1-4-2,k,35.5201 房间隔缺损闭式封堵术,
CM_0_1_4_2,CM-0-1-4-2,l,35.6100 用组织移植物的心房间隔缺损修补术,
