序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
0,,,,,,,,,,
1,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
2,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
3,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
4,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
5,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
6,caseId,患者病案号,字符串,是,"例:""填写文字说明""",,,,,
7,IDCard,患儿身份证号,字符串,否,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,身份证号不正确,,,
8,CM-0-1-3-1,主要诊断ICD-10四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-3-1选择代码表,,,
9,CM-0-1-3-2,主要诊断ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-3-2选择代码表,,,
10,CM-0-1-4-1,主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-4-1选择代码表,,,
11,CM-0-1-4-2,主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-4-2选择代码表,,,
12,CM-0-1-5,是否出院后31天内重复住院,字符串,是,"例:""y""",见,CM-0-1-5选择代码表,,,
13,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,
14,CM-0-2-1-2,患儿性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,
15,CM-0-2-1-3,患儿体重（kg）,数值,是,例:10,患儿体重应大于等于0,,,,
16,CM-0-2-1-5,患儿身高（cm）,数值,是,例:10,患儿身高应大于等于0,,,,
17,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,
18,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,
19,CM-0-2-5-1,入住ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,
20,CM-0-2-5-2,离开ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,
21,CM-0-2-6-1,手术开始日期时间,字符串,是,"例:""1970-01-01 12:00""",手术开始日期时间应大于入院日期时间,,,,
22,CM-0-2-6-2,手术结束日期时间,字符串,是,"例:""1970-01-01 12:00""",手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,
23,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,
24,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,
25,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,
26,ASD-1-1-1,是否实施手术前的超声心动图评估,字符串,是,"例:""y""",见,ASD-1-1-1选择代码表,,,
27,ASD-1-1-2,左室射血分数（LVEF）测量值（%）,数值,参考备注,例:10,"是否实施手术前的超声心动图评估(ASD-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
