表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,A52.0 心血管梅毒,
CM_0_1_3_1,CM-0-1-3-1,b,I06 风湿性主动脉瓣疾病,
CM_0_1_3_1,CM-0-1-3-1,c,I08.2 主动脉瓣和三尖瓣的疾患,
CM_0_1_3_1,CM-0-1-3-1,d,I35.0 主动脉(瓣)狭窄,
CM_0_1_3_1,CM-0-1-3-1,e,I35.1 主动脉(瓣)关闭不全,
CM_0_1_3_1,CM-0-1-3-1,f,I35.2 主动脉(瓣)狭窄伴有关闭不全,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,A52.000+I98.0* 心血管梅毒,
CM_0_1_3_2,CM-0-1-3-2,2,A52.000x001+I52.0*梅毒性冠状动脉口狭窄,
CM_0_1_3_2,CM-0-1-3-2,3,A52.000x006+I39.1*梅毒性主动脉瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,4,A52.000x007 梅毒性主动脉瓣狭窄关闭不全,
CM_0_1_3_2,CM-0-1-3-2,5,A52.004+I39.1* 梅毒性主动脉瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,6,I06.000 风湿性主动脉瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,7,I06.100 风湿性主动脉瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,8,I06.200 风湿性主动脉瓣狭窄伴有关闭不全,
CM_0_1_3_2,CM-0-1-3-2,9,I06.800 风湿性主动脉瓣疾病，其他的,
CM_0_1_3_2,CM-0-1-3-2,10,I06.900 风湿性主动脉瓣疾病,
CM_0_1_3_2,CM-0-1-3-2,11,I08.200 主动脉瓣和三尖瓣的疾患,
CM_0_1_3_2,CM-0-1-3-2,12,I08.200x001 风湿性主动脉瓣三尖瓣联合瓣膜病,
CM_0_1_3_2,CM-0-1-3-2,13,I08.200x002 主动脉瓣三尖瓣联合瓣膜病,
CM_0_1_3_2,CM-0-1-3-2,14,I08.201 主动脉瓣及三尖瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,15,I35.000 主动脉瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,16,I35.000x001 非风湿性主动脉瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,17,I35.000x002 经导管主动脉瓣植入术后再狭窄,
CM_0_1_3_2,CM-0-1-3-2,18,I35.000x003 主动脉瓣球囊扩张术后再狭窄,
CM_0_1_3_2,CM-0-1-3-2,19,I35.000x011 主动脉(瓣)狭窄,
CM_0_1_3_2,CM-0-1-3-2,20,I35.100 主动脉瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,21,I35.100x002 非风湿性主动脉瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,22,I35.100x003 经导管主动脉瓣植入术后关闭不全,
CM_0_1_3_2,CM-0-1-3-2,23,I35.100x011 主动脉(瓣)关闭不全,
CM_0_1_3_2,CM-0-1-3-2,24,I35.100x012 心内膜炎伴主动脉瓣闭锁不全,
CM_0_1_3_2,CM-0-1-3-2,25,I35.101 心内膜炎伴主动脉瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,26,I35.200 主动脉瓣狭窄伴有关闭不全,
CM_0_1_3_2,CM-0-1-3-2,27,I35.200x001 老年钙化性主动脉瓣狭窄伴关闭不全,
CM_0_1_3_2,CM-0-1-3-2,28,I35.200x002 非风湿性主动脉瓣狭窄伴关闭不全,
CM_0_1_3_2,CM-0-1-3-2,29,I35.200x011 老年钙化性主动脉瓣狭窄关闭不全,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,35.05 血管内主动脉瓣置换,
CM_0_1_4_1,CM-0-1-4-1,b,35.06 经心尖主动脉瓣置换,
CM_0_1_4_1,CM-0-1-4-1,c,35.21 主动脉瓣切开和其他置换伴有组织移植物,
CM_0_1_4_1,CM-0-1-4-1,d,35.22 主动脉瓣切开和其他置换术,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,35.0500 血管内主动脉瓣置换,
CM_0_1_4_2,CM-0-1-4-2,b,35.0501 经导管主动脉瓣植入术,
CM_0_1_4_2,CM-0-1-4-2,c,35.0502 经导管主动脉瓣置换术,
CM_0_1_4_2,CM-0-1-4-2,d,35.0600 经心尖主动脉瓣置换,
CM_0_1_4_2,CM-0-1-4-2,e,35.0600x001 经胸主动脉瓣支架置入术,
CM_0_1_4_2,CM-0-1-4-2,f,35.0600x002 经心尖主动脉瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,g,35.2100 主动脉瓣切开和其他置换伴有组织移植物,
CM_0_1_4_2,CM-0-1-4-2,h,35.2100x002 自体肺动脉移植术[Ross手术],
CM_0_1_4_2,CM-0-1-4-2,i,35.2100x003 主动脉瓣置换伴升主动脉置换术[Wheat's手术],
CM_0_1_4_2,CM-0-1-4-2,j,35.2100x004 主动脉根部扩大伴主动脉瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,k,35.2100x005 胸腔镜下主动脉瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,l,35.2101 主动脉瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,m,35.2200 主动脉瓣切开和其他置换术,
CM_0_1_4_2,CM-0-1-4-2,n,35.2200x002 主动脉根部扩大伴主动脉瓣机械瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,o,35.2200x003 主动脉瓣机械瓣膜置换伴升主动脉置换术[Wheat's手术],
CM_0_1_4_2,CM-0-1-4-2,p,35.2200x004 胸腔镜下主动脉瓣机械瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,q,35.2201 主动脉瓣机械瓣膜置换术,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
CM_0_3_3,CM-0-3-3,def,请选择,
CM_0_3_3,CM-0-3-3,a,救护车,
CM_0_3_3,CM-0-3-3,b,出租车,
CM_0_3_3,CM-0-3-3,c,私家车,
CM_0_3_3,CM-0-3-3,d,其他,
AVR_1_1_1,AVR-1-1-1,y,是,
AVR_1_1_1,AVR-1-1-1,n,否,
AVR_1_1_3,AVR-1-1-3,def,请选择,
AVR_1_1_3,AVR-1-1-3,a,＞50%,
AVR_1_1_3,AVR-1-1-3,b,30-50%,
AVR_1_1_3,AVR-1-1-3,c,＜30%,
AVR_1_5_1,AVR-1-5-1,def,请选择,
AVR_1_5_1,AVR-1-5-1,a,男≤40mm， 女≤38mm,
AVR_1_5_1,AVR-1-5-1,b,男&gt;40mm， 女&gt;38mm,
AVR_1_1_6,AVR-1-1-6,def,请选择,
AVR_1_1_6,AVR-1-1-6,a,≤60mL,
AVR_1_1_6,AVR-1-1-6,b,＞60mL,
AVR_1_5_3,AVR-1-5-3,def,请选择,
