表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,I48.x0心房颤动和扑动,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,I48.x00 心房颤动和扑动,
CM_0_1_3_2,CM-0-1-3-2,b,I48.x01 心房颤动,
CM_0_1_3_2,CM-0-1-3-2,c,I48.x02 阵发性心房颤动,
CM_0_1_3_2,CM-0-1-3-2,d,I48.x03 心房扑动,
CM_0_1_3_2,CM-0-1-3-2,e,I48.x04 阵发性心房扑动,
CM_0_1_3_2,CM-0-1-3-2,f,I48.x05 特发性心房颤动,
CM_0_1_3_2,CM-0-1-3-2,g,I48.x06 不纯性心房扑动,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,"37.33心脏组织(微波, 射频, 冷冻, 化学)消融术,开胸入路",
CM_0_1_4_1,CM-0-1-4-1,b,"37.34心脏组织(微波, 射频, 冷冻, 化学)消融术,经周围血管导管入路",
CM_0_1_4_1,CM-0-1-4-1,c,37.36左心耳封堵或切除术（LAA）,
CM_0_1_4_1,CM-0-1-4-1,d,"37.37其他心脏组织消融术, 经胸腔镜",
CM_0_1_4_1,CM-0-1-4-1,e,37.90左心附加装置的置入,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,1,37.3300x024 经胸心脏射频消融改良迷宫术,
CM_0_1_4_2,CM-0-1-4-2,2,37.3300x025 经胸心脏微波消融术,
CM_0_1_4_2,CM-0-1-4-2,3,37.3302 心脏射频消融术,
CM_0_1_4_2,CM-0-1-4-2,4,37.3303 心脏微波消融术,
CM_0_1_4_2,CM-0-1-4-2,5,37.3304 心房部分切除术,
CM_0_1_4_2,CM-0-1-4-2,6,37.3305 心室病损切除术,
