表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,e,C50.0 乳头和乳晕恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,f,C50.1 乳房中央部恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,g,C50.2 乳房上内象限恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,h,C50.3 乳房下内象限恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,i,C50.4 乳房上外象限恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,j,C50.5 乳房下外象限恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,k,C50.6 乳房腋尾部恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,l,C50.8 乳房交搭跨越恶性肿瘤的损害,
CM_0_1_3_1,CM-0-1-3-1,m,C50.9 未特指的乳房恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,7,C50.000 乳头和乳晕恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,8,C50.000x001 乳头恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,9,C50.001乳晕恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,10,C50.100 乳房中央部恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,11,C50.100x001 乳腺中央部恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,12,C50.200 乳房上内象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,13,C50.200x001 乳腺内上象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,14,C50.300 乳房下内象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,15,C50.300x001 乳腺内下象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,16,C50.400 乳房上外象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,17,C50.400x001 乳腺外上象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,18,C50.500 乳房下外象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,19,C50.500x001 乳腺外下象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,20,C50.600 乳房腋尾部恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,21,C50.600x001 乳腺腋尾部恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,22,C50.800 乳房交搭跨越恶性肿瘤的损害,
CM_0_1_3_2,CM-0-1-3-2,23,C50.800x001 乳腺中上象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,24,C50.800x002 乳腺中下象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,25,C50.800x003 乳腺中外象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,26,C50.800x004 乳腺中内象限恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,27,C50.800x005 异位乳腺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,28,C50.801 乳腺恶性肿瘤，上部,
CM_0_1_3_2,CM-0-1-3-2,29,C50.802 乳腺恶性肿瘤，下部,
CM_0_1_3_2,CM-0-1-3-2,30,C50.803 乳腺恶性肿瘤，内侧,
CM_0_1_3_2,CM-0-1-3-2,31,C50.804 乳腺恶性肿瘤，外侧,
CM_0_1_3_2,CM-0-1-3-2,32,C50.900 乳房恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,33,C50.900x004 乳腺多处恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,34,C50.900x005 双侧乳腺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,35,C50.900x011 乳腺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,36,C50.901 男性乳腺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,37,C50.902 副乳腺恶性肿瘤,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,d,85.20 乳房组织切除术或破坏术,
CM_0_1_4_1,CM-0-1-4-1,e,85.21 乳房病损局部切除术,
CM_0_1_4_1,CM-0-1-4-1,f,85.22 乳房象限切除术,
CM_0_1_4_1,CM-0-1-4-1,g,85.23 乳房次全切除术,
CM_0_1_4_1,CM-0-1-4-1,h,85.41单侧单纯乳房切除术,
CM_0_1_4_1,CM-0-1-4-1,i,85.42 双侧单纯乳房切除术,
CM_0_1_4_1,CM-0-1-4-1,j,85.43 单侧扩大的单纯乳房切除术,
CM_0_1_4_1,CM-0-1-4-1,k,85.44 双侧扩大的单纯乳房切除术,
CM_0_1_4_1,CM-0-1-4-1,l,85.45 侧根治性乳房切除术,
CM_0_1_4_1,CM-0-1-4-1,m,85.46 双侧根治性乳房切除术,
CM_0_1_4_1,CM-0-1-4-1,n,85.47 单侧扩大根治性乳房切除术,
CM_0_1_4_1,CM-0-1-4-1,o,85.48 双侧扩大根治性乳房切除术,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
