表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,I25.1 动脉硬化性心脏病,
CM_0_1_3_1,CM-0-1-3-1,b,I25.2 陈旧性心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,I25.100动脉硬化性心脏病,
CM_0_1_3_2,CM-0-1-3-2,b,I25.101冠状动脉狭窄,
CM_0_1_3_2,CM-0-1-3-2,c,I25.102冠状动脉粥样硬化,
CM_0_1_3_2,CM-0-1-3-2,d,I25.103冠状动脉粥样硬化性心脏病,
CM_0_1_3_2,CM-0-1-3-2,e,I25.200陈旧性心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,f,I25.201陈旧性高侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,g,I25.202陈旧性后壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,h,I25.203陈旧性前壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,i,I25.204陈旧性前间壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,j,I25.205陈旧性下壁后壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,k,I25.206陈旧性下壁前壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,l,I25.207陈旧性下壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,m,I25.208陈旧性下壁正后壁心肌梗死,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,36.10 主动脉冠状动脉旁路移植，为心脏血管再形成术,
CM_0_1_4_1,CM-0-1-4-1,b,36.11一根冠状动脉的(主动脉)冠状动脉旁路移植,
CM_0_1_4_1,CM-0-1-4-1,c,36.12 二根冠状动脉的(主动脉)冠状动脉旁路移植,
CM_0_1_4_1,CM-0-1-4-1,d,36.13三根冠状动脉的(主动脉)冠状动脉旁路移植,
CM_0_1_4_1,CM-0-1-4-1,e,36.14 四根或以上冠状动脉的(主动脉)冠状动脉旁路移植,
CM_0_1_4_1,CM-0-1-4-1,f,36.15单乳房内动脉-冠状动脉旁路移植,
CM_0_1_4_1,CM-0-1-4-1,g,36.16双乳房内动脉-冠状动脉旁路移植,
CM_0_1_4_1,CM-0-1-4-1,h,36.17 腹动脉-冠状动脉旁路移植,
CM_0_1_4_1,CM-0-1-4-1,i,36.19其他搭桥吻合术，为心脏血管再形成术,
CM_0_1_4_1,CM-0-1-4-1,oth,其他术式,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,36.1000 主动脉冠状动脉旁路移植，为心脏血管再形成术,
CM_0_1_4_2,CM-0-1-4-2,b,36.1000x001 主动脉-冠状动脉搭桥术,
CM_0_1_4_2,CM-0-1-4-2,c,36.1000x002 带蒂左冠状动脉移植术,
CM_0_1_4_2,CM-0-1-4-2,d,36.1100 一根冠状动脉的(主动脉)冠状动脉旁路移植,
CM_0_1_4_2,CM-0-1-4-2,e,36.1200 二根冠状动脉的(主动脉)冠状动脉旁路移植,
CM_0_1_4_2,CM-0-1-4-2,f,36.1300 三根冠状动脉的(主动脉)冠状动脉旁路移植,
CM_0_1_4_2,CM-0-1-4-2,g,36.1400 四根或以上冠状动脉的(主动脉)冠状动脉旁路移植,
CM_0_1_4_2,CM-0-1-4-2,h,36.1500 单乳房内动脉-冠状动脉旁路移植,
CM_0_1_4_2,CM-0-1-4-2,i,36.1600 双乳房内动脉-冠状动脉旁路移植,
CM_0_1_4_2,CM-0-1-4-2,j,36.1700 腹动脉-冠状动脉旁路移植,
CM_0_1_4_2,CM-0-1-4-2,k,36.1700x001 胃网膜动脉-冠状动脉搭桥术,
CM_0_1_4_2,CM-0-1-4-2,l,36.1900 其他搭桥吻合术，为心脏血管再形成术,
CM_0_1_4_2,CM-0-1-4-2,m,36.1900x001 左锁骨下动脉-左冠状动脉吻合术,
CM_0_1_4_2,CM-0-1-4-2,n,36.1900x002 颈总动脉-冠状动脉吻合术,
CM_0_1_4_2,CM-0-1-4-2,oth,其他术式,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
CM_0_3_3,CM-0-3-3,def,请选择,
CM_0_3_3,CM-0-3-3,a,救护车,
