表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,b,J45.0 主要为变应性哮喘,
CM_0_1_3_1,CM-0-1-3-1,c,J45.1 非变应性哮喘,
CM_0_1_3_1,CM-0-1-3-1,d,J45.8 混合性哮喘,
CM_0_1_3_1,CM-0-1-3-1,e,J45.9 未特指的哮喘,
CM_0_1_3_1,CM-0-1-3-1,f,J46 哮喘持续状态,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,2,J45.000 主要为变应性哮喘,
CM_0_1_3_2,CM-0-1-3-2,3,J45.000x001 药物性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,4,J45.000x003 职业性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,5,J45.002 阿司匹林哮喘,
CM_0_1_3_2,CM-0-1-3-2,6,J45.003 变态反应性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,7,J45.004 过敏性鼻炎伴哮喘,
CM_0_1_3_2,CM-0-1-3-2,8,J45.005 咳嗽变异性哮喘,
CM_0_1_3_2,CM-0-1-3-2,9,J45.007 外源性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,10,J45.100 非变应性哮喘,
CM_0_1_3_2,CM-0-1-3-2,11,J45.100x002 月经期支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,12,J45.100x003 运动性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,13,J45.800 混合性哮喘,
CM_0_1_3_2,CM-0-1-3-2,14,J45.900 哮喘,
CM_0_1_3_2,CM-0-1-3-2,15,J45.900x001 支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,16,J45.900x002 难治性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,17,J45.900x012 支气管哮喘(部分控制),
CM_0_1_3_2,CM-0-1-3-2,18,J45.900x013 支气管哮喘(未控制),
CM_0_1_3_2,CM-0-1-3-2,19,J45.900x021 支气管哮喘(急性发作期),
CM_0_1_3_2,CM-0-1-3-2,20,J45.900x032 支气管哮喘(轻度持续),
CM_0_1_3_2,CM-0-1-3-2,21,J45.900x033 支气管哮喘(中度持续),
CM_0_1_3_2,CM-0-1-3-2,22,J45.900x034 支气管哮喘(重度持续),
CM_0_1_3_2,CM-0-1-3-2,23,J45.903 支气管哮喘，非危重,
CM_0_1_3_2,CM-0-1-3-2,24,J46.x00 哮喘持续状态,
CM_0_1_3_2,CM-0-1-3-2,25,J46.x00x002 支气管哮喘急性发作（轻度）,
CM_0_1_3_2,CM-0-1-3-2,26,J46.x00x003 支气管哮喘急性发作（中度）,
CM_0_1_3_2,CM-0-1-3-2,27,J46.x01 支气管哮喘，重度,
CM_0_1_3_2,CM-0-1-3-2,28,J46.x02 支气管哮喘，危重,
CM_0_1_4_1,CM-0-1-4-1,a,31.1 暂时性气管造口术,
CM_0_1_4_1,CM-0-1-4-1,b,93.90 无创机械性通气,
