表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,J45.0 主要为变应性哮喘,
CM_0_1_3_1,CM-0-1-3-1,b,J45.1 非变应性哮喘,
CM_0_1_3_1,CM-0-1-3-1,c,J45.8 混合性哮喘,
CM_0_1_3_1,CM-0-1-3-1,d,J45.9 未特指的哮喘,
CM_0_1_3_1,CM-0-1-3-1,e,J46 哮喘持续状态,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,J45.000 主要为变应性哮喘,
CM_0_1_3_2,CM-0-1-3-2,2,J45.000x001 药物性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,3,J45.002 阿司匹林哮喘,
CM_0_1_3_2,CM-0-1-3-2,4,J45.003 变态反应性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,5,J45.004 过敏性鼻炎伴哮喘,
CM_0_1_3_2,CM-0-1-3-2,6,J45.007 外源性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,7,J45.100 非变应性哮喘,
CM_0_1_3_2,CM-0-1-3-2,8,J45.100x002 月经期支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,9,J45.100x003 运动性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,10,J45.800 混合性哮喘,
CM_0_1_3_2,CM-0-1-3-2,11,J45.900 哮喘,
CM_0_1_3_2,CM-0-1-3-2,12,J45.900x001 支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,13,J45.900x002 难治性支气管哮喘,
CM_0_1_3_2,CM-0-1-3-2,14,J45.900x012 支气管哮喘(部分控制),
CM_0_1_3_2,CM-0-1-3-2,15,J45.900x013 支气管哮喘(未控制),
CM_0_1_3_2,CM-0-1-3-2,16,J45.900x021 支气管哮喘(急性发作期),
CM_0_1_3_2,CM-0-1-3-2,17,J45.900x032 支气管哮喘(轻度持续),
CM_0_1_3_2,CM-0-1-3-2,18,J45.900x033 支气管哮喘(中度持续),
CM_0_1_3_2,CM-0-1-3-2,19,J45.900x034 支气管哮喘(重度持续),
CM_0_1_3_2,CM-0-1-3-2,20,J45.903 支气管哮喘，非危重,
CM_0_1_3_2,CM-0-1-3-2,21,J46.x00 哮喘持续状态,
CM_0_1_3_2,CM-0-1-3-2,22,J46.x00x002 支气管哮喘急性发作（轻度）,
CM_0_1_3_2,CM-0-1-3-2,23,J46.x00x003 支气管哮喘急性发作（中度）,
CM_0_1_3_2,CM-0-1-3-2,24,J46.x01 支气管哮喘，重度,
CM_0_1_3_2,CM-0-1-3-2,25,J46.x02 支气管哮喘，危重,
CM_0_1_4_1,CM-0-1-4-1,a,31.1 暂时性气管造口术,
CM_0_1_4_1,CM-0-1-4-1,b,39.65 体外膜肺氧合ECMO,
CM_0_1_4_1,CM-0-1-4-1,c,93.90 无创机械性通气,
CM_0_1_4_1,CM-0-1-4-1,d,93.91 间歇性正压通气[IPPB],
CM_0_1_4_1,CM-0-1-4-1,e,93.94 喷雾法给予呼吸药物,
CM_0_1_4_1,CM-0-1-4-1,f,93.95 高压给氧,
CM_0_1_4_1,CM-0-1-4-1,g,93.96 其他富氧疗法,
CM_0_1_4_1,CM-0-1-4-1,h,93.97 减压仓疗法,
CM_0_1_4_1,CM-0-1-4-1,i,93.98 其他控制气压和空气成分的疗法,
CM_0_1_4_1,CM-0-1-4-1,j,93.99 其他呼吸操作,
CM_0_1_4_1,CM-0-1-4-1,k,96.04 气管内插管,
CM_0_1_4_1,CM-0-1-4-1,l,96.70 未特指时间的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,m,96.71 小于96小时连续的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,n,96.72 大于等于96小时连续的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,31.1x00 暂时性气管造口术,
CM_0_1_4_2,CM-0-1-4-2,b,31.1x00x005 暂时性气管切开术,
CM_0_1_4_2,CM-0-1-4-2,c,39.6500体外膜肺氧合ECMO,
CM_0_1_4_2,CM-0-1-4-2,d,93.900无创机械性通气,
CM_0_1_4_2,CM-0-1-4-2,e,93.9000x002 无创呼吸机辅助通气(双水平气道正压[BiPAP]),
CM_0_1_4_2,CM-0-1-4-2,f,93.9000x003 无创呼吸机辅助通气(高频通气[HFPPV]),
CM_0_1_4_2,CM-0-1-4-2,g,93.9001 持续性气道正压通气（CPAP）,
CM_0_1_4_2,CM-0-1-4-2,h,93.9100 间歇性正压通气[IPPB],
CM_0_1_4_2,CM-0-1-4-2,i,93.9400 喷雾法给予呼吸药物,
CM_0_1_4_2,CM-0-1-4-2,j,93.9401 雾化吸入,
CM_0_1_4_2,CM-0-1-4-2,k,93.9500 高压给氧,
CM_0_1_4_2,CM-0-1-4-2,l,93.9600 其他富氧疗法,
CM_0_1_4_2,CM-0-1-4-2,m,93.9601 吸氧,
CM_0_1_4_2,CM-0-1-4-2,n,93.9700 减压仓疗法,
CM_0_1_4_2,CM-0-1-4-2,o,93.9800 其他控制气压和空气成分的疗法,
CM_0_1_4_2,CM-0-1-4-2,p,93.9900其他呼吸操作,
CM_0_1_4_2,CM-0-1-4-2,q,96.0400气管内插管,
CM_0_1_4_2,CM-0-1-4-2,r,96.7000 未特指时间的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,s,96.7100 少于96小时连续的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,t,96.7101 呼吸机治疗[小于96小时],
CM_0_1_4_2,CM-0-1-4-2,u,96.7200 等于或大于96小时连续的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,v,96.7201 呼吸机治疗[大于等于96小时],
CM_0_1_4_2,CM-0-1-4-2,oth,其他,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CACC_0_2_1_1,CACC-0-2-1-1,def,请选择,
CACC_0_2_1_1,CACC-0-2-1-1,a,2-5岁,
CACC_0_2_1_1,CACC-0-2-1-1,b,6-12岁,
CACC_0_2_1_1,CACC-0-2-1-1,c,13-17岁,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_2_2_1,CM-0-2-2-1,UTD,无法确定或无记录,
CM_0_2_3_1,CM-0-2-3-1,UTD,无法确定或无记录,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
CM_0_3_3,CM-0-3-3,def,请选择,
CM_0_3_3,CM-0-3-3,a,救护车,
CM_0_3_3,CM-0-3-3,b,出租车,
CM_0_3_3,CM-0-3-3,c,私家车,
CM_0_3_3,CM-0-3-3,d,其他,
CACC_1_1_1,CACC-1-1-1,def,请选择,
CACC_1_1_1,CACC-1-1-1,a,符合儿童哮喘急性发作入院标准,
CACC_1_1_1,CACC-1-1-1,b,符合哮喘儿童急性发作入住 ICU标准,
CACC_1_1_1_1,CACC-1-1-1-1,a,症状(咳嗽、喘息伴有胸闷、憋气/气急、呼吸困难/缺氧、精神萎靡、大汗淋漓等),
CACC_1_1_1_1,CACC-1-1-1-1,b,体征(肺部哮鸣音，或呼吸音减低伴哮鸣音减少等),
CACC_1_1_1_1,CACC-1-1-1-1,c,哮喘持续状态(喘息严重发作经合理应用支气管舒张剂和糖皮质激素等哮喘缓解药物治疗后，仍有严重或进行性呼吸困难加重者),
CACC_1_1_1_2,CACC-1-1-1-2,def,请选择,
CACC_1_1_1_2,CACC-1-1-1-2,a,重度-危重度哮喘发作的儿童，经常规紧急处理后症状未能改善；,
CACC_1_1_1_2,CACC-1-1-1-2,b,严重缺氧、发绀、呼吸困难，肺部呼吸音明显降低；,
