表代号,表名,选择字母,内容,
CM_7_1_1,CM-7-1-1,术前健康教育,数组,
CM_7_1_1,CM-7-1-1,否,"例:[""b"",""def""]",
CM_7_1_1,CM-7-1-1,若该字段无相应取值，则接口中不必提交该字段,见,
CM_7_1_2,CM-7-1-2,术后健康教育,数组,
CM_7_1_2,CM-7-1-2,否,"例:[""b"",""def""]",
CM_7_1_2,CM-7-1-2,若该字段无相应取值，则接口中不必提交该字段,见,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C53.0 宫颈内膜恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,C53.1 外宫颈恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,c,C53.8 宫颈交搭跨越恶性肿瘤的损害,
CM_0_1_3_1,CM-0-1-3-1,d,C53.9 未特指的宫颈恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,C53.000 宫颈内膜恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,b,C53.000x001 子宫颈内膜恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,c,C53.100 外宫颈恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,d,C53.800 宫颈交搭跨越恶性肿瘤的损害,
CM_0_1_3_2,CM-0-1-3-2,e,C53.801 宫颈残端恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,f,C53.900 宫颈恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,g,C53.900x001 子宫颈恶性肿瘤,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,67.2子宫颈锥形切除术,
CM_0_1_4_1,CM-0-1-4-1,b,67.31子宫颈囊肿袋形缝合术[造袋术],
CM_0_1_4_1,CM-0-1-4-1,c,67.32子宫颈病损烧灼破坏术,
CM_0_1_4_1,CM-0-1-4-1,d,67.33子宫颈病损冷冻破坏术,
CM_0_1_4_1,CM-0-1-4-1,e,67.39子宫颈病损或组织的其他切除术或破坏术,
CM_0_1_4_1,CM-0-1-4-1,f,67.4子宫颈截断术,
CM_0_1_4_1,CM-0-1-4-1,g,68.41腹腔镜经腹全子宫切除术,
CM_0_1_4_1,CM-0-1-4-1,h,68.49其他和未特指的腹式全子宫切除术,
CM_0_1_4_1,CM-0-1-4-1,i,68.51腹腔镜辅助阴道子宫切除术(LAVH),
CM_0_1_4_1,CM-0-1-4-1,j,68.59其他和未特指的阴道子宫切除术,
CM_0_1_4_1,CM-0-1-4-1,k,68.61腹腔镜下下根治性子宫切除术,
CM_0_1_4_1,CM-0-1-4-1,l,68.69其他和未特指的腹式根治性子宫切除术,
