序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
0,,,,,,,,,,
1,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
2,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",长度不能大于50;,只允许填写中文汉字、字母、数字,,,
3,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",长度不能大于50;,只允许填写中文汉字、字母、数字,,,
4,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",长度不能大于50;,只允许填写中文汉字、字母、数字,,,
5,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",长度不能大于50;,只允许填写中文汉字、字母、数字,,,
6,caseId,患者病案号,字符串,是,"例:""填写文字说明""",,,,,
7,IDCard,患者身份证号,字符串,是,"例:""填写文字说明""",身份证号不正确,,,,
8,CM-0-1-3-1,出院诊断ICD-10四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-3-1选择代码表,,,
9,CM-0-1-3-2,出院诊断ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-3-2选择代码表,,,
10,CM-0-1-4-1,主要手术操作 国家临床版ICD-9.CM-3编码与手术名称,字符串,是,"例:""a""",见,CM-0-1-4-1选择代码表,,,
11,CM-0-1-5,是否出院后31天内重复住院,字符串,是,"例:""y""",见,CM-0-1-5选择代码表,,,
12,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,
13,CM-0-2-1-3,患者体重（kg）,数值,是,例:10,患者体重应大于等于0,,,,
14,CM-0-2-1-5,患者身高（cm）,数值,是,例:10,患者身高应大于等于0,,,,
15,CM-0-2-1-6,新生儿出生体重（克）,数值,否,例:10,若该字段无相应取值，则接口中不必提交该字段,,,,
16,CS-0-2-2-1,末次月经日期是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,CS-0-2-2-1选择代码表,,
17,CS-0-2-2,末次月经日期,字符串,参考备注,"例:""1970-01-01""","末次月经日期是否确定(CS-0-2-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,"时间格式不正确,正确格式为2017-01-01;",末次月经日期不能小于出生日期,
18,CM-0-2-3-1,到达本院急诊或者门诊日期时间是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-2-3-1选择代码表,,
19,CM-0-2-3-2,到达本院急诊或者门诊日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","到达本院急诊或者门诊日期时间是否确定(CM-0-2-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,到达本院急诊或者门诊日期时间应大于末次月经日期,,
20,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",入院日期时间应大于到达本院急诊或者门诊日期时间,,,,
21,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,"住院天数,不得为0;",住院天数≥90天者应关闭中止上报,,
22,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术开始日期时间应大于入院日期时间,,,,
23,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,
24,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,
