表代号,表名,选择字母,内容,
CSE_0_3_4,CSE-0-3-4,def,请选择,
CSE_0_3_4,CSE-0-3-4,a,符合以下2015年国际抗癫痫联盟（ILAE）癫痫持续状态定义的患者，成人和5岁以上小儿,
CSE_0_3_4,CSE-0-3-4,b,全身惊厥性发作持续5分钟以上或5分钟以上的反复发作，发作间期意识不能完全恢复者,
CSE_0_3_4,CSE-0-3-4,c,难治性癫痫持续状态指足够剂量的一线抗SE药物，如苯二氮卓类药物。后续另一种抗癫痫药物治疗仍无法终止惊厥发作和脑电图痫性放电（1小时）,
CSE_0_3_4,CSE-0-3-4,d,排除非癫痫持续状态,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,G41.0癫痫大发作持续状态,
CM_0_1_3_1,CM-0-1-3-1,b,G41.8其他癫痫持续状态,
CM_0_1_3_1,CM-0-1-3-1,c,G41.9未特指的癫痫持续状态,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,G41.000 癫痫大发作持续状态,
CM_0_1_3_2,CM-0-1-3-2,b,G41.000x001 癫痫大发作状态,
CM_0_1_3_2,CM-0-1-3-2,c,G41.000x002 癫痫全面性强直-阵挛发作持续状态,
CM_0_1_3_2,CM-0-1-3-2,d,G41.000x003 癫痫阵挛发作持续状态,
CM_0_1_3_2,CM-0-1-3-2,e,G41.000x004 癫痫强直性发作持续状态,
CM_0_1_3_2,CM-0-1-3-2,f,G41.000x005 癫痫肌阵孪发作持续状态,
CM_0_1_3_2,CM-0-1-3-2,g,G41.001 全面性强直阵挛性癫痫持续状态,
CM_0_1_3_2,CM-0-1-3-2,h,G41.800 癫痫持续状态，其他的,
CM_0_1_3_2,CM-0-1-3-2,i,G41.800x001 全面性强直性癫痫持续状态,
CM_0_1_3_2,CM-0-1-3-2,j,G41.800x002 全面性阵挛性癫痫持续状态,
CM_0_1_3_2,CM-0-1-3-2,k,G41.800x003 全面性肌阵挛性癫痫持续状态,
CM_0_1_3_2,CM-0-1-3-2,l,G41.900 癫痫持续状态,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,01.32 脑叶切开术和(神经)束切断术,
CM_0_1_4_1,CM-0-1-4-1,b,01.39 脑的其他切开术,
CM_0_1_4_1,CM-0-1-4-1,c,01.41 丘脑手术,
CM_0_1_4_1,CM-0-1-4-1,d,01.53 脑叶切除术,
CM_0_1_4_1,CM-0-1-4-1,e,01.59 大脑病损或组织的其他切除术或破坏术,
CM_0_1_4_1,CM-0-1-4-1,f,02.93 颅内神经刺激器导线植入或置换术,
CM_0_1_4_1,CM-0-1-4-1,oth,其他术式,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,01.3205 胼胝体切开术,
CM_0_1_4_2,CM-0-1-4-2,b,01.3908 大脑半球切开术,
CM_0_1_4_2,CM-0-1-4-2,c,01.4105 丘脑病损切除术,
CM_0_1_4_2,CM-0-1-4-2,d,01.5302 额叶切除术,
CM_0_1_4_2,CM-0-1-4-2,e,01.5303 颞叶切除术,
CM_0_1_4_2,CM-0-1-4-2,f,01.5900x036 海马杏仁核切除术,
CM_0_1_4_2,CM-0-1-4-2,g,01.5900x041 额颞岛叶病损切除术,
CM_0_1_4_2,CM-0-1-4-2,h,01.5906 岛叶病损切除术,
CM_0_1_4_2,CM-0-1-4-2,i,01.5933 选择性杏仁核海马切除术,
CM_0_1_4_2,CM-0-1-4-2,j,01.5936 神经导航下颅内病灶切除术,
CM_0_1_4_2,CM-0-1-4-2,k,01.5940 枕叶病损切除术,
CM_0_1_4_2,CM-0-1-4-2,l,02.9301 颅内神经刺激器植入术,
CM_0_1_4_2,CM-0-1-4-2,m,02.9304 丘脑底核电极刺激器置入术,
CM_0_1_4_2,CM-0-1-4-2,oth,其他术式,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_2_2_1,CM-0-2-2-1,UTD,无法确定或无记录,
CM_0_2_3_1,CM-0-2-3-1,UTD,无法确定或无记录,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
CM_0_3_3,CM-0-3-3,def,请选择,
CM_0_3_3,CM-0-3-3,a,救护车,
CM_0_3_3,CM-0-3-3,b,出租车,
CM_0_3_3,CM-0-3-3,c,私家车,
CM_0_3_3,CM-0-3-3,d,其他,
CSE_0_4_1,CSE-0-4-1,y,是,
CSE_0_4_1,CSE-0-4-1,n,否,
CSE_0_4_2,CSE-0-4-2,y,是,
CSE_0_4_2,CSE-0-4-2,n,否,
CSE_0_4_3,CSE-0-4-3,a,吸氧保持呼吸道通畅,
CSE_0_4_3,CSE-0-4-3,b,心电监测生命体征,
CSE_0_4_3,CSE-0-4-3,c,开放静脉,
CSE_0_4_3,CSE-0-4-3,d,测血糖,
CSE_1_1_2,CSE-1-1-2,y,是,
CSE_1_1_2,CSE-1-1-2,n,否,
CSE_1_1_3,CSE-1-1-3,y,是,
CSE_1_1_3,CSE-1-1-3,n,否,
CSE_1_2_1,CSE-1-2-1,a,生命体征监测,
CSE_1_2_1,CSE-1-2-1,b,鼻道管或面罩吸氧,
CSE_1_2_1,CSE-1-2-1,c,静脉通路建立,
CSE_1_2_1,CSE-1-2-1,d,血常规、血糖、血生化、动脉血气分析,
CSE_1_2_1,CSE-1-2-1,e,血、尿药物浓度或毒物筛查,
CSE_1_2_1,CSE-1-2-1,f,心电图,
CSE_1_2_1,CSE-1-2-1,oth,其他,
CSE_1_2_1,CSE-1-2-1,UTD,无法确定或无记录,
CSE_1_2_3,CSE-1-2-3,y,是,
CSE_1_2_3,CSE-1-2-3,n,否,
CSE_1_2_3_1,CSE-1-2-3-1,y,是,
CSE_1_2_3_1,CSE-1-2-3-1,n,否,
CSE_1_2_7,CSE-1-2-7,a,筛查血/尿丙戊酸钠药物浓度,
CSE_1_2_7,CSE-1-2-7,b,筛查血/尿苯巴比妥浓度,
CSE_1_2_7,CSE-1-2-7,c,筛查血/尿卡马西平浓度,
CSE_1_2_7,CSE-1-2-7,d,筛查血/尿苯妥英钠浓度,
CSE_1_2_7,CSE-1-2-7,e,筛查其他药物浓度,
CSE_1_2_7,CSE-1-2-7,f,未使用抗癫痫药物，无需筛查,
CSE_1_2_7,CSE-1-2-7,g,未进行筛查,
CSE_1_2_7,CSE-1-2-7,UTD,无法确定或无记录,
CSE_1_2_8_1,CSE-1-2-8-1,UTD,无法确定或无记录,
CSE_1_2_9,CSE-1-2-9,y,是,
CSE_1_2_9,CSE-1-2-9,n,否,
CSE_1_2_10,CSE-1-2-10,y,是,
CSE_1_2_10,CSE-1-2-10,n,否,
CSE_1_2_12,CSE-1-2-12,def,请选择,
CSE_1_2_12,CSE-1-2-12,a,房颤/房扑,
CSE_1_2_12,CSE-1-2-12,b,新发LBBB,
CSE_1_2_12,CSE-1-2-12,c,ST段抬高心肌梗死,
CSE_1_2_12,CSE-1-2-12,d,非ST段抬高心肌梗死,
CSE_1_2_12,CSE-1-2-12,e,正常或大致正常ECG,
CSE_1_2_12,CSE-1-2-12,oth,其他,
