表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,J13 链球菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,b,J14 流感嗜血杆菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,c,J15.0 肺炎杆菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,d,J15.1 假单胞菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,e,J15.2 葡萄球菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,f,J15.3 B族链球菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,g,J15.4 其他链球菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,h,J15.5 大肠杆菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,i,J15.6 其他需氧的革兰氏阴性细菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,j,J15.7 肺炎支原体性肺炎,
CM_0_1_3_1,CM-0-1-3-1,k,J15.8 其他的细菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,l,J15.9 未特指的细菌性肺炎,
CM_0_1_3_1,CM-0-1-3-1,r,J16.0 其他传染性病原体引起的肺炎，不可归类在他处者,
CM_0_1_3_1,CM-0-1-3-1,m,J18.0 未特指的支气管肺炎,
CM_0_1_3_1,CM-0-1-3-1,n,J18.1 未特指的大叶性肺炎,
CM_0_1_3_1,CM-0-1-3-1,o,J18.2 未特指的坠积性肺炎,
CM_0_1_3_1,CM-0-1-3-1,p,J18.8 其他病原体未特指的肺炎,
CM_0_1_3_1,CM-0-1-3-1,q,J18.9 未特指的肺炎,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,J13.x00 链球菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,2,J13.x00x001 肺炎链球菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,3,J14.x00 流感嗜血杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,4,J14.x00x002 流感嗜血杆菌性支气管肺炎,
CM_0_1_3_2,CM-0-1-3-2,5,J15.000 肺炎杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,6,J15.000x002 克雷白氏杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,7,J15.100 假单胞菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,8,J15.100x002 绿脓杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,9,J15.101 铜绿假单胞菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,10,J15.200 葡萄球菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,11,J15.300 B族链球菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,12,J15.400 链球菌性肺炎，其他的,
CM_0_1_3_2,CM-0-1-3-2,13,J15.402 肠球菌属性肺炎,
CM_0_1_3_2,CM-0-1-3-2,14,J15.500 大肠杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,15,J15.600 需氧的革兰氏阳性细菌性肺炎，其他的,
CM_0_1_3_2,CM-0-1-3-2,16,J15.600x002 革兰阴性细菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,17,J15.600x003 粘质沙雷菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,18,J15.600x005 鲍曼不动杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,19,J15.600x006 坂崎肠杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,20,J15.600x011 革兰氏阴性细菌性肺炎，其他的,
CM_0_1_3_2,CM-0-1-3-2,21,J15.601 变形杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,22,J15.602 阴沟杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,23,J15.700 肺炎支原体性肺炎,
CM_0_1_3_2,CM-0-1-3-2,24,J15.800 细菌性肺炎，其他的,
CM_0_1_3_2,CM-0-1-3-2,25,J15.800x001 革兰阳性细菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,26,J15.800x002 产气杆菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,27,J15.900 细菌性肺炎,
CM_0_1_3_2,CM-0-1-3-2,28,J15.901 细菌性支气管肺炎,
CM_0_1_3_2,CM-0-1-3-2,29,J15.902 社区获得性肺炎，非重症,
CM_0_1_3_2,CM-0-1-3-2,30,J15.903 社区获得性肺炎，重症,
CM_0_1_3_2,CM-0-1-3-2,31,J16.000衣原体肺炎,
CM_0_1_3_2,CM-0-1-3-2,32,J18.000 支气管肺炎,
CM_0_1_3_2,CM-0-1-3-2,33,J18.000x001 喘息性支气管肺炎,
CM_0_1_3_2,CM-0-1-3-2,34,J18.000x002 毛细管支气管性肺炎,
CM_0_1_3_2,CM-0-1-3-2,35,J18.001 弥漫性肺炎,
CM_0_1_3_2,CM-0-1-3-2,36,J18.002 支气管肺炎，非重症,
CM_0_1_3_2,CM-0-1-3-2,37,J18.100 大叶性肺炎,
CM_0_1_3_2,CM-0-1-3-2,38,J18.200 坠积性肺炎,
CM_0_1_3_2,CM-0-1-3-2,39,"J18.800 肺炎，其他的,病原体未特指的",
CM_0_1_3_2,CM-0-1-3-2,40,J18.800x001 多重感染的肺炎,
CM_0_1_3_2,CM-0-1-3-2,41,J18.800x002 节段性肺炎,
CM_0_1_3_2,CM-0-1-3-2,42,J18.800x003 阻塞性肺炎,
CM_0_1_3_2,CM-0-1-3-2,43,J18.800x004 中毒性肺炎,
CM_0_1_3_2,CM-0-1-3-2,44,J18.800x006 中叶性肺炎,
CM_0_1_3_2,CM-0-1-3-2,45,J18.800x011 医院获得性肺炎,
CM_0_1_3_2,CM-0-1-3-2,46,J18.800x012 免疫抑制宿主性肺炎,
CM_0_1_3_2,CM-0-1-3-2,47,J18.801 肺泡性肺炎,
CM_0_1_3_2,CM-0-1-3-2,48,J18.900 肺炎,
CM_0_1_3_2,CM-0-1-3-2,49,J18.902 迁延性肺炎,
CM_0_1_3_2,CM-0-1-3-2,50,J18.903 重症肺炎,
CM_0_1_4_1,CM-0-1-4-1,a,31.1 暂时性气管造口术,
CM_0_1_4_1,CM-0-1-4-1,b,39.65 体外膜肺氧合ECMO,
CM_0_1_4_1,CM-0-1-4-1,c,93.90 无创机械性通气,
CM_0_1_4_1,CM-0-1-4-1,d,93.91 间歇性正压通气[IPPB],
CM_0_1_4_1,CM-0-1-4-1,e,93.94 喷雾法给予呼吸药物,
CM_0_1_4_1,CM-0-1-4-1,f,93.95 高压给氧,
CM_0_1_4_1,CM-0-1-4-1,g,93.96 其他富氧疗法,
CM_0_1_4_1,CM-0-1-4-1,h,93.98 其他控制气压和空气成分的疗法,
CM_0_1_4_1,CM-0-1-4-1,i,93.99 其他呼吸操作,
CM_0_1_4_1,CM-0-1-4-1,j,96.04 气管内插管,
CM_0_1_4_1,CM-0-1-4-1,k,96.70 未特指时间的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,l,96.71 小于96小时连续的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,m,96.72 大于等于96小时连续的持续性侵入性机械通气,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,31.1x00 暂时性气管造口术,
CM_0_1_4_2,CM-0-1-4-2,b,31.1x00x005 暂时性气管切开术,
CM_0_1_4_2,CM-0-1-4-2,c,39.6500 体外膜氧合[ECMO],
CM_0_1_4_2,CM-0-1-4-2,d,93.9000 无创机械性通气,
CM_0_1_4_2,CM-0-1-4-2,e,93.9000x002 无创呼吸机辅助通气(双水平气道正压[BiPAP]),
CM_0_1_4_2,CM-0-1-4-2,f,93.9000x003 无创呼吸机辅助通气(高频通气[HFPPV]),
CM_0_1_4_2,CM-0-1-4-2,g,93.9001 持续性气道正压通气（CPAP）,
CM_0_1_4_2,CM-0-1-4-2,h,93.9100 间歇性正压通气[IPPB],
CM_0_1_4_2,CM-0-1-4-2,i,93.9400 喷雾法给予呼吸药物,
CM_0_1_4_2,CM-0-1-4-2,j,93.9401 雾化吸入,
CM_0_1_4_2,CM-0-1-4-2,k,93.9500 高压给氧,
CM_0_1_4_2,CM-0-1-4-2,l,93.9600 其他富氧疗法,
CM_0_1_4_2,CM-0-1-4-2,m,93.9601 吸氧,
CM_0_1_4_2,CM-0-1-4-2,n,93.9800 其他控制气压和空气成分的疗法,
CM_0_1_4_2,CM-0-1-4-2,o,93.9900 其他呼吸操作,
CM_0_1_4_2,CM-0-1-4-2,p,96.7000 未特指时间的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,q,96.7100 少于96小时连续的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,r,96.7101 呼吸机治疗[小于96小时],
CM_0_1_4_2,CM-0-1-4-2,s,96.7200 等于或大于96小时连续的持续性侵入性机械性通气,
CM_0_1_4_2,CM-0-1-4-2,t,96.7201 呼吸机治疗[大于等于96小时],
CM_0_1_4_2,CM-0-1-4-2,oth,其他,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_2_2_1,CM-0-2-2-1,UTD,无法确定或无记录,
CM_0_2_3_1,CM-0-2-3-1,UTD,无法确定或无记录,
Cap_0_2_1_2,Cap-0-2-1-2,def,请选择,
Cap_0_2_1_2,Cap-0-2-1-2,a,1～3月龄患儿组,
Cap_0_2_1_2,Cap-0-2-1-2,b,4月龄～5岁患儿组,
Cap_0_2_1_2,Cap-0-2-1-2,c,＞5岁～青少年组,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
CM_0_3_3,CM-0-3-3,def,请选择,
CM_0_3_3,CM-0-3-3,a,救护车,
CM_0_3_3,CM-0-3-3,b,出租车,
CM_0_3_3,CM-0-3-3,c,私家车,
CM_0_3_3,CM-0-3-3,d,其他,
Cap_1_1_0,Cap-1-1-0,y,是,
Cap_1_1_0,Cap-1-1-0,n,否,
Cap_1_1_1,Cap-1-1-1,a,有基础疾病史：包括先天性心脏病、支气管肺发育不良、 呼吸道畸形、遗传代谢疾病、脑发育不良、神经和肌肉疾病、免疫缺陷病、贫血、II度以上营养不良、既往有感染史、严重过敏或哮喘史、早产史、既往住院史、慢性肝肾疾病等,
Cap_1_1_1,Cap-1-1-1,c,经积极治疗，病情无好转，病程超过1周,
Cap_1_1_1,Cap-1-1-1,oth,其他高危因素,
Cap_1_1_2,Cap-1-1-2,a,一般情况差,
Cap_1_1_2,Cap-1-1-2,b,有意识障碍,
Cap_1_1_2,Cap-1-1-2,c,紫绀,
Cap_1_1_2,Cap-1-1-2,d,呼吸增快，RR≥70次/分（婴儿），RR≥50次/分（1岁以上）,
Cap_1_1_2,Cap-1-1-2,e,辅助呼吸（呻吟、鼻扇、三凹征）,
Cap_1_1_2,Cap-1-1-2,f,间歇性呼吸暂停,
Cap_1_1_2,Cap-1-1-2,g,氧饱和度&lt;92%,
Cap_1_1_2,Cap-1-1-2,h,持续高热超过5天或超高热,
Cap_1_1_2,Cap-1-1-2,i,有脱水征/拒食,
Cap_1_1_2,Cap-1-1-2,j,胸片或胸部CT(≥2/3一侧肺浸润、多叶肺浸润、 胸腔积液、气胸、肺不张、肺坏死、 肺脓肿),
Cap_1_1_2,Cap-1-1-2,k,有肺外并发症,
Cap_1_1_3,Cap-1-1-3,def,请选择,
