表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C18.0 盲肠恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,C18.1 阑尾恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,c,C18.2 升结肠恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,d,C18.3 结肠肝曲恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,e,C18.4 横结肠恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,f,C18.5 结肠脾曲恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,g,C18.6 降结肠恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,h,C18.7 乙状结肠恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,i,C18.8 结肠交搭跨越恶性肿瘤的损害,
CM_0_1_3_1,CM-0-1-3-1,j,C18.9 未特指的结肠恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,k,D01.0 结肠原位癌,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,C18.000 盲肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,b,C18.001 回盲部恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,c,C18.100 阑尾恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,d,C18.200 升结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,e,C18.300 结肠肝曲恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,f,C18.400 横结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,g,C18.500 结肠脾曲恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,h,C18.600 降结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,i,C18.700 乙状结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,j,C18.800 结肠交搭跨越恶性肿瘤的损害,
CM_0_1_3_2,CM-0-1-3-2,k,C18.800x002 盲肠及升结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,l,C18.801 降结肠乙状结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,m,C18.802 升结肠横结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,n,C18.803 横结肠降结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,o,C18.900 结肠恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,p,C18.900x001 结肠多处恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,q,C18.901 结肠腺瘤恶变,
CM_0_1_3_2,CM-0-1-3-2,r,D01.000 结肠原位癌,
CM_0_1_4_1,CM-0-1-4-1,m,17.31 腹腔镜多段大肠切除术,
CM_0_1_4_1,CM-0-1-4-1,n,17.32 腹腔镜盲肠切除术,
CM_0_1_4_1,CM-0-1-4-1,o,17.33 腹腔镜右半结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,p,17.34 腹腔镜横结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,q,17.35 腹腔镜左半结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,r,17.36 腹腔镜乙状结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,s,17.39 其他腹腔镜大肠部分切除术,
CM_0_1_4_1,CM-0-1-4-1,a,45.41 大肠病损或组织的切除术,
CM_0_1_4_1,CM-0-1-4-1,b,45.42 内镜下大肠息肉切除术,
CM_0_1_4_1,CM-0-1-4-1,c,45.43 内镜下大肠其他病损或组织破坏术,
CM_0_1_4_1,CM-0-1-4-1,d,45.49 大肠病损的其他破坏术,
CM_0_1_4_1,CM-0-1-4-1,e,45.73 开放性和其他右半结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,f,45.74 开放性和其他横结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,g,45.75 左半结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,h,45.76 开放性和其他乙状结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,i,45.79 其他和未特指大肠部分切除术,
CM_0_1_4_1,CM-0-1-4-1,j,45.81 腹腔镜腹内全结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,k,45.82 开放性腹内全结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,l,45.83 其他和未特指的腹内全结肠切除术,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,63,17.3100 腹腔镜多段大肠切除术,
CM_0_1_4_2,CM-0-1-4-2,64,17.3101 腹腔镜直肠乙状结肠部分切除术,
CM_0_1_4_2,CM-0-1-4-2,65,17.3200 腹腔镜盲肠切除术,
CM_0_1_4_2,CM-0-1-4-2,66,17.3200x001 腹腔镜下盲肠部分切除术,
CM_0_1_4_2,CM-0-1-4-2,67,17.3200x002 腹腔镜下回盲部切除术,
CM_0_1_4_2,CM-0-1-4-2,68,17.3300 腹腔镜右半结肠切除术,
CM_0_1_4_2,CM-0-1-4-2,69,17.3300x002 腹腔镜下升结肠部分切除术,
CM_0_1_4_2,CM-0-1-4-2,70,17.3400 腹腔镜横结肠切除术,
CM_0_1_4_2,CM-0-1-4-2,71,17.3401 腹腔镜横结肠部分切除术,
CM_0_1_4_2,CM-0-1-4-2,72,17.3500 腹腔镜左半结肠切除术,
CM_0_1_4_2,CM-0-1-4-2,73,17.3500x001 腹腔镜下降结肠部分切除术,
CM_0_1_4_2,CM-0-1-4-2,74,17.3600 腹腔镜乙状结肠切除术,
CM_0_1_4_2,CM-0-1-4-2,75,17.3600x001 腹腔镜下乙状结肠部分切除术,
CM_0_1_4_2,CM-0-1-4-2,76,17.3900 其他腹腔镜大肠部分切除术,
CM_0_1_4_2,CM-0-1-4-2,77,17.3900x002 腹腔镜下结肠部分切除术,
CM_0_1_4_2,CM-0-1-4-2,78,17.3900x003 腹腔镜下小肠-结肠切除术,
CM_0_1_4_2,CM-0-1-4-2,1,45.4100 大肠病损或组织的切除术,
