表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,a,"Q65.0 先天性髋脱位,单侧",
CM_0_1_3_1,CM-0-1-3-1,b,"Q65.1 先天性髋脱位,双侧",
CM_0_1_3_1,CM-0-1-3-1,c,"Q65.2 先天性髋脱位,未特指",
CM_0_1_3_1,CM-0-1-3-1,d,"Q65.3 先天性髋半脱位,单侧",
CM_0_1_3_1,CM-0-1-3-1,e,"Q65.4 先天性髋半脱位,双侧",
CM_0_1_3_1,CM-0-1-3-1,f,Q65.5 未特指的先天性髋半脱位,
CM_0_1_3_1,CM-0-1-3-1,g,Q65.6 不稳定髋,
CM_0_1_3_1,CM-0-1-3-1,h,Q65.8 髋的其他先天性变形,
CM_0_1_3_1,CM-0-1-3-1,i,Q65.9 髋未特指的先天性变形,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,Q65.000 先天性髋脱位，单侧,
CM_0_1_3_2,CM-0-1-3-2,b,Q65.100 先天性髋脱位，双侧,
CM_0_1_3_2,CM-0-1-3-2,c,Q65.200 先天性髋脱位,
CM_0_1_3_2,CM-0-1-3-2,d,Q65.300 先天性髋半脱位，单侧,
CM_0_1_3_2,CM-0-1-3-2,e,Q65.400 先天性髋半脱位，双侧,
CM_0_1_3_2,CM-0-1-3-2,f,Q65.500 先天性髋半脱位,
CM_0_1_3_2,CM-0-1-3-2,g,Q65.600 不稳定髋,
CM_0_1_3_2,CM-0-1-3-2,h,Q65.800 髋的其他先天性变形,
CM_0_1_3_2,CM-0-1-3-2,i,Q65.800x004 先天性髋关节外展挛缩,
CM_0_1_3_2,CM-0-1-3-2,j,Q65.801 先天性髋关节发育不良,
CM_0_1_3_2,CM-0-1-3-2,k,Q65.802 先天性髋臼发育不良,
CM_0_1_3_2,CM-0-1-3-2,l,Q65.803 先天性髋内翻,
CM_0_1_3_2,CM-0-1-3-2,m,Q65.804 先天性髋外翻,
CM_0_1_3_2,CM-0-1-3-2,n,Q65.900 髋先天性变形,
CM_0_1_4_1,CM-0-1-4-1,a,77.2 楔形骨切开术,
CM_0_1_4_1,CM-0-1-4-1,b,79.85 髋脱位开放性复位术,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,77.2500 股骨楔形骨切开术,
CM_0_1_4_2,CM-0-1-4-2,b,77.2500x001 股骨截骨术,
CM_0_1_4_2,CM-0-1-4-2,c,77.2500x002 股骨上端截骨术,
CM_0_1_4_2,CM-0-1-4-2,d,77.2500x003 股骨粗隆间截骨术,
CM_0_1_4_2,CM-0-1-4-2,e,77.2500x004 股骨粗隆下截骨术,
CM_0_1_4_2,CM-0-1-4-2,f,77.2500x005 股骨麦氏截骨术,
CM_0_1_4_2,CM-0-1-4-2,g,77.2500x006 股骨髁上截骨术,
CM_0_1_4_2,CM-0-1-4-2,h,77.2500x007 股骨下端截骨术,
CM_0_1_4_2,CM-0-1-4-2,i,77.2500x008 股骨粗隆部旋转截骨术,
CM_0_1_4_2,CM-0-1-4-2,j,77.2500x009 股骨粗隆下内收截骨术,
CM_0_1_4_2,CM-0-1-4-2,k,77.2900x001 骨盆截骨术,
CM_0_1_4_2,CM-0-1-4-2,l,77.2900x007 髋脱位髋骨截骨术,
CM_0_1_4_2,CM-0-1-4-2,m,77.2900x008 髂骨截骨术,
CM_0_1_4_2,CM-0-1-4-2,n,77.2901 骨盆楔形截骨术,
CM_0_1_4_2,CM-0-1-4-2,o,79.8500 髋脱位开放性复位术,
CM_0_1_4_2,CM-0-1-4-2,p,79.8500x001 髋关节脱位切开复位内固定术,
CM_0_1_4_2,CM-0-1-4-2,oth,其他,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
CM_0_3_3,CM-0-3-3,def,请选择,
CM_0_3_3,CM-0-3-3,a,救护车,
CM_0_3_3,CM-0-3-3,b,出租车,
CM_0_3_3,CM-0-3-3,c,私家车,
CM_0_3_3,CM-0-3-3,d,其他,
DDH_1_1_1,DDH-1-1-1,a,跛行、鸭步,
DDH_1_1_1,DDH-1-1-1,b,下肢不等长,
DDH_1_1_1,DDH-1-1-1,c,腰椎前凸增大,
DDH_1_1_1,DDH-1-1-1,d,髋外展受限,
DDH_1_1_1,DDH-1-1-1,e,Allis征阳性,
DDH_1_1_1,DDH-1-1-1,f,Trendelenburg征阳性,
DDH_1_1_1,DDH-1-1-1,oth,其他,
DDH_1_1_2,DDH-1-1-2,def,请选择,
DDH_1_1_2,DDH-1-1-2,a,左侧,
DDH_1_1_2,DDH-1-1-2,b,右侧,
DDH_1_1_2,DDH-1-1-2,c,双侧,
DDH_1_2_1,DDH-1-2-1,def,请选择,
DDH_1_2_1,DDH-1-2-1,a,X线双髋关节正位片,
DDH_1_2_1,DDH-1-2-1,b,CT三维重建,
DDH_1_2_1,DDH-1-2-1,c,髋关节超声检查,
DDH_1_2_1_1,DDH-1-2-1-1,a,Perkin方格,
DDH_1_2_1_1,DDH-1-2-1-1,b,髋臼指数-AI,
DDH_1_2_1_1,DDH-1-2-1-1,c,中心边缘角-CEA,
DDH_1_2_1_1,DDH-1-2-1-1,d,Shenton线,
DDH_1_2_1_1,DDH-1-2-1-1,e,泪滴征-Teardrop,
DDH_1_2_1_3,DDH-1-2-1-3,def,请选择,
DDH_1_2_1_3,DDH-1-2-1-3,a,Graf分型：I,
DDH_1_2_1_3,DDH-1-2-1-3,b,Graf分型：IIa+,
DDH_1_2_1_3,DDH-1-2-1-3,c,Graf分型：IIa-,
DDH_1_2_1_3,DDH-1-2-1-3,d,Graf分型：IIb,
DDH_1_2_1_3,DDH-1-2-1-3,e,Graf分型：IIc,
DDH_1_2_1_3,DDH-1-2-1-3,f,Graf分型：D,
DDH_1_2_1_3,DDH-1-2-1-3,g,Graf分型：IIIa,
DDH_1_2_1_3,DDH-1-2-1-3,h,Graf分型: IIIb,
DDH_1_2_1_3,DDH-1-2-1-3,i,Graf分型: IV,
DDH_1_2_1_2,DDH-1-2-1-2,a,观察股骨前倾角,
DDH_1_2_1_2,DDH-1-2-1-2,b,观察后脱位,
DDH_2_1_1,DDH-2-1-1,def,请选择,
DDH_2_1_1,DDH-2-1-1,a,切开复位,
DDH_2_1_1,DDH-2-1-1,b,骨盆截骨术式(改变髋臼方向),
DDH_2_1_1,DDH-2-1-1,c,骨盆截骨术式(改变髋臼形态),
DDH_2_1_1,DDH-2-1-1,d,姑息治疗(放弃复位)常用术式,
DDH_2_1_1,DDH-2-1-1,e,股骨近端（转子间、转子下）短缩截骨,
