表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,O00.0 腹腔妊娠,
CM_0_1_3_1,CM-0-1-3-1,b,O00.1 输卵管妊娠,
CM_0_1_3_1,CM-0-1-3-1,c,O00.2 卵巢妊娠,
CM_0_1_3_1,CM-0-1-3-1,d,O00.8 其他的异位妊娠,
CM_0_1_3_1,CM-0-1-3-1,e,O00.9 未特指的异位妊娠,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,O00.000 腹腔妊娠,
CM_0_1_3_2,CM-0-1-3-2,2,O00.001 大网膜妊娠,
CM_0_1_3_2,CM-0-1-3-2,3,O00.100 输卵管妊娠,
CM_0_1_3_2,CM-0-1-3-2,4,O00.100x017 输卵管妊娠合并宫内孕,
CM_0_1_3_2,CM-0-1-3-2,5,O00.100x018 输卵管伞部妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,6,O00.100x019 输卵管复合妊娠,
CM_0_1_3_2,CM-0-1-3-2,7,O00.101 输卵管妊娠流产,
CM_0_1_3_2,CM-0-1-3-2,8,O00.102 输卵管妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,9,O00.103 输卵管残端妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,10,O00.104 输卵管壶腹部妊娠,
CM_0_1_3_2,CM-0-1-3-2,11,O00.105 输卵管壶腹部妊娠流产,
CM_0_1_3_2,CM-0-1-3-2,12,O00.106 输卵管壶腹部妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,13,O00.107 输卵管间质部妊娠,
CM_0_1_3_2,CM-0-1-3-2,14,O00.108 输卵管间质部妊娠流产,
CM_0_1_3_2,CM-0-1-3-2,15,O00.109 输卵管间质部妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,16,O00.110 输卵管伞部妊娠,
CM_0_1_3_2,CM-0-1-3-2,17,O00.111 输卵管伞部妊娠流产,
CM_0_1_3_2,CM-0-1-3-2,18,O00.112 输卵管伞端妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,19,O00.113 输卵管峡部妊娠,
CM_0_1_3_2,CM-0-1-3-2,20,O00.114 输卵管峡部妊娠流产,
CM_0_1_3_2,CM-0-1-3-2,21,O00.115 输卵管峡部妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,22,O00.116 陈旧性输卵管妊娠,
CM_0_1_3_2,CM-0-1-3-2,23,O00.200 卵巢妊娠,
CM_0_1_3_2,CM-0-1-3-2,24,O00.201 卵巢妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,25,O00.800 异位妊娠，其他的,
CM_0_1_3_2,CM-0-1-3-2,26,O00.800x006 子宫下段妊娠,
CM_0_1_3_2,CM-0-1-3-2,27,O00.800x007 子宫颈妊娠,
CM_0_1_3_2,CM-0-1-3-2,28,O00.800x008 剖宫产瘢痕妊娠,
CM_0_1_3_2,CM-0-1-3-2,29,O00.800x009 韧带内妊娠,
CM_0_1_3_2,CM-0-1-3-2,30,O00.801 残角子宫妊娠,
CM_0_1_3_2,CM-0-1-3-2,31,O00.802 残角子宫妊娠破裂,
CM_0_1_3_2,CM-0-1-3-2,32,O00.803 宫颈妊娠,
CM_0_1_3_2,CM-0-1-3-2,33,O00.804 宫内外复合妊娠,
CM_0_1_3_2,CM-0-1-3-2,34,O00.805 阔韧带妊娠,
CM_0_1_3_2,CM-0-1-3-2,35,O00.807 子宫瘢痕处妊娠,
CM_0_1_3_2,CM-0-1-3-2,36,O00.808 子宫壁妊娠,
CM_0_1_3_2,CM-0-1-3-2,37,O00.809 子宫角妊娠,
CM_0_1_3_2,CM-0-1-3-2,38,O00.900 异位妊娠,
CM_0_1_3_2,CM-0-1-3-2,39,O00.901 持续性异位妊娠,
CM_0_1_3_2,CM-0-1-3-2,40,O00.902 陈旧性异位妊娠,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,66.01 输卵管切开术,
CM_0_1_4_1,CM-0-1-4-1,b,66.02 输卵管造口术,
CM_0_1_4_1,CM-0-1-4-1,c,66.62 输卵管切除术伴去除输卵管妊娠,
CM_0_1_4_1,CM-0-1-4-1,d,66.95 治疗性物质吹入输卵管,
CM_0_1_4_1,CM-0-1-4-1,e,74.3 输卵管外异位妊娠,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,1,66.0100x006 输卵管切开妊娠物去除术,
CM_0_1_4_2,CM-0-1-4-2,2,66.0103 腹腔镜输卵管妊娠切开去除术,
CM_0_1_4_2,CM-0-1-4-2,3,66.0201 输卵管造口去除输卵管妊娠术,
CM_0_1_4_2,CM-0-1-4-2,4,66.0203 腹腔镜输卵管造口去除输卵管妊娠术,
CM_0_1_4_2,CM-0-1-4-2,5,66.6200 输卵管切除术伴去除输卵管妊娠,
CM_0_1_4_2,CM-0-1-4-2,6,66.6200x003 输卵管部分切除伴输卵管妊娠物去除术,
CM_0_1_4_2,CM-0-1-4-2,7,66.6200x004 腹腔镜下输卵管部分切除伴输卵管妊娠物去除术,
CM_0_1_4_2,CM-0-1-4-2,8,66.6201 腹腔镜输卵管切除伴输卵管妊娠去除术,
CM_0_1_4_2,CM-0-1-4-2,9,66.9500 治疗性物质吹入输卵管,
CM_0_1_4_2,CM-0-1-4-2,10,66.9500x001 腹腔镜下输卵管甲氨蝶呤注射术[MTX注射术],
CM_0_1_4_2,CM-0-1-4-2,11,66.9500x004 输卵管甲氨蝶呤注射术[MTX注射术],
CM_0_1_4_2,CM-0-1-4-2,12,66.9501输卵管注药术,
CM_0_1_4_2,CM-0-1-4-2,13,66.9502腹腔镜输卵管注药术,
