表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,a,E10 胰岛素依赖型糖尿病,
CM_0_1_3_1,CM-0-1-3-1,b,E11 非胰岛素依赖型糖尿病,
CM_0_1_3_1,CM-0-1-3-1,c,E12 营养不良相关性糖尿病,
CM_0_1_3_1,CM-0-1-3-1,d,E13 其他特指的糖尿病,
CM_0_1_3_1,CM-0-1-3-1,e,E14 未特指的糖尿病,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,E10.2001 型糖尿病伴有肾的并发症,
CM_0_1_3_2,CM-0-1-3-2,2,E10.200x0111 型糖尿病性前期肾病,
CM_0_1_3_2,CM-0-1-3-2,3,E10.200x0121 型糖尿病性前期肾小球肾病,
CM_0_1_3_2,CM-0-1-3-2,4,E10.200x0131 型糖尿病性前期基膜肥厚性肾小球肾病,
CM_0_1_3_2,CM-0-1-3-2,5,E10.200x0141 型糖尿病性前期肾小球系膜增殖性肾病,
CM_0_1_3_2,CM-0-1-3-2,6,E10.200x0151 型糖尿病性前期可逆的肾病,
CM_0_1_3_2,CM-0-1-3-2,7,E10.200x0161 型糖尿病性前期微白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,8,E10.200x0171 型糖尿病性前期持续性微白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,9,E10.200x0231 型糖尿病性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,10,E10.200x0241 型糖尿病性弥漫性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,11,E10.200x0251 型糖尿病性结节性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,12,E10.200x0261 型糖尿病性难愈性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,13,E10.200x0271 型糖尿病性大量白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,14,E10.200x0281 型糖尿病性递进性肾病,
CM_0_1_3_2,CM-0-1-3-2,15,E10.200x0291 型糖尿病性毛细管间性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,16,E10.200x0301 型糖尿病性持续蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,17,E10.200x0911 型糖尿病性急性肾功能衰竭,
CM_0_1_3_2,CM-0-1-3-2,18,E10.200x2111 型糖尿病肾病I期,
CM_0_1_3_2,CM-0-1-3-2,19,E10.200x2121 型糖尿病肾病II期,
CM_0_1_3_2,CM-0-1-3-2,20,E10.200x2131 型糖尿病肾病III期,
CM_0_1_3_2,CM-0-1-3-2,21,E10.200x2141 型糖尿病肾病IV期,
CM_0_1_3_2,CM-0-1-3-2,22,E10.200x2151 型糖尿病肾病V期,
CM_0_1_3_2,CM-0-1-3-2,23,E10.201 † 1型糖尿病性肾病,
CM_0_1_3_2,CM-0-1-3-2,24,E11.2002 型糖尿病伴有肾的并发症,
CM_0_1_3_2,CM-0-1-3-2,25,E11.200x0112 型糖尿病性前期肾病,
CM_0_1_3_2,CM-0-1-3-2,26,E11.200x0122 型糖尿病性前期肾小球肾病,
CM_0_1_3_2,CM-0-1-3-2,27,E11.200x0132 型糖尿病性前期基膜肥厚性肾小球肾病,
CM_0_1_3_2,CM-0-1-3-2,28,E11.200x0142 型糖尿病性前期肾小球系膜增殖性肾病,
CM_0_1_3_2,CM-0-1-3-2,29,E11.200x0152 型糖尿病性前期可逆的肾病,
CM_0_1_3_2,CM-0-1-3-2,30,E11.200x0162 型糖尿病性前期微白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,31,E11.200x0172 型糖尿病性前期持续性微白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,32,E11.200x0232 型糖尿病性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,33,E11.200x0242 型糖尿病性弥漫性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,34,E11.200x0252 型糖尿病性结节性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,35,E11.200x0262 型糖尿病性难愈性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,36,E11.200x0272 型糖尿病性大量白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,37,E11.200x0282 型糖尿病性递进性肾病,
CM_0_1_3_2,CM-0-1-3-2,38,E11.200x0292 型糖尿病性毛细管间性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,39,E11.200x0302 型糖尿病性持续蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,40,E11.200x0912 型糖尿病性急性肾功能衰竭,
CM_0_1_3_2,CM-0-1-3-2,41,E11.200x2112 型糖尿病肾病I期,
CM_0_1_3_2,CM-0-1-3-2,42,E11.200x2122 型糖尿病肾病II期,
CM_0_1_3_2,CM-0-1-3-2,43,E11.200x2132 型糖尿病肾病III期,
CM_0_1_3_2,CM-0-1-3-2,44,E11.200x2142 型糖尿病肾病IV期,
CM_0_1_3_2,CM-0-1-3-2,45,E11.200x2152 型糖尿病肾病V期,
CM_0_1_3_2,CM-0-1-3-2,46,E11.201 † 2型糖尿病性肾病,
CM_0_1_3_2,CM-0-1-3-2,47,E12.200 营养不良相关性糖尿病伴有肾的并发症,
CM_0_1_3_2,CM-0-1-3-2,48,E13.200 糖尿病伴有肾的并发症，其他特指的,
CM_0_1_3_2,CM-0-1-3-2,49,E13.201 † 脂肪萎缩性糖尿病性肾病,
CM_0_1_3_2,CM-0-1-3-2,50,E14.200 糖尿病伴有肾的并发症,
CM_0_1_3_2,CM-0-1-3-2,51,E14.200x011 糖尿病性前期肾病,
CM_0_1_3_2,CM-0-1-3-2,52,E14.200x012 糖尿病性前期肾小球肾病,
CM_0_1_3_2,CM-0-1-3-2,53,E14.200x013 糖尿病性前期基膜肥厚性肾小球肾病,
CM_0_1_3_2,CM-0-1-3-2,54,E14.200x014 糖尿病性前期肾小球系膜增殖性肾病,
CM_0_1_3_2,CM-0-1-3-2,55,E14.200x015 糖尿病性前期可逆的肾病,
CM_0_1_3_2,CM-0-1-3-2,56,E14.200x016 糖尿病性前期微白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,57,E14.200x017 糖尿病性前期持续性微白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,58,E14.200x023 糖尿病性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,59,E14.200x024 糖尿病性弥漫性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,60,E14.200x025 糖尿病性结节性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,61,E14.200x026 糖尿病性难愈性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,62,E14.200x027 糖尿病性大量白蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,63,E14.200x028 糖尿病性递进性肾病,
CM_0_1_3_2,CM-0-1-3-2,64,E14.200x029 糖尿病性毛细管间性肾小球硬化症,
CM_0_1_3_2,CM-0-1-3-2,65,E14.200x030 糖尿病性持续蛋白尿,
CM_0_1_3_2,CM-0-1-3-2,66,E14.200x091 糖尿病性急性肾功能衰竭,
CM_0_1_3_2,CM-0-1-3-2,67,E14.200x210 糖尿病性肾病,
