表代号,表名,选择字母,内容,
DPD_0_1_10,DPD-0-1-10,a,第一季度,
DPD_0_1_10,DPD-0-1-10,b,第二季度,
DPD_0_1_10,DPD-0-1-10,c,第三季度,
DPD_0_1_10,DPD-0-1-10,d,第四季度,
DPD_0_1_1,DPD-0-1-1,y,是,
DPD_0_1_1,DPD-0-1-1,n,否,
DPD_0_1_1,DPD-0-1-1,provinceId,def,
DPD_0_1_1,DPD-0-1-1,请选择,1,
DPD_0_1_1,DPD-0-1-1,北京市,2,
DPD_0_1_1,DPD-0-1-1,天津市,3,
DPD_0_1_1,DPD-0-1-1,河北省,4,
DPD_0_1_1,DPD-0-1-1,山西省,5,
DPD_0_1_1,DPD-0-1-1,内蒙古自治区,6,
DPD_0_1_1,DPD-0-1-1,辽宁省,7,
DPD_0_1_1,DPD-0-1-1,吉林省,8,
DPD_0_1_1,DPD-0-1-1,黑龙江省,9,
DPD_0_1_1,DPD-0-1-1,上海市,10,
DPD_0_1_1,DPD-0-1-1,江苏省,11,
DPD_0_1_1,DPD-0-1-1,浙江省,12,
DPD_0_1_1,DPD-0-1-1,安徽省,13,
DPD_0_1_1,DPD-0-1-1,福建省,14,
DPD_0_1_1,DPD-0-1-1,江西省,15,
DPD_0_1_1,DPD-0-1-1,山东省,16,
DPD_0_1_1,DPD-0-1-1,河南省,17,
DPD_0_1_1,DPD-0-1-1,湖北省,18,
DPD_0_1_1,DPD-0-1-1,湖南省,19,
DPD_0_1_1,DPD-0-1-1,广东省,20,
DPD_0_1_1,DPD-0-1-1,广西壮族自治区,21,
DPD_0_1_1,DPD-0-1-1,海南省,22,
DPD_0_1_1,DPD-0-1-1,重庆市,23,
DPD_0_1_1,DPD-0-1-1,四川省,24,
DPD_0_1_1,DPD-0-1-1,贵州省,25,
DPD_0_1_1,DPD-0-1-1,云南省,26,
DPD_0_1_1,DPD-0-1-1,西藏自治区,27,
DPD_0_1_1,DPD-0-1-1,陕西省,28,
DPD_0_1_1,DPD-0-1-1,甘肃省,29,
DPD_0_1_1,DPD-0-1-1,青海省,30,
DPD_0_1_1,DPD-0-1-1,宁夏回族自治区,31,
DPD_0_1_1,DPD-0-1-1,新疆维吾尔自治区,32,
DPD_0_1_1,DPD-0-1-1,台湾省,33,
DPD_0_1_1,DPD-0-1-1,香港特别行政区,34,
DPD_0_1_1,DPD-0-1-1,澳门特别行政区,cityId,
DPD_0_1_1,DPD-0-1-1,def,请选择,
DPD_0_1_1,DPD-0-1-1,areaId,def,
DPD_0_1_5,DPD-0-1-5,def,请选择,
DPD_0_1_5,DPD-0-1-5,a,医疗机构的透析中心,
DPD_0_1_5,DPD-0-1-5,b,独立透析中心,
DPD_0_1_6,DPD-0-1-6,def,请选择,
DPD_0_1_6,DPD-0-1-6,a,三级,
DPD_0_1_6,DPD-0-1-6,b,二级,
DPD_0_1_6,DPD-0-1-6,c,其它,
DPD_0_1_7,DPD-0-1-7,def,请选择,
DPD_0_1_7,DPD-0-1-7,a,公立,
DPD_0_1_7,DPD-0-1-7,b,民营,
DPD_0_2_10,DPD-0-2-10,def,请选择,
DPD_0_2_10,DPD-0-2-10,a,居民身份证号,
DPD_0_2_10,DPD-0-2-10,oth,其他,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
DPD_0_2_4,DPD-0-2-4,def,请选择,
DPD_0_2_4,DPD-0-2-4,1,汉族,
DPD_0_2_4,DPD-0-2-4,2,满族,
DPD_0_2_4,DPD-0-2-4,3,蒙古族,
DPD_0_2_4,DPD-0-2-4,4,回族,
DPD_0_2_4,DPD-0-2-4,5,藏族,
DPD_0_2_4,DPD-0-2-4,6,维吾尔族,
DPD_0_2_4,DPD-0-2-4,7,苗族,
DPD_0_2_4,DPD-0-2-4,8,彝族,
DPD_0_2_4,DPD-0-2-4,9,壮族,
DPD_0_2_4,DPD-0-2-4,10,布依族,
DPD_0_2_4,DPD-0-2-4,11,侗族,
DPD_0_2_4,DPD-0-2-4,12,瑶族,
DPD_0_2_4,DPD-0-2-4,13,白族,
DPD_0_2_4,DPD-0-2-4,14,土家族,
DPD_0_2_4,DPD-0-2-4,15,哈尼族,
DPD_0_2_4,DPD-0-2-4,16,哈萨克族,
DPD_0_2_4,DPD-0-2-4,17,傣族,
DPD_0_2_4,DPD-0-2-4,18,黎族,
DPD_0_2_4,DPD-0-2-4,19,傈僳族,
DPD_0_2_4,DPD-0-2-4,20,佤族,
DPD_0_2_4,DPD-0-2-4,21,畲族,
DPD_0_2_4,DPD-0-2-4,22,高山族,
DPD_0_2_4,DPD-0-2-4,23,拉祜族,
DPD_0_2_4,DPD-0-2-4,24,水族,
DPD_0_2_4,DPD-0-2-4,25,东乡族,
DPD_0_2_4,DPD-0-2-4,26,纳西族,
DPD_0_2_4,DPD-0-2-4,27,景颇族,
DPD_0_2_4,DPD-0-2-4,28,柯尔克孜族,
DPD_0_2_4,DPD-0-2-4,29,土族,
DPD_0_2_4,DPD-0-2-4,30,达斡尔族,
DPD_0_2_4,DPD-0-2-4,31,仫佬族,
DPD_0_2_4,DPD-0-2-4,32,羌族,
DPD_0_2_4,DPD-0-2-4,33,布朗族,
DPD_0_2_4,DPD-0-2-4,34,撒拉族,
DPD_0_2_4,DPD-0-2-4,35,毛南族,
DPD_0_2_4,DPD-0-2-4,36,仡佬族,
DPD_0_2_4,DPD-0-2-4,37,锡伯族,
DPD_0_2_4,DPD-0-2-4,38,阿昌族,
DPD_0_2_4,DPD-0-2-4,39,普米族,
DPD_0_2_4,DPD-0-2-4,40,朝鲜族,
DPD_0_2_4,DPD-0-2-4,41,塔吉克族,
DPD_0_2_4,DPD-0-2-4,42,怒族,
DPD_0_2_4,DPD-0-2-4,43,乌孜别克族,
DPD_0_2_4,DPD-0-2-4,44,俄罗斯族,
DPD_0_2_4,DPD-0-2-4,45,鄂温克族,
DPD_0_2_4,DPD-0-2-4,46,德昂族,
DPD_0_2_4,DPD-0-2-4,47,保安族,
DPD_0_2_4,DPD-0-2-4,48,裕固族,
DPD_0_2_4,DPD-0-2-4,49,京族,
DPD_0_2_4,DPD-0-2-4,50,塔塔尔族,
DPD_0_2_4,DPD-0-2-4,51,独龙族,
DPD_0_2_4,DPD-0-2-4,52,鄂伦春族,
DPD_0_2_4,DPD-0-2-4,53,赫哲族,
DPD_0_2_4,DPD-0-2-4,54,门巴族,
DPD_0_2_4,DPD-0-2-4,55,珞巴族,
DPD_0_2_4,DPD-0-2-4,56,基诺族,
DPD_0_2_9,DPD-0-2-9,def,请选择,
DPD_0_2_9,DPD-0-2-9,a,手术切开法,
DPD_0_2_9,DPD-0-2-9,b,经皮穿刺置管法,
DPD_0_2_9,DPD-0-2-9,c,腹腔镜置管法,
DPD_1_1_2,DPD-1-1-2,a,肾功能 eGFR检测,
DPD_1_1_2,DPD-1-1-2,b,血肌酐水平 SCr检测,
DPD_1_1_2,DPD-1-1-2,c,血尿素氮水平 BUN检测,
DPD_0_3_1,DPD-0-3-1,def,请选择,
DPD_0_3_1,DPD-0-3-1,a,在透,
DPD_0_3_1,DPD-0-3-1,b,死亡,
DPD_0_3_1,DPD-0-3-1,c,肾移植,
DPD_0_3_1,DPD-0-3-1,d,转血液透析,
DPD_0_3_1,DPD-0-3-1,f,不详,
DPD_0_3_1,DPD-0-3-1,oth,其他,
DPD_0_4_2,DPD-0-4-2,def,请选择,
DPD_0_4_2,DPD-0-4-2,a,原发性肾小球疾病,
DPD_0_4_2,DPD-0-4-2,b,糖尿病肾病,
DPD_0_4_2,DPD-0-4-2,c,高血压肾损害,
DPD_0_4_2,DPD-0-4-2,d,遗传性及先天性疾病,
DPD_0_4_2,DPD-0-4-2,e,肾小管间质疾病,
DPD_0_4_2,DPD-0-4-2,f,药物性肾损害,
DPD_0_4_2,DPD-0-4-2,g,泌尿系感染和结石,
DPD_0_4_2,DPD-0-4-2,i,原发病紫癜性肾炎,
DPD_0_4_2,DPD-0-4-2,h,不详,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
DPD_1_1_1_1,DPD-1-1-1-1,def,请选择,
DPD_1_1_1_1,DPD-1-1-1-1,a,合格,
DPD_1_1_1_1,DPD-1-1-1-1,b,不合格,
DPD_1_1_1_1,DPD-1-1-1-1,c,未检测,
DPD_1_1_1_2,DPD-1-1-1-2,def,请选择,
DPD_1_1_1_2,DPD-1-1-1-2,a,合格,
DPD_1_1_1_2,DPD-1-1-1-2,b,不合格,
DPD_1_1_1_2,DPD-1-1-1-2,c,未检测,
DPD_1_1_1_3,DPD-1-1-1-3,def,请选择,
DPD_1_1_1_3,DPD-1-1-1-3,a,合格,
DPD_1_1_1_3,DPD-1-1-1-3,b,不合格,
DPD_1_1_1_3,DPD-1-1-1-3,c,未检测,
DPD_1_2_1_2,DPD-1-2-1-2,def,请选择,
DPD_1_2_1_2,DPD-1-2-1-2,a,进口,
DPD_1_2_1_2,DPD-1-2-1-2,b,国产,
DPD_1_2_1_3,DPD-1-2-1-3,def,请选择,
DPD_1_2_1_3,DPD-1-2-1-3,a,CAPD,
DPD_1_2_1_3,DPD-1-2-1-3,b,IPD,
DPD_1_2_1_3,DPD-1-2-1-3,c,APD,
DPD_1_2_1_3,DPD-1-2-1-3,d,其他,
DPD_1_2_2_1,DPD-1-2-2-1,def,请选择,
DPD_1_2_2_1,DPD-1-2-2-1,a,完成,
DPD_1_2_2_1,DPD-1-2-2-1,b,未完成,
DPD_1_2_2_3,DPD-1-2-2-3,def,请选择,
DPD_1_2_2_3,DPD-1-2-2-3,a,完成,
DPD_1_2_2_3,DPD-1-2-2-3,b,未完成,
DPD_1_3_1_5,DPD-1-3-1-5,y,达标,
DPD_1_3_1_5,DPD-1-3-1-5,n,不达标,
DPD_1_3_2_1,DPD-1-3-2-1,y,是,
DPD_1_3_2_1,DPD-1-3-2-1,n,否,
DPD_1_3_2_3,DPD-1-3-2-3,a,钙通道阻滞剂,
DPD_1_3_2_3,DPD-1-3-2-3,b,ACEI/ARB,
DPD_1_3_2_3,DPD-1-3-2-3,c,α阻滞剂,
DPD_1_3_2_3,DPD-1-3-2-3,d,β阻滞剂,
DPD_1_3_2_3,DPD-1-3-2-3,e,αβ阻滞剂,
DPD_1_3_2_3,DPD-1-3-2-3,f,中枢性降压药,
DPD_1_3_2_3,DPD-1-3-2-3,g,利尿剂,
DPD_1_3_2_3,DPD-1-3-2-3,oth,其他,
DPD_1_4_1_1,DPD-1-4-1-1,a,血常规 血红蛋白检测,
DPD_1_4_1_4,DPD-1-4-1-4,y,达标,
DPD_1_4_1_4,DPD-1-4-1-4,n,不达标,
DPD_1_4_2_1,DPD-1-4-2-1,y,是,
DPD_1_4_2_1,DPD-1-4-2-1,n,否,
DPD_1_4_2_3,DPD-1-4-2-3,a,重组人红细胞生成素α,
DPD_1_4_2_3,DPD-1-4-2-3,b,重组人红细胞生成素β,
DPD_1_4_2_3,DPD-1-4-2-3,c,达依泊汀,
