序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
0,,,,,,,,,,,
1,DPD-0-1-10,请选择上报季度,数组,是,"例:[""a"",""b""]",见,DPD-0-1-10选择代码表,,,,
2,DPD-0-1-1,是否填写医院相关信息,字符串,是,"例:""y""",见,DPD-0-1-1选择代码表,,,,
3,DPD-0-1-3,所属医院,字符串,参考备注,"例:""填写文字说明""","是否填写医院相关信息(DPD-0-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过50个文字说明,,,
4,provinceId,所在省,字符串,参考备注,"例:""1""","是否填写医院相关信息(DPD-0-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,provinceId选择代码表,,
5,cityId,所在市,字符串,参考备注,"例:""def""",所在市四位编码请参考:,国家统计局-2020版,举例:杭州市编码(3301),若该字段无相应取值，则接口中不必提交该字段,见,cityId选择代码表
6,areaId,所在区县,字符串,参考备注,"例:""def""",所在区县六位编码请参考:,国家统计局-2020版,举例:余杭区编码(330110),若该字段无相应取值，则接口中不必提交该字段,见,areaId选择代码表
7,DPD-0-1-5,中心性质,字符串,参考备注,"例:""a""","是否填写医院相关信息(DPD-0-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-0-1-5选择代码表,,
8,DPD-0-1-6,医院级别,字符串,参考备注,"例:""a""","是否填写医院相关信息(DPD-0-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-0-1-6选择代码表,,
9,DPD-0-1-7,所有制形式,字符串,参考备注,"例:""a""","是否填写医院相关信息(DPD-0-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-0-1-7选择代码表,,
10,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
11,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
12,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
13,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
14,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
15,caseId,患者病案号,字符串,是,"例:""填写文字说明""",,,,,,
16,DPD-0-2-10,身份证号类别,字符串,是,"例:""a""",见,DPD-0-2-10选择代码表,,,,
17,IDCard,患者身份证号,字符串,参考备注,"例:""填写文字说明""","身份证号类别(DPD-0-2-10)等于""居民身份证号""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
18,DPD-0-2-11,其他身份证号,字符串,参考备注,"例:""填写文字说明""","身份证号类别(DPD-0-2-10)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
19,DPD-0-2-2,患者姓名,字符串,是,"例:""填写文字说明""",文本长度不能超过20个字说明,,,,,
20,CM-0-2-1-2,患者性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,,
21,DPD-0-2-4,民族,字符串,是,"例:""1""",见,DPD-0-2-4选择代码表,,,,
22,age,患者年龄,数值,是,例:10,患者年龄应大于0,,,,,
23,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,,
24,DPD-0-2-8,腹膜透析置管日期,字符串,是,"例:""1970-01-01""",,,,,,
25,DPD-0-2-9,腹膜透析置管手术方式,字符串,是,"例:""a""",见,DPD-0-2-9选择代码表,,,,
26,DPD-1-1-2,首次肾脏替代治疗时检查结果,数组,是,"例:[""a"",""b""]",见,DPD-1-1-2选择代码表,,,,
27,DPD-1-1-2-1,肾功能 eGFR检测值(ml/min),数值,参考备注,例:10,"首次肾脏替代治疗时检查结果(DPD-1-1-2)等于""肾功能 eGFR检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
28,DPD-1-1-2-2,血肌酐水平 SCr检测值(umol/L),数值,参考备注,例:10,"首次肾脏替代治疗时检查结果(DPD-1-1-2)等于""血肌酐水平 SCr检测""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
29,DPD-1-1-2-3,血尿素氮水平 BUN检测值(mmol/L),数值,参考备注,例:10,"首次肾脏替代治疗时检查结果(DPD-1-1-2)等于""血尿素氮水平 BUN检测""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
30,DPD-0-3-1,患者状态,字符串,是,"例:""a""",见,DPD-0-3-1选择代码表,,,,
31,DPD-0-3-1-1,患者其他状态,字符串,参考备注,"例:""填写文字说明""","患者状态(DPD-0-3-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,,
32,DPD-0-3-2,转归日期,字符串,是,"例:""1970-01-01""",转归日期应大于等于腹膜透析置管日期,,,,,
33,DPD-0-3-3,腹膜透析治疗时间（月）,数值,否,例:10,若该字段无相应取值，则接口中不必提交该字段,,,,,
34,DPD-0-4-1,原发病诊断时间,字符串,是,"例:""1970-01-01""",,,,,,
35,DPD-0-4-2,原发病诊断,字符串,是,"例:""a""",见,DPD-0-4-2选择代码表,,,,
36,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,
37,DPD-1-1-1-1,一月份腹膜透析治疗室消毒合格情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-1-1-1选择代码表,,
38,DPD-1-1-1-2,二月份腹膜透析治疗室消毒合格情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-1-1-2选择代码表,,
39,DPD-1-1-1-3,三月份腹膜透析治疗室消毒合格情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-1-1-3选择代码表,,
40,DPD-1-2-1-1,1季度/随访日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
41,DPD-1-2-1-2,1季度/腹透液种类,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-2-1-2选择代码表,,
42,DPD-1-2-1-3,1季度/腹膜透析模式,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-2-1-3选择代码表,,
43,DPD-1-2-2-1,1季度/血常规检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-2-2-1选择代码表,,
44,DPD-1-2-2-2,血常规检验完成日期,字符串,参考备注,"例:""1970-01-01""","1季度/血常规检验完成情况(DPD-1-2-2-1)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
45,DPD-1-2-2-3,1季度/血生化检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-2-2-3选择代码表,,
46,DPD-1-2-2-4,血生化检验完成日期,字符串,参考备注,"例:""1970-01-01""","1季度/血生化检验完成情况(DPD-1-2-2-3)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
47,DPD-1-3-1-2,血压SBP,数值,参考备注,例:10,"请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
