表代号,表名,选择字母,内容,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
脊柱再融合术ICD_9_CM_3：81.31至81.38,脊柱再融合术ICD-9-CM-3：81.31至81.38,29,冠状动脉搭桥术：36.1,
脊柱再融合术ICD_9_CM_3：81.31至81.38,脊柱再融合术ICD-9-CM-3：81.31至81.38,30,髋关节置换术：00.7，81.51至81.53,
脊柱再融合术ICD_9_CM_3：81.31至81.38,脊柱再融合术ICD-9-CM-3：81.31至81.38,31,膝关节置换术：00.80至00.83，81.54，81.55,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,1,35.0000 闭合性心脏瓣膜切开术,
CM_0_1_4_2,CM-0-1-4-2,2,35.0100 闭合性心脏瓣膜切开术，主动脉瓣,
CM_0_1_4_2,CM-0-1-4-2,3,35.0100x002 经皮主动脉瓣探查术,
CM_0_1_4_2,CM-0-1-4-2,4,35.0101 主动脉瓣闭式扩张术,
CM_0_1_4_2,CM-0-1-4-2,5,35.0200 闭合性心脏瓣膜切开术，二尖瓣,
CM_0_1_4_2,CM-0-1-4-2,6,35.0200x003 经皮二尖瓣探查术,
CM_0_1_4_2,CM-0-1-4-2,7,35.0201 二尖瓣闭式扩张术,
CM_0_1_4_2,CM-0-1-4-2,8,35.0300 闭合性心脏瓣膜切开术，肺动脉瓣,
CM_0_1_4_2,CM-0-1-4-2,9,35.0300x002 经皮肺动脉瓣探查术,
CM_0_1_4_2,CM-0-1-4-2,10,35.0301 肺动脉瓣闭式扩张术,
CM_0_1_4_2,CM-0-1-4-2,11,35.0400 闭合性心脏瓣膜切开术，三尖瓣,
CM_0_1_4_2,CM-0-1-4-2,12,35.0400x001 经皮三尖瓣探查术,
CM_0_1_4_2,CM-0-1-4-2,13,35.0401 三尖瓣闭式扩张术,
CM_0_1_4_2,CM-0-1-4-2,14,35.2100 主动脉瓣切开和其他置换伴有组织移植物,
CM_0_1_4_2,CM-0-1-4-2,15,35.2100x002 自体肺动脉移植术[Ross手术],
CM_0_1_4_2,CM-0-1-4-2,16,35.2100x003 主动脉瓣生物瓣膜置换伴升主动脉置换术[Wheat's手术],
CM_0_1_4_2,CM-0-1-4-2,17,35.2100x004 主动脉根部扩大伴主动脉瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,18,35.2100x005 胸腔镜下主动脉瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,19,35.2101 主动脉瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,20,35.2200 主动脉瓣切开和其他置换术,
CM_0_1_4_2,CM-0-1-4-2,21,35.2200x002 主动脉根部扩大伴主动脉瓣机械瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,22,35.2200x003 主动脉瓣机械瓣膜置换伴升主动脉置换术[Wheat's手术],
CM_0_1_4_2,CM-0-1-4-2,23,35.2200x004 胸腔镜下主动脉瓣机械瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,24,35.2201 主动脉瓣机械瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,25,35.2300 二尖瓣切开和其他置换术伴有组织移植物,
CM_0_1_4_2,CM-0-1-4-2,26,35.2300x002 二尖瓣生物瓣膜置换术(保留瓣下结构),
CM_0_1_4_2,CM-0-1-4-2,27,35.2300x003 经心尖二尖瓣生物瓣膜植入术,
CM_0_1_4_2,CM-0-1-4-2,28,35.2301 二尖瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,29,35.2302 胸腔镜下二尖瓣生物瓣置换术,
CM_0_1_4_2,CM-0-1-4-2,30,35.2400 二尖瓣切开和其他置换术,
CM_0_1_4_2,CM-0-1-4-2,31,35.2400x002 二尖瓣机械瓣膜置换术(保留瓣下结构),
CM_0_1_4_2,CM-0-1-4-2,32,35.2400x003 共同房室瓣机械瓣置换术,
CM_0_1_4_2,CM-0-1-4-2,33,35.2401 二尖瓣机械瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,34,35.2402 胸腔镜下二尖瓣机械瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,35,35.2500 肺动脉瓣切开和其他置换术伴有组织移植物,
