表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C16.0 贲门恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,C16.1 胃底恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,c,C16.2 胃体恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,d,C16.3 幽门窦恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,e,C16.4 幽门恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,f,C16.5 未特指的胃小弯恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,g,C16.6 未特指的胃大弯恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,h,C16.8 胃交搭跨越恶性肿瘤的损害,
CM_0_1_3_1,CM-0-1-3-1,i,C16.9 未特指的胃恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,C16.000 贲门恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,b,C16.000x003 贲门口恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,c,C16.001 食管贲门连接处恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,d,C16.002 食管胃连接处恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,e,C16.100胃底恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,f,C16.200胃体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,g,C16.300 幽门窦恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,h,C16.301 胃窦恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,i,C16.400 幽门恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,j,C16.401 幽门前恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,k,C16.402 幽门管恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,l,C16.500 胃小弯恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,m,C16.600 胃大弯恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,n,C16.800 胃交搭跨越恶性肿瘤的损害,
CM_0_1_3_2,CM-0-1-3-2,o,C16.800x002 胃体和胃窦及胃大弯恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,p,C16.801 贲门胃底恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,q,C16.802 贲门胃体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,r,C16.803 胃窦胃体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,s,C16.804 胃底胃体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,t,C16.900 胃恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,u,C16.900x003胃多处恶性肿瘤,
