表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C71.0大脑(除外脑叶和脑室)恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,C71.1额叶恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,c,C71.2颞叶恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,d,C71.3顶叶恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,e,C71.4枕叶恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,f,C71.5脑室恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,g,C71.6小脑恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,h,C71.7脑干恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,i,C71.8脑交搭跨越恶性肿瘤的损害,
CM_0_1_3_1,CM-0-1-3-1,j,C71.9未特指的脑恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,C71.000 大脑(除外脑叶和脑室)恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,2,C71.000x001 大脑恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,3,C71.000x004 岛叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,4,C71.000x006 基底节恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,5,C71.000x007 脑白质恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,6,C71.001 幕上恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,7,C71.002 丘脑恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,8,C71.003 胼胝体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,9,C71.100 额叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,10,C71.200 颞叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,11,C71.300 顶叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,12,C71.400 枕叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,13,C71.500 脑室恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,14,C71.500x003 侧脑室恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,15,C71.500x004 第三脑室恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,16,C71.501 脉络丛恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,17,C71.600 小脑恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,18,C71.601 小脑蚓部恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,19,C71.602 小脑扁桃体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,20,C71.700 脑干恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,21,C71.700x002 小脑幕下恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,22,C71.701 脑桥恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,23,C71.702 延髓恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,24,C71.703 第四脑室恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,25,C71.704 幕下恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,26,C71.705 中脑恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,27,C71.800 脑交搭跨越恶性肿瘤的损害,
CM_0_1_3_2,CM-0-1-3-2,28,C71.800x006 额颞岛叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,29,C71.800x007 额叶和丘脑及胼胝体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,30,C71.800x008 大脑皮层多处恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,31,C71.801 额顶叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,32,C71.802 额颞顶叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,33,C71.803 顶枕叶恶性肿瘤,
