表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,F00-F09 器质性(包括症状性)精神障碍,
CM_0_1_3_1,CM-0-1-3-1,b,F10-F19 使用精神活性物质引起的精神和行为障碍,
CM_0_1_3_1,CM-0-1-3-1,c,F20-F29 精神分裂症、分裂型障碍和妄想性障碍,
CM_0_1_3_1,CM-0-1-3-1,d,F30-F39 心境(情感)障碍,
CM_0_1_3_1,CM-0-1-3-1,e,F40-F48 神经症性、应激相关的以及躯体形式的障碍,
CM_0_1_3_1,CM-0-1-3-1,f,F50-F59 与生理紊乱和躯体因素有关的行为综合征,
CM_0_1_3_1,CM-0-1-3-1,g,F60-F69 成人人格和行为障碍,
CM_0_1_3_1,CM-0-1-3-1,h,F70-F79 精神发育迟缓,
CM_0_1_3_1,CM-0-1-3-1,i,F80-F89 心理发育障碍,
CM_0_1_3_1,CM-0-1-3-1,j,F90-F98 通常在童年和青少年期发病的行为和情绪障碍,
CM_0_1_3_1,CM-0-1-3-1,k,F99 未特指的精神障碍,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,F00.0* 早发性阿尔茨海默病性痴呆(G30.0+),
CM_0_1_3_2,CM-0-1-3-2,2,F00.1* 晚发性阿尔茨海默病性痴呆(G30.1+),
CM_0_1_3_2,CM-0-1-3-2,3,"F00.2* 阿尔茨海默病性痴呆,非典型或混合型(G30.8+)",
CM_0_1_3_2,CM-0-1-3-2,4,F00.9* 未特指的阿尔茨海默病性痴呆(G30.9+),
CM_0_1_3_2,CM-0-1-3-2,5,F01.0 急性发作的血管性痴呆,
CM_0_1_3_2,CM-0-1-3-2,6,F01.1 多发脑梗死性痴呆,
CM_0_1_3_2,CM-0-1-3-2,7,F01.2 皮层下血管性痴呆,
CM_0_1_3_2,CM-0-1-3-2,8,F01.3 混合型皮层和皮层下血管性痴呆,
CM_0_1_3_2,CM-0-1-3-2,9,F01.8 其他血管性痴呆,
CM_0_1_3_2,CM-0-1-3-2,10,F01.9 未特指的血管性痴呆,
CM_0_1_3_2,CM-0-1-3-2,11,F02.0* 皮克病性痴呆(G31.0+),
CM_0_1_3_2,CM-0-1-3-2,12,F02.1* 克罗伊茨费尔特-雅各布病性痴呆(A81.0+),
CM_0_1_3_2,CM-0-1-3-2,13,F02.2* 亨廷顿病性痴呆(G10+),
CM_0_1_3_2,CM-0-1-3-2,14,F02.3* 帕金森病性痴呆(G20+),
CM_0_1_3_2,CM-0-1-3-2,15,F02.4* 人类免疫缺陷病毒[HIV]病性痴呆(B22.0+),
CM_0_1_3_2,CM-0-1-3-2,16,F02.8* 分类于他处的其他特指疾病引起的痴呆,
CM_0_1_3_2,CM-0-1-3-2,17,F03.x0 未特指的痴呆,
CM_0_1_3_2,CM-0-1-3-2,18,"F04.x0 器质性遗忘综合征,非由酒精和其他精神活性物质所致",
CM_0_1_3_2,CM-0-1-3-2,19,"F05.0 谵妄,描述为并非附加于痴呆的",
CM_0_1_3_2,CM-0-1-3-2,20,"F05.1 谵妄,附加于痴呆的",
CM_0_1_3_2,CM-0-1-3-2,21,F05.8 其他谵妄,
CM_0_1_3_2,CM-0-1-3-2,22,F05.9 未特指的谵妄,
CM_0_1_3_2,CM-0-1-3-2,23,F06.0 器质性幻觉症,
CM_0_1_3_2,CM-0-1-3-2,24,F06.1 器质性紧张性障碍,
CM_0_1_3_2,CM-0-1-3-2,25,F06.2 器质性妄想性[精神分裂症样]障碍,
CM_0_1_3_2,CM-0-1-3-2,26,F06.3 器质性心境[情感]障碍,
CM_0_1_3_2,CM-0-1-3-2,27,F06.4 器质性焦虑障碍,
CM_0_1_3_2,CM-0-1-3-2,28,F06.5 器质性分离性障碍,
CM_0_1_3_2,CM-0-1-3-2,29,F06.6 器质性情绪不稳定[衰弱]障碍,
CM_0_1_3_2,CM-0-1-3-2,30,F06.7 轻度认知障碍,
CM_0_1_3_2,CM-0-1-3-2,31,F06.8 脑损害和功能障碍及躯体疾病引起的其他特指的精神障碍,
CM_0_1_3_2,CM-0-1-3-2,32,F06.9 脑损害和功能障碍及躯体疾病引起的未特指的精神障碍,
CM_0_1_3_2,CM-0-1-3-2,33,F07.0 器质性人格障碍,
CM_0_1_3_2,CM-0-1-3-2,34,F07.1 脑炎后综合征,
CM_0_1_3_2,CM-0-1-3-2,35,F07.2 脑震荡后综合征,
CM_0_1_3_2,CM-0-1-3-2,36,F07.8 脑部疾病、损害和功能障碍引起的其他器质性人格和行为障碍,
CM_0_1_3_2,CM-0-1-3-2,37,F07.9 脑部疾病、损害和功能障碍引起的未特指的器质性人格和行为障碍,
CM_0_1_3_2,CM-0-1-3-2,38,F09.x0 未特指的器质性或症状性精神障碍,
CM_0_1_3_2,CM-0-1-3-2,39,F10.0 酒精急性中毒,
CM_0_1_3_2,CM-0-1-3-2,40,F10.1 酒精损害,
CM_0_1_3_2,CM-0-1-3-2,41,F10.2 酒精依赖综合征,
CM_0_1_3_2,CM-0-1-3-2,42,F10.3 酒精戒断状态,
CM_0_1_3_2,CM-0-1-3-2,43,F10.4 酒精戒断状态伴谵妄,
CM_0_1_3_2,CM-0-1-3-2,44,F10.5 酒精精神病性障碍,
CM_0_1_3_2,CM-0-1-3-2,45,F10.6 酒精遗忘综合征,
CM_0_1_3_2,CM-0-1-3-2,46,F10.7 酒精残留性和迟发性精神病性障碍,
CM_0_1_3_2,CM-0-1-3-2,47,F10.8 酒精其他精神和行为障碍,
CM_0_1_3_2,CM-0-1-3-2,48,F10.9 酒精未特指的精神和行为障碍,
CM_0_1_3_2,CM-0-1-3-2,49,F11.0 阿片样物质急性中毒,
CM_0_1_3_2,CM-0-1-3-2,50,F11.1 阿片样物质损害,
CM_0_1_3_2,CM-0-1-3-2,51,F11.2 阿片样物质依赖综合征,
CM_0_1_3_2,CM-0-1-3-2,52,F11.3 阿片样物质戒断状态,
CM_0_1_3_2,CM-0-1-3-2,53,F11.4 阿片样物质戒断状态伴谵妄,
CM_0_1_3_2,CM-0-1-3-2,54,F11.5 阿片样物质精神病性障碍,
CM_0_1_3_2,CM-0-1-3-2,55,F11.6 阿片样物质遗忘综合征,
CM_0_1_3_2,CM-0-1-3-2,56,F11.7 阿片样物质残留性和迟发性精神病性障碍,
CM_0_1_3_2,CM-0-1-3-2,57,F11.8 阿片样物质其他精神和行为障碍,
CM_0_1_3_2,CM-0-1-3-2,58,F11.9 阿片样物质未特指的精神和行为障碍,
CM_0_1_3_2,CM-0-1-3-2,59,F12.0 大麻类物质急性中毒,
CM_0_1_3_2,CM-0-1-3-2,60,F12.1 大麻类物质损害,
CM_0_1_3_2,CM-0-1-3-2,61,F12.2 大麻类物质依赖综合征,
CM_0_1_3_2,CM-0-1-3-2,62,F12.3 大麻类物质戒断状态,
CM_0_1_3_2,CM-0-1-3-2,63,F12.4 大麻类物质戒断状态伴谵妄,
CM_0_1_3_2,CM-0-1-3-2,64,F12.5 大麻类物质精神病性障碍,
CM_0_1_3_2,CM-0-1-3-2,65,F12.6 大麻类物质遗忘综合征,
CM_0_1_3_2,CM-0-1-3-2,66,F12.7 大麻类物质残留性和迟发性精神病性障碍,
CM_0_1_3_2,CM-0-1-3-2,67,F12.8 大麻类物质其他精神和行为障碍,
CM_0_1_3_2,CM-0-1-3-2,68,F12.9 大麻类物质未特指的精神和行为障碍,
CM_0_1_3_2,CM-0-1-3-2,69,F13.0 镇静剂或催眠剂急性中毒,
CM_0_1_3_2,CM-0-1-3-2,70,F13.1 镇静剂或催眠剂损害,
