表代号,表名,选择字母,内容,
HBV_0_1_3_1,HBV-0-1-3-1,def,请选择,
HBV_0_1_3_1,HBV-0-1-3-1,a,O98.4 病毒性肝炎并发于妊娠、分娩,
HBV_0_1_3_1,HBV-0-1-3-1,b,Z22.5 病毒性肝炎病原携带者,
HBV_0_1_3_1,HBV-0-1-3-1,c,O98.1 梅毒并发于妊娠、分娩和产褥期,
HBV_0_1_3_1,HBV-0-1-3-1,d,B24 未特定人类免疫缺陷病毒[HIV]病,
HBV_0_1_3_2,HBV-0-1-3-2,def,请选择,
HBV_0_1_3_2,HBV-0-1-3-2,UTD,无,
HBV_0_1_3_2,HBV-0-1-3-2,a,O98.400x011 妊娠合并病毒性肝炎,
HBV_0_1_3_2,HBV-0-1-3-2,b,O98.400x021分娩合并病毒性肝炎,
HBV_0_1_3_2,HBV-0-1-3-2,c,O98.402 妊娠合并乙型肝炎,
HBV_0_1_3_2,HBV-0-1-3-2,d,Z22.502 乙肝表面抗原携带者,
HBV_0_1_3_2,HBV-0-1-3-2,e,Z22.503 乙型肝炎大三阳,
HBV_0_1_3_2,HBV-0-1-3-2,f,Z22.504 乙型肝炎小三阳,
HBV_0_1_3_2,HBV-0-1-3-2,j,O98.100 梅毒并发于妊娠、分娩和产褥期,
HBV_0_1_3_2,HBV-0-1-3-2,k,O98.100x021 分娩合并梅毒,
HBV_0_1_3_2,HBV-0-1-3-2,l,O98.100x031 产褥期梅毒,
HBV_0_1_3_2,HBV-0-1-3-2,m,O98.101 妊娠合并梅毒,
HBV_0_1_3_2,HBV-0-1-3-2,n,B24.x00 人类免疫缺陷病毒[HIV]病,
HBV_0_1_3_2,HBV-0-1-3-2,o,B24.x01 艾滋病,
HBV_0_1_3_3,HBV-0-1-3-3,def,请选择,
HBV_0_1_3_3,HBV-0-1-3-3,1,O80.0 头位顺产,
HBV_0_1_3_3,HBV-0-1-3-3,2,O80.1 臀位顺产,
HBV_0_1_3_3,HBV-0-1-3-3,3,O80.8 其他的单胎顺产,
HBV_0_1_3_3,HBV-0-1-3-3,4,O80.9 未特指的单胎顺产,
HBV_0_1_3_3,HBV-0-1-3-3,5,O81.0 低位产钳术,
HBV_0_1_3_3,HBV-0-1-3-3,6,O81.1 中位产钳术,
HBV_0_1_3_3,HBV-0-1-3-3,7,O81.2 中位产钳术伴有旋转,
HBV_0_1_3_3,HBV-0-1-3-3,8,O81.3 其他和未特指的产钳术,
