序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
0,,,,,,,,,,
1,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
2,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
3,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
4,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
5,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,
6,caseId,患者病案号,字符串,是,"例:""填写文字说明""",,,,,
7,IDCard,患者身份证号,字符串,是,"例:""填写文字说明""",身份证号不正确,,,,
8,HBV-0-1-3-1,病毒性肝炎并发于妊娠、分娩ICD-10四位亚目编码与名称,字符串,是,"例:""a""",见,HBV-0-1-3-1选择代码表,,,
9,HBV-0-1-3-2,病毒性肝炎并发于妊娠、分娩ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,HBV-0-1-3-2选择代码表,,,
10,HBV-0-1-3-3,分娩方式ICD-10四位亚目编码与名称,字符串,是,"例:""1""",见,HBV-0-1-3-3选择代码表,,,
11,HBV-0-1-3-4,分娩方式ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,HBV-0-1-3-4选择代码表,,,
12,CM-0-1-3-1,出院诊断ICD-10四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-3-1选择代码表,,,
13,CM-0-1-3-2,出院诊断ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-3-2选择代码表,,,
14,CM-0-1-4-1,剖宫产手术操作ICD-9-CM-3四位亚目编码与名称,字符串,参考备注,"例:""a""","阴道分娩操作ICD-9-CM-3四位亚目编码与名称(HBV-0-1-4-1)等于""请选择""(def)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-1-4-1选择代码表,
15,CM-0-1-4-2,剖宫产手术操作ICD-9-CM-3六位临床扩展编码与名称,字符串,参考备注,"例:""UTD""","阴道分娩操作ICD-9-CM-3四位亚目编码与名称(HBV-0-1-4-1)等于""请选择""(def)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-1-4-2选择代码表,
16,HBV-0-1-4-1,阴道分娩操作ICD-9-CM-3四位亚目编码与名称,字符串,参考备注,"例:""1""","剖宫产手术操作ICD-9-CM-3四位亚目编码与名称(CM-0-1-4-1)等于""请选择""(def)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-0-1-4-1选择代码表,
17,HBV-0-1-4-2,其他阴道分娩操作ICD-9-CM-3四位亚目编码与名称,字符串,参考备注,"例:""填写文字说明""","阴道分娩操作ICD-9-CM-3四位亚目编码与名称(HBV-0-1-4-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
18,HBV-0-1-4-3,阴道分娩操作ICD-9-CM-3六位临床扩展编码与名称,字符串,参考备注,"例:""UTD""","剖宫产手术操作ICD-9-CM-3四位亚目编码与名称(CM-0-1-4-1)等于""请选择""(def)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-0-1-4-3选择代码表,
