表代号,表名,选择字母,内容,
HD_0_1_10,HD-0-1-10,def,请选择,
HD_0_1_10,HD-0-1-10,b,2021年,
HD_0_1_10,HD-0-1-10,a,2020年,
HD_0_1_1,HD-0-1-1,a,第一季度,
HD_0_1_1,HD-0-1-1,b,第二季度,
HD_0_1_1,HD-0-1-1,c,第三季度,
HD_0_1_1,HD-0-1-1,d,第四季度,
HD_0_1_2,HD-0-1-2,y,是,
HD_0_1_2,HD-0-1-2,n,否,
HD_0_1_2,HD-0-1-2,provinceId,def,
HD_0_1_2,HD-0-1-2,请选择,1,
HD_0_1_2,HD-0-1-2,北京市,2,
HD_0_1_2,HD-0-1-2,天津市,3,
HD_0_1_2,HD-0-1-2,河北省,4,
HD_0_1_2,HD-0-1-2,山西省,5,
HD_0_1_2,HD-0-1-2,内蒙古自治区,6,
HD_0_1_2,HD-0-1-2,辽宁省,7,
HD_0_1_2,HD-0-1-2,吉林省,8,
HD_0_1_2,HD-0-1-2,黑龙江省,9,
HD_0_1_2,HD-0-1-2,上海市,10,
HD_0_1_2,HD-0-1-2,江苏省,11,
HD_0_1_2,HD-0-1-2,浙江省,12,
HD_0_1_2,HD-0-1-2,安徽省,13,
HD_0_1_2,HD-0-1-2,福建省,14,
HD_0_1_2,HD-0-1-2,江西省,15,
HD_0_1_2,HD-0-1-2,山东省,16,
HD_0_1_2,HD-0-1-2,河南省,17,
HD_0_1_2,HD-0-1-2,湖北省,18,
HD_0_1_2,HD-0-1-2,湖南省,19,
HD_0_1_2,HD-0-1-2,广东省,20,
HD_0_1_2,HD-0-1-2,广西壮族自治区,21,
HD_0_1_2,HD-0-1-2,海南省,22,
HD_0_1_2,HD-0-1-2,重庆市,23,
HD_0_1_2,HD-0-1-2,四川省,24,
HD_0_1_2,HD-0-1-2,贵州省,25,
HD_0_1_2,HD-0-1-2,云南省,26,
HD_0_1_2,HD-0-1-2,西藏自治区,27,
HD_0_1_2,HD-0-1-2,陕西省,28,
HD_0_1_2,HD-0-1-2,甘肃省,29,
HD_0_1_2,HD-0-1-2,青海省,30,
HD_0_1_2,HD-0-1-2,宁夏回族自治区,31,
HD_0_1_2,HD-0-1-2,新疆维吾尔自治区,32,
HD_0_1_2,HD-0-1-2,台湾省,33,
HD_0_1_2,HD-0-1-2,香港特别行政区,34,
HD_0_1_2,HD-0-1-2,澳门特别行政区,cityId,
HD_0_1_2,HD-0-1-2,def,请选择,
HD_0_1_2,HD-0-1-2,areaId,def,
HD_0_1_6,HD-0-1-6,def,请选择,
HD_0_1_6,HD-0-1-6,a,医疗机构的透析中心,
HD_0_1_6,HD-0-1-6,b,独立透析中心,
HD_0_1_8,HD-0-1-8,def,请选择,
HD_0_1_8,HD-0-1-8,a,三级甲等,
HD_0_1_8,HD-0-1-8,b,三级乙等,
HD_0_1_8,HD-0-1-8,c,三级丙等,
HD_0_1_8,HD-0-1-8,d,三级综合,
HD_0_1_8,HD-0-1-8,e,三级,
HD_0_1_8,HD-0-1-8,f,二级甲等,
HD_0_1_8,HD-0-1-8,g,二级乙等,
HD_0_1_8,HD-0-1-8,h,二级丙等,
HD_0_1_8,HD-0-1-8,i,二级综合,
HD_0_1_8,HD-0-1-8,j,二级,
HD_0_1_8,HD-0-1-8,k,一等,
HD_0_1_8,HD-0-1-8,l,未定级,
HD_0_1_8,HD-0-1-8,m,其它,
HD_0_1_9,HD-0-1-9,def,请选择,
HD_0_1_9,HD-0-1-9,a,公立,
HD_0_1_9,HD-0-1-9,b,民营,
HD_0_2_4,HD-0-2-4,def,请选择,
HD_0_2_4,HD-0-2-4,a,居民身份证号,
HD_0_2_4,HD-0-2-4,oth,其他,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
HD_0_3_3,HD-0-3-3,def,请选择,
HD_0_3_3,HD-0-3-3,a,原发性肾小球疾病,
HD_0_3_3,HD-0-3-3,b,糖尿病肾病,
HD_0_3_3,HD-0-3-3,c,高血压肾损害,
HD_0_3_3,HD-0-3-3,d,多发骨髓瘤肾病,
HD_0_3_3,HD-0-3-3,e,狼疮性肾炎,
HD_0_3_3,HD-0-3-3,f,系统性血管炎肾损害,
HD_0_3_3,HD-0-3-3,g,过敏紫癜性肾炎,
HD_0_3_3,HD-0-3-3,h,血栓性微血管病肾损害,
HD_0_3_3,HD-0-3-3,i,其它继发性肾小球疾病,
HD_0_3_3,HD-0-3-3,j,多囊肾病,
HD_0_3_3,HD-0-3-3,k,Alport综合征,
HD_0_3_3,HD-0-3-3,l,薄基底膜肾病,
HD_0_3_3,HD-0-3-3,m,其它遗传性及先天性疾病,
HD_0_3_3,HD-0-3-3,n,肾小管间质疾病,
HD_0_3_3,HD-0-3-3,o,药物性肾损害,
HD_0_3_3,HD-0-3-3,p,泌尿系肿瘤,
HD_0_3_3,HD-0-3-3,q,泌尿系结核,
HD_0_3_3,HD-0-3-3,r,肾结石,
HD_0_3_3,HD-0-3-3,s,肾脏切除术后,
HD_0_3_3,HD-0-3-3,t,原发病不明确,
HD_0_4_1,HD-0-4-1,y,是,
HD_0_4_1,HD-0-4-1,n,否,
HD_0_4_2,HD-0-4-2,def,请选择,
HD_0_4_2,HD-0-4-2,a,死亡,
HD_0_4_2,HD-0-4-2,b,转肾移植,
HD_0_4_2,HD-0-4-2,c,转腹膜透析,
HD_0_4_2,HD-0-4-2,d,转院,
HD_0_4_2,HD-0-4-2,e,放弃治疗,
HD_0_4_2,HD-0-4-2,f,好转脱离透析,
HD_0_4_2,HD-0-4-2,g,退出(失访),
HD_0_4_2,HD-0-4-2,h,其它,
