序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
0,,,,,,,,,,,
1,HD-0-1-10,请选择上报年份,字符串,是,"例:""b""",见,HD-0-1-10选择代码表,,,,
2,HD-0-1-1,请选择上报季度,数组,是,"例:[""a"",""b""]",见,HD-0-1-1选择代码表,,,,
3,HD-0-1-2,是否填写医院相关信息,字符串,是,"例:""y""",见,HD-0-1-2选择代码表,,,,
4,HD-0-1-3,中心名称,字符串,参考备注,"例:""填写文字说明""","是否填写医院相关信息(HD-0-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过50个文字说明,,,
5,provinceId,所在省,字符串,参考备注,"例:""1""","是否填写医院相关信息(HD-0-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,provinceId选择代码表,,
6,cityId,所在市,字符串,参考备注,"例:""def""",所在市四位编码请参考:,国家统计局-2020版,举例:杭州市编码(3301),若该字段无相应取值，则接口中不必提交该字段,见,cityId选择代码表
7,areaId,所在区县,字符串,参考备注,"例:""def""",所在区县六位编码请参考:,国家统计局-2020版,举例:余杭区编码(330110),若该字段无相应取值，则接口中不必提交该字段,见,areaId选择代码表
8,HD-0-1-6,中心性质,字符串,参考备注,"例:""a""","是否填写医院相关信息(HD-0-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-0-1-6选择代码表,,
9,HD-0-1-8,医院级别,字符串,参考备注,"例:""a""","是否填写医院相关信息(HD-0-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-0-1-8选择代码表,,
10,HD-0-1-9,所有制形式,字符串,参考备注,"例:""a""","是否填写医院相关信息(HD-0-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-0-1-9选择代码表,,
11,HD-0-2-1,患者姓名,字符串,是,"例:""填写文字说明""",不能超过50个文字说明,,,,,
12,HD-0-2-4,身份证号类别,字符串,是,"例:""a""",见,HD-0-2-4选择代码表,,,,
13,IDCard,患者身份证号,字符串,参考备注,"例:""填写文字说明""","身份证号类别(HD-0-2-4)等于""居民身份证号""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
14,HD-0-2-5,其他身份证号,字符串,参考备注,"例:""填写文字说明""","身份证号类别(HD-0-2-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
15,CM-0-2-1-2,患者性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,,
16,age,患者年龄,数值,是,例:10,患者年龄应大于0,,,,,
17,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,,
18,CM-0-3-1,患者费别,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,
19,HD-0-2-2,门诊号,字符串,否,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,,,,,
20,HD-0-2-3,透析病案号,字符串,否,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,,,,,
21,HD-0-3-1,首次肾脏替代治疗日期,字符串,是,"例:""1970-01-01""",首次肾脏替代治疗日期应大于出生日期,,,,,
22,HD-0-3-2,进入本透析室日期,字符串,是,"例:""1970-01-01""",进入本透析室日期应大于等于首次肾脏替代治疗日期,,,,,
23,HD-0-3-3,原发病诊断,字符串,是,"例:""a""",见,HD-0-3-3选择代码表,,,,
24,HD-0-3-4,原发病初始诊断日期,字符串,否,"例:""1970-01-01""",若该字段无相应取值，则接口中不必提交该字段,原发病初始诊断日期应大于出生日期;,原发病初始诊断日期应小于等于首次肾脏替代治疗日期,,,
25,HD-0-4-1,透析状态是否在透析中,字符串,是,"例:""y""",见,HD-0-4-1选择代码表,,,,
26,HD-0-4-2,患者转归,字符串,参考备注,"例:""a""","透析状态是否在透析中(HD-0-4-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-0-4-2选择代码表,,
27,HD-0-4-3,转归日期,字符串,参考备注,"例:""1970-01-01""","透析状态是否在透析中(HD-0-4-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
28,HD-0-4-4,首要死亡原因,字符串,参考备注,"例:""a""","患者转归(HD-0-4-2)等于""死亡""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-0-4-4选择代码表,,
29,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
30,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
31,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
32,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
33,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,
34,caseId,患者病案号,字符串,是,"例:""填写文字说明""",,,,,,
35,HD-1-0-3-1,一月份治疗室空气平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-3-1选择代码表,,
36,HD-1-0-3-3,二月份治疗室空气平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-3-3选择代码表,,
37,HD-1-0-3-5,三月份治疗室空气平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-3-5选择代码表,,
38,HD-1-0-3-2,一月份物品表面平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-3-2选择代码表,,
39,HD-1-0-3-4,二月份物品表面平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-3-4选择代码表,,
40,HD-1-0-3-6,三月份物品表面平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-3-6选择代码表,,
41,HD-1-0-4-1,一月份透析用水细菌培养合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-4-1选择代码表,,
42,HD-1-0-4-3,二月份透析用水细菌培养合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-4-3选择代码表,,
43,HD-1-0-4-5,三月份透析用水细菌培养合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-4-5选择代码表,,
44,HD-1-0-4-2,一月份透析用水内毒素合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-4-2选择代码表,,
