表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,I50.0 充血性心力衰竭,
CM_0_1_3_1,CM-0-1-3-1,f,I50.1 左心室衰竭,
CM_0_1_3_1,CM-0-1-3-1,k,I50.9 未特指的心力衰竭,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,I50.000充血性心力衰竭,
CM_0_1_3_2,CM-0-1-3-2,2,I50.000x005右心室衰竭,
CM_0_1_3_2,CM-0-1-3-2,3,I50.000x006急性右心衰竭,
CM_0_1_3_2,CM-0-1-3-2,4,I50.001右心衰竭,
CM_0_1_3_2,CM-0-1-3-2,5,I50.002全心衰竭,
CM_0_1_3_2,CM-0-1-3-2,6,I50.100左心室衰竭,
CM_0_1_3_2,CM-0-1-3-2,7,I50.100x006左心衰竭,
CM_0_1_3_2,CM-0-1-3-2,8,I50.101急性左心衰竭,
CM_0_1_3_2,CM-0-1-3-2,9,I50.102左心房衰竭,
CM_0_1_3_2,CM-0-1-3-2,10,I50.103左心衰竭合并急性肺水肿,
CM_0_1_3_2,CM-0-1-3-2,11,I50.104心源性哮喘,
CM_0_1_3_2,CM-0-1-3-2,12,I50.105慢性左心功能不全,
CM_0_1_3_2,CM-0-1-3-2,13,I50.900心力衰竭,
CM_0_1_3_2,CM-0-1-3-2,14,I50.900x001低心排综合征,
CM_0_1_3_2,CM-0-1-3-2,15,I50.900x002心功能不全,
CM_0_1_3_2,CM-0-1-3-2,16,I50.900x008心功能III级,
CM_0_1_3_2,CM-0-1-3-2,17,I50.900x009心功能Ⅱ--Ⅲ级,
CM_0_1_3_2,CM-0-1-3-2,18,I50.900x010心功能IV级,
CM_0_1_3_2,CM-0-1-3-2,19,I50.900x014KillipII级,
CM_0_1_3_2,CM-0-1-3-2,20,I50.900x015KillipIII级,
CM_0_1_3_2,CM-0-1-3-2,21,I50.900x016KillipIV级,
CM_0_1_3_2,CM-0-1-3-2,22,I50.900x017难治性心力衰竭,
CM_0_1_3_2,CM-0-1-3-2,23,I50.900x018慢性心功能不全急性加重,
CM_0_1_3_2,CM-0-1-3-2,24,I50.900x019舒张性心力衰竭,
CM_0_1_3_2,CM-0-1-3-2,25,I50.900x021低心排综合症,
CM_0_1_3_2,CM-0-1-3-2,26,I50.900x022心肾衰竭,
CM_0_1_3_2,CM-0-1-3-2,27,I50.900x023心房功能不全,
CM_0_1_3_2,CM-0-1-3-2,28,I50.904心功能Ⅲ级,
CM_0_1_3_2,CM-0-1-3-2,29,I50.905心功能Ⅳ级,
CM_0_1_3_2,CM-0-1-3-2,30,I50.906心肌损害,
CM_0_1_3_2,CM-0-1-3-2,31,I50.907急性心力衰竭,
CM_0_1_3_2,CM-0-1-3-2,32,I50.908慢性心力衰竭,
HF_0_1_4_1,HF-0-1-4-1,def,请选择,
HF_0_1_4_1,HF-0-1-4-1,a,I05-I09 慢性风湿性心脏病,
HF_0_1_4_1,HF-0-1-4-1,b,I11-I13 高血压病,
HF_0_1_4_1,HF-0-1-4-1,c,I20-I21 缺血性心脏病,
HF_0_1_4_1,HF-0-1-4-1,d,I40-I41 急性心肌炎,
HF_0_1_4_1,HF-0-1-4-1,e,I42-I43 心肌病,
HF_0_1_4_2,HF-0-1-4-2,def,请选择,
HF_0_1_4_2,HF-0-1-4-2,UTD,无,
HF_0_1_4_2,HF-0-1-4-2,66,I05.0二尖瓣狭窄,
