表代号,表名,选择字母,内容,
CM_3_1,CM-3-1,手术野皮肤准备常用方法的选择,字符串,
CM_3_1,CM-3-1,否,"例:""a""",
CM_3_1,CM-3-1,若该字段无相应取值，则接口中不必提交该字段,见,
CM_3_2,CM-3-2,使用含抗菌剂（三氯生）缝线,字符串,
CM_3_2,CM-3-2,否,"例:""a""",
CM_3_2,CM-3-2,若该字段无相应取值，则接口中不必提交该字段,见,
CM_3_2_1,CM-3-2-1,其他含抗菌剂缝线填写,字符串,
CM_3_2_1,CM-3-2-1,参考备注,"例:""填写文字说明""",
"使用含抗菌剂（三氯生）缝线(CM_3_2)等于""其他含抗菌剂（三氯生）缝线""(d)时可填写;","使用含抗菌剂（三氯生）缝线(CM-3-2)等于""其他含抗菌剂（三氯生）缝线""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,205,
CM_3_3,CM-3-3,手术切口类别的选择,字符串,
CM_3_3,CM-3-3,否,"例:""a""",
CM_3_3,CM-3-3,若该字段无相应取值，则接口中不必提交该字段,见,
CM_3_4,CM-3-4,手术切口愈合情况的选择,字符串,
CM_3_4,CM-3-4,否,"例:""a""",
CM_3_4,CM-3-4,若该字段无相应取值，则接口中不必提交该字段,见,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,"I61.0 大脑半球的脑内出血,皮质下",
CM_0_1_3_1,CM-0-1-3-1,b,"I61.1 大脑半球的脑内出血,皮质的",
CM_0_1_3_1,CM-0-1-3-1,c,I61.2 大脑半球未特指的脑内出血,
CM_0_1_3_1,CM-0-1-3-1,d,I61.3 脑干的脑内出血,
CM_0_1_3_1,CM-0-1-3-1,e,I61.4 小脑的脑内出血,
CM_0_1_3_1,CM-0-1-3-1,f,"I61.5 脑内出血,脑室内",
CM_0_1_3_1,CM-0-1-3-1,g,"I61.6 脑内出血,多处局限性",
CM_0_1_3_1,CM-0-1-3-1,h,I61.8 其他脑内出血,
CM_0_1_3_1,CM-0-1-3-1,i,I61.9 未特指的脑内出血,
CM_0_1_3_1,CM-0-1-3-1,oth,其他（注明ICD-10编码与名称),
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,I61.000 大脑半球的脑内出血，皮质下,
CM_0_1_3_2,CM-0-1-3-2,2,I61.000x006 胼胝体出血,
CM_0_1_3_2,CM-0-1-3-2,3,I61.000x007 尾状核头出血,
CM_0_1_3_2,CM-0-1-3-2,4,I61.000x008 壳核出血,
CM_0_1_3_2,CM-0-1-3-2,5,I61.000x009 尾状核出血,
CM_0_1_3_2,CM-0-1-3-2,6,I61.000x011 最外囊出血,
CM_0_1_3_2,CM-0-1-3-2,7,I61.001 豆状核出血,
CM_0_1_3_2,CM-0-1-3-2,8,I61.002 大脑皮质下出血,
CM_0_1_3_2,CM-0-1-3-2,9,I61.003 大脑后动脉出血,
CM_0_1_3_2,CM-0-1-3-2,10,I61.004 基底节出血,
CM_0_1_3_2,CM-0-1-3-2,11,I61.005 内囊出血,
CM_0_1_3_2,CM-0-1-3-2,12,I61.006 外囊出血,
