序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,
0,,,,,,,,,,,,
1,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,
2,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,
3,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,
4,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,
5,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,
6,caseId,患者病案号,字符串,是,"例:""填写文字说明""",,,,,,,
7,IDCard,患者身份证号,字符串,是,"例:""填写文字说明""",身份证号不正确,,,,,,
8,CM-0-1-3-1,主要诊断ICD-10四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-3-1选择代码表,,,,,
9,ICH-0-1-12-1,其他主要诊断ICD-10四位亚目编码与名称,字符串,参考备注,"例:""填写文字说明""","主要诊断ICD-10四位亚目编码与名称(CM-0-1-3-1)等于""其他（注明ICD-10编码与名称)""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
10,CM-0-1-3-2,主要诊断ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-3-2选择代码表,,,,,
11,ICH-0-1-8-1,其他主要诊断ICD-10六位临床扩展编码与名称,字符串,参考备注,"例:""填写文字说明""","主要诊断ICD-10六位临床扩展编码与名称(CM-0-1-3-2)等于""其他（注明ICD-10编码与名称)""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
12,CM-0-1-4-1,主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-1-4-1选择代码表,,,,
13,ICH-0-1-11-1,其他主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称,字符串,参考备注,"例:""填写文字说明""","主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称(CM-0-1-4-1)等于""其他（注明ICD-9-CM-3编码与名称)""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
14,CM-0-1-4-2,主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称,字符串,否,"例:""UTD""",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-1-4-2选择代码表,,,,
15,ICH-0-1-7-1,其他主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称,字符串,参考备注,"例:""填写文字说明""","主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称(CM-0-1-4-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
16,CM-0-1-5,是否ICH出院后31天内重复住院,字符串,是,"例:""y""",见,CM-0-1-5选择代码表,,,,,
17,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,,,
18,CM-0-2-1-2,患者性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,,,
19,CM-0-2-1-3,患者体重（kg）,数值,是,例:10,患者体重应大于等于0,,,,,,
20,CM-0-2-1-5,患者身高（cm）,数值,是,例:10,患者身高应大于等于0,,,,,,
21,CM-0-2-2-1,发病日期时间是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-2-2-1选择代码表,,,,
