表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,M17.0 原发性双侧膝关节病,
CM_0_1_3_1,CM-0-1-3-1,b,M17.1 其他的原发性膝关节病,
CM_0_1_3_1,CM-0-1-3-1,c,M17.2 创伤后双侧膝关节病,
CM_0_1_3_1,CM-0-1-3-1,d,M17.3 其他的创伤后膝关节病,
CM_0_1_3_1,CM-0-1-3-1,e,M17.4 其他的继发性双侧膝关节病,
CM_0_1_3_1,CM-0-1-3-1,f,M17.5 其他的继发性膝关节病,
CM_0_1_3_1,CM-0-1-3-1,g,M17.9 膝关节病,
CM_0_1_3_1,CM-0-1-3-1,h,T84.0 内部关节假体的机械性并发症,
CM_0_1_3_1,CM-0-1-3-1,i,T84.5 内部关节假体引起的感染和炎症性反应,
CM_0_1_3_1,CM-0-1-3-1,j,T84.8 内部矫形外科假体装置、植入物和移植物的其他并发症,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,M17.000 原发性双侧膝关节病,
CM_0_1_3_2,CM-0-1-3-2,b,M17.100 原发性膝关节病，其他的,
CM_0_1_3_2,CM-0-1-3-2,c,M17.101 原发性单侧膝关节病,
CM_0_1_3_2,CM-0-1-3-2,d,M17.200 创伤后双侧膝关节病,
CM_0_1_3_2,CM-0-1-3-2,e,M17.300 创伤后膝关节病，其他的,
CM_0_1_3_2,CM-0-1-3-2,f,M17.301创伤后单侧膝关节病,
CM_0_1_3_2,CM-0-1-3-2,g,M17.400 继发性双侧膝关节病，其他的,
CM_0_1_3_2,CM-0-1-3-2,h,M17.400x001 继发性双侧膝关节病,
CM_0_1_3_2,CM-0-1-3-2,i,M17.500 继发性膝关节病，其他的,
CM_0_1_3_2,CM-0-1-3-2,j,M17.500x002 独眼征(膝CYCLOPS形成),
CM_0_1_3_2,CM-0-1-3-2,k,M17.501 继发性单侧膝关节病,
CM_0_1_3_2,CM-0-1-3-2,l,M17.900 膝关节病,
CM_0_1_3_2,CM-0-1-3-2,m,M17.900x002 膝关节退行性病变,
CM_0_1_3_2,CM-0-1-3-2,n,M17.900x003 双侧膝关节骨性关节病,
CM_0_1_3_2,CM-0-1-3-2,o,M17.900x004 单侧膝关节骨性关节病,
CM_0_1_3_2,CM-0-1-3-2,p,T84.000 内部关节假体的机械性并发症,
CM_0_1_3_2,CM-0-1-3-2,q,T84.000x004 人工关节置换术后假体功能障碍,
CM_0_1_3_2,CM-0-1-3-2,r,T84.000x006 人工关节置换术后假体松动,
CM_0_1_3_2,CM-0-1-3-2,s,T84.001 关节假体并发症,
CM_0_1_3_2,CM-0-1-3-2,t,T84.004 膝关节假体障碍,
CM_0_1_3_2,CM-0-1-3-2,u,T84.502 膝关节假体植入感染,
CM_0_1_3_2,CM-0-1-3-2,v,T84.800x009 关节置换术后异位骨化,
CM_0_1_3_2,CM-0-1-3-2,w,T84.807膝关节置换术后疼痛,
CM_0_1_3_2,CM-0-1-3-2,oth,其他,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,00.80 膝关节置换修复术，全部（所有成分）,
CM_0_1_4_1,CM-0-1-4-1,b,00.81 膝关节置换修复术，胫骨成分,
CM_0_1_4_1,CM-0-1-4-1,c,00.82 膝关节置换修复术，股骨成分,
CM_0_1_4_1,CM-0-1-4-1,d,00.83 膝关节置换修复术，髌骨成分,
CM_0_1_4_1,CM-0-1-4-1,e,00.84 全膝关节置换，胫骨置入（衬垫）,
CM_0_1_4_1,CM-0-1-4-1,f,81.54 全部膝关节置换,
CM_0_1_4_1,CM-0-1-4-1,g,81.55 膝关节置换修正术NOS,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,00.8000 膝关节置换修复术，全部（所有成分）,
CM_0_1_4_2,CM-0-1-4-2,b,00.8000x001 全膝关节假体翻修术,
CM_0_1_4_2,CM-0-1-4-2,c,00.8100 膝关节置换修复术，胫骨成分,
