表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C34.0 主支气管恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,"C34.1 上叶,支气管或肺的恶性肿瘤",
CM_0_1_3_1,CM-0-1-3-1,c,"C34.2 中叶,支气管或肺的恶性肿瘤",
CM_0_1_3_1,CM-0-1-3-1,d,"C34.3 下叶,支气管或肺的恶性肿瘤",
CM_0_1_3_1,CM-0-1-3-1,e,C34.8支气管和肺交搭跨越恶性肿瘤的损害,
CM_0_1_3_1,CM-0-1-3-1,f,C34.9未特指的支气管或肺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,C34.000 主支气管恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,2,C34.000x002 左主支气管恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,3,C34.000x003 右主支气管恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,4,C34.001 肺门恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,5,C34.100 上叶，支气管或肺的恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,6,C34.100x003 左肺上叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,7,C34.100x004 右肺上叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,8,C34.101 肺上叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,9,C34.102 肺上沟恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,10,C34.200 中叶，支气管或肺的恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,11,C34.200x001 右肺中叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,12,C34.201 肺中叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,13,C34.300 下叶，支气管或肺的恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,14,C34.300x003 左肺下叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,15,C34.300x004 右肺下叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,16,C34.301 肺下叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,17,C34.800支气管和肺交搭跨越恶性肿瘤的损害,
CM_0_1_3_2,CM-0-1-3-2,18,C34.800x001 右肺中上叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,19,C34.800x002 右肺中下叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,20,C34.800x003 左肺上下叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,21,C34.801 肺中上叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,22,C34.802 肺中下叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,23,C34.803 肺上下叶恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,24,C34.900 支气管或肺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,25,C34.900x001 肺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,26,C34.900x004 左肺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,27,C34.900x005 右肺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,28,C34.900x006 双肺恶性肿瘤,
