表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C70.0 脑膜恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,c,C70.9 未特指的脑脊膜恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,d,D32.0 脑膜良性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,e,D32.9 未特指的脑脊膜良性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,g,D42.9 脑脊膜未特指的动态未定或动态未知的肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,C70.000 脑膜恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,2,C70.000x002 硬脑膜恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,6,C70.900 脑脊膜恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,7,C70.901 硬膜下恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,8,D32.000 脑膜良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,9,D32.000x001 鞍部脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,10,D32.000x002 鞍隔脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,11,D32.000x004 大脑镰脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,12,D32.000x008 蝶骨脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,13,D32.000x011 横窦脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,14,D32.000x014 颅窝脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,15,D32.000x016 脑室脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,16,D32.000x019 桥脑脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,17,D32.000x020 筛窦脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,18,D32.000x021 矢状窦脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,19,D32.000x024 小脑脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,20,D32.000x026 岩骨脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,21,D32.000x028 枕叶脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,22,D32.000x029 中颅窝脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,23,D32.000x030 蝶鞍上脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,24,D32.000x031 侧脑室脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,25,D32.000x032 大脑皮层多部位脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,26,D32.000x036 硬脑膜下脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,27,D32.000x037 岩骨斜坡脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,28,D32.000x038 颅底脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,29,D32.000x039 窦汇区脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,30,D32.001 蝶骨嵴脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,31,D32.002 颅中窝脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,32,D32.003 前床突脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,33,D32.004 额叶脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,34,D32.005 顶叶脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,35,D32.006 大脑镰旁脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,36,D32.007 矢状窦旁脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,37,D32.008 嗅沟脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,38,D32.009 中央区脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,39,D32.010 脑室内脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,40,D32.011 颞叶脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,41,D32.012 颅后窝脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,42,D32.013 颅前窝脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,43,D32.014 鞍区脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,44,D32.015 鞍结节脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,45,D32.016 鞍背脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,46,D32.017 枕部脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,47,D32.018 小脑幕脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,48,D32.019 小脑脑桥角脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,49,D32.020 斜坡脑膜瘤,
CM_0_1_3_2,CM-0-1-3-2,50,D32.021 颈静脉孔区脑膜瘤,
