表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,A52.0 心血管梅毒,
CM_0_1_3_1,CM-0-1-3-1,b,I05.0 二尖瓣狭窄,
CM_0_1_3_1,CM-0-1-3-1,c,I05.1 风湿性二尖瓣关闭不全,
CM_0_1_3_1,CM-0-1-3-1,d,I05.2 二尖瓣狭窄伴有关闭不全,
CM_0_1_3_1,CM-0-1-3-1,e,I05.8 其他二尖瓣疾病,
CM_0_1_3_1,CM-0-1-3-1,f,I05.9 未特指的二尖瓣疾病,
CM_0_1_3_1,CM-0-1-3-1,g,I34.0 二尖(瓣)关闭不全,
CM_0_1_3_1,CM-0-1-3-1,h,I34.1 二尖(瓣)脱垂,
CM_0_1_3_1,CM-0-1-3-1,i,I34.2 非风湿性二尖(瓣)狭窄,
CM_0_1_3_1,CM-0-1-3-1,j,I34.8 其他的非风湿性二尖瓣疾患,
CM_0_1_3_1,CM-0-1-3-1,k,I34.9 未特指的非风湿性二尖瓣疾患,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,A52.011+I39.0* 梅毒性二尖瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,2,I05.000 二尖瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,3,I05.000x001 风湿性二尖瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,4,I05.100 风湿性二尖瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,5,I05.200 二尖瓣狭窄伴有关闭不全,
CM_0_1_3_2,CM-0-1-3-2,6,I05.200x001 风湿性二尖瓣狭窄伴关闭不全,
CM_0_1_3_2,CM-0-1-3-2,7,I05.200x002 二尖瓣狭窄伴关闭不全,
CM_0_1_3_2,CM-0-1-3-2,8,I05.800 二尖瓣疾病，其他的,
CM_0_1_3_2,CM-0-1-3-2,9,I05.801 二尖瓣钙化,
CM_0_1_3_2,CM-0-1-3-2,10,I05.900 二尖瓣疾病,
CM_0_1_3_2,CM-0-1-3-2,11,I05.900x001 风湿性二尖瓣病,
CM_0_1_3_2,CM-0-1-3-2,12,I34.000 二尖瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,13,I34.000x001 非风湿性二尖瓣关闭不全,
CM_0_1_3_2,CM-0-1-3-2,14,I34.000x011 二尖(瓣)关闭不全,
CM_0_1_3_2,CM-0-1-3-2,15,I34.000x012 非风湿性二尖瓣伴主动脉瓣闭锁不全,
CM_0_1_3_2,CM-0-1-3-2,16,I34.001 二尖瓣反流,
CM_0_1_3_2,CM-0-1-3-2,17,I34.100 二尖瓣脱垂,
CM_0_1_3_2,CM-0-1-3-2,18,I34.100x004 二尖瓣脱垂伴关闭不全,
CM_0_1_3_2,CM-0-1-3-2,19,I34.100x011 二尖(瓣)脱垂,
CM_0_1_3_2,CM-0-1-3-2,20,I34.101 二尖瓣脱垂综合征,
CM_0_1_3_2,CM-0-1-3-2,21,I34.102 二尖瓣后叶脱垂,
CM_0_1_3_2,CM-0-1-3-2,22,I34.200 非风湿性二尖瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,23,I34.200x003 二尖瓣闭式扩张术后再狭窄,
CM_0_1_3_2,CM-0-1-3-2,24,I34.200x011 非风湿性二尖(瓣)狭窄,
CM_0_1_3_2,CM-0-1-3-2,25,I34.201 二尖瓣术后狭窄,
CM_0_1_3_2,CM-0-1-3-2,26,I34.202 老年钙化性二尖瓣狭窄,
CM_0_1_3_2,CM-0-1-3-2,27,I34.800 非风湿性二尖瓣疾患，其他的,
CM_0_1_3_2,CM-0-1-3-2,28,I34.800x002 二尖瓣裂,
CM_0_1_3_2,CM-0-1-3-2,29,I34.800x003 手术后二尖瓣狭窄伴关闭不全,
CM_0_1_3_2,CM-0-1-3-2,30,I34.800x005 心内膜炎并二尖瓣穿孔,
CM_0_1_3_2,CM-0-1-3-2,31,I34.800x011 手术后二尖瓣狭窄闭锁不全,
CM_0_1_3_2,CM-0-1-3-2,32,I34.800x012 非风湿性二尖瓣狭窄伴闭锁不全,
CM_0_1_3_2,CM-0-1-3-2,33,I34.801 非风湿性二尖瓣狭窄伴关闭不全,
CM_0_1_3_2,CM-0-1-3-2,34,I34.802 二尖瓣腱索断裂,
CM_0_1_3_2,CM-0-1-3-2,35,I34.803 二尖瓣退行性变,
CM_0_1_3_2,CM-0-1-3-2,36,I34.900 非风湿性二尖瓣疾患,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,35.02 闭合性心脏瓣膜切开术，二尖瓣,
CM_0_1_4_1,CM-0-1-4-1,b,35.12 无置换的开放性二尖瓣成形术,
CM_0_1_4_1,CM-0-1-4-1,c,35.23 二尖瓣切开和其他置换术伴有组织移植物,
CM_0_1_4_1,CM-0-1-4-1,d,35.24 二尖瓣切开和其他置换术,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,35.0200 闭合性心脏瓣膜切开术，二尖瓣,
CM_0_1_4_2,CM-0-1-4-2,b,35.0200x003 二尖瓣探查术,
CM_0_1_4_2,CM-0-1-4-2,c,35.0201 二尖瓣闭式扩张术,
CM_0_1_4_2,CM-0-1-4-2,d,35.1200 无置换的开放性二尖瓣成形术,
CM_0_1_4_2,CM-0-1-4-2,e,35.1200x001 二尖瓣修补术,
CM_0_1_4_2,CM-0-1-4-2,f,35.1200x002 二尖瓣切开扩张术,
CM_0_1_4_2,CM-0-1-4-2,g,35.1200x003 二尖瓣切开探查术,
CM_0_1_4_2,CM-0-1-4-2,h,35.1200x004 经心尖二尖瓣人工腱索置入修补术,
CM_0_1_4_2,CM-0-1-4-2,i,35.1201 二尖瓣成形术,
CM_0_1_4_2,CM-0-1-4-2,j,35.1202 胸腔镜下二尖瓣成形术,
CM_0_1_4_2,CM-0-1-4-2,k,35.2300 二尖瓣切开和其他置换术伴有组织移植物,
CM_0_1_4_2,CM-0-1-4-2,l,35.2300x002 二尖瓣生物瓣膜置换术(保留瓣下结构),
CM_0_1_4_2,CM-0-1-4-2,m,35.2300x003 经心尖二尖瓣生物瓣膜植入术,
CM_0_1_4_2,CM-0-1-4-2,n,35.2301 二尖瓣生物瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,o,35.2302 胸腔镜下二尖瓣生物瓣置换术,
CM_0_1_4_2,CM-0-1-4-2,p,35.2400 二尖瓣切开和其他置换术,
CM_0_1_4_2,CM-0-1-4-2,q,35.2400x002 二尖瓣机械瓣膜置换术(保留瓣下结构),
CM_0_1_4_2,CM-0-1-4-2,r,35.2400x003 共同房室瓣机械瓣置换术,
CM_0_1_4_2,CM-0-1-4-2,s,35.2401 二尖瓣机械瓣膜置换术,
CM_0_1_4_2,CM-0-1-4-2,t,35.2402 胸腔镜下二尖瓣机械瓣膜置换术,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
