表代号,表名,选择字母,内容,
OIT_0_1_1,OIT-0-1-1,y,是,
OIT_0_1_1,OIT-0-1-1,n,否,
OIT_0_1_3,OIT-0-1-3,def,请选择,
OIT_0_1_3,OIT-0-1-3,a,三级综合医院,
OIT_0_1_3,OIT-0-1-3,b,二级综合医院,
OIT_0_1_3,OIT-0-1-3,c,三级口腔医院,
OIT_0_1_3,OIT-0-1-3,d,二级口腔医院,
OIT_0_1_3,OIT-0-1-3,e,口腔门诊机构,
OIT_0_1_4,OIT-0-1-4,def,请选择,
OIT_0_1_4,OIT-0-1-4,a,公立,
OIT_0_1_4,OIT-0-1-4,b,民营,
OIT_0_1_7,OIT-0-1-7,def,请选择,
OIT_0_1_7,OIT-0-1-7,a,公立,
OIT_0_1_7,OIT-0-1-7,b,民营,
OIT_0_2_1,OIT-0-2-1,def,请选择,
OIT_0_2_1,OIT-0-2-1,a,门诊治疗,
OIT_0_2_1,OIT-0-2-1,b,住院治疗,
CM_0_1_4_1,CM-0-1-4-1,a,22.79 上颌窦提升术,
CM_0_1_4_1,CM-0-1-4-1,b,23.5 种植牙,
CM_0_1_4_1,CM-0-1-4-1,c,23.6 假牙置入,
CM_0_1_4_1,CM-0-1-4-1,d,76.09 面骨的其他切开术,
CM_0_1_4_1,CM-0-1-4-1,e,76.9100 面骨骨移植,
CM_0_1_4_1,CM-0-1-4-1,f,76.92 合成物面骨植入,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,22.7900x003 上颌窦提升术,
CM_0_1_4_2,CM-0-1-4-2,b,23.5x00 种植牙,
CM_0_1_4_2,CM-0-1-4-2,c,23.5x01 自体牙再植术,
CM_0_1_4_2,CM-0-1-4-2,d,23.6x00 假牙置入,
CM_0_1_4_2,CM-0-1-4-2,e,23.6x00x002义齿种植,
CM_0_1_4_2,CM-0-1-4-2,f,23.6x00x003 义齿种植一期手术(种植体固定钉置入术),
CM_0_1_4_2,CM-0-1-4-2,g,23.6x00x004 义齿种植二期手术(种植体基桩连接术),
CM_0_1_4_2,CM-0-1-4-2,h,76.0900 面骨的其他切开术,
CM_0_1_4_2,CM-0-1-4-2,i,76.0900x001 面骨切开术,
CM_0_1_4_2,CM-0-1-4-2,j,76.0900x003 颌骨劈开术,
CM_0_1_4_2,CM-0-1-4-2,k,76.9100面骨 骨移植,
CM_0_1_4_2,CM-0-1-4-2,l,76.9100x002 面骨自体骨植入术,
CM_0_1_4_2,CM-0-1-4-2,m,76.9100x004 上颌骨自体骨植入术,
CM_0_1_4_2,CM-0-1-4-2,n,76.9100x007 下颌骨自体骨植入术,
CM_0_1_4_2,CM-0-1-4-2,o,76.9101 下颌骨骨移植术,
CM_0_1_4_2,CM-0-1-4-2,p,76.9102 上颌骨骨移植术,
CM_0_1_4_2,CM-0-1-4-2,q,76.9200 合成物面骨植入,
CM_0_1_4_2,CM-0-1-4-2,r,76.9200x004 下颌骨钛板置入术,
CM_0_1_4_2,CM-0-1-4-2,s,76.9200x005 面部生物材料充填术,
CM_0_1_4_2,CM-0-1-4-2,t,76.9200x012 上颌骨人工假体置入术,
CM_0_1_4_2,CM-0-1-4-2,u,76.9200x013 下颌骨人工假体置入术,
CM_0_1_4_2,CM-0-1-4-2,v,76.9201 上颌骨合成物植入术,
CM_0_1_4_2,CM-0-1-4-2,w,76.9202 下颌骨合成物植入术,
CM_0_1_4_2,CM-0-1-4-2,oth,其他,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
OIT_1_1_1,OIT-1-1-1,N,无明显异常情况,
OIT_1_1_1,OIT-1-1-1,a,有住过院或患过严重疾病的记录,
OIT_1_1_1,OIT-1-1-1,b,有拔牙等手术史的记录,
OIT_1_1_1,OIT-1-1-1,c,有胸前区痛（心绞痛）的记录,
OIT_1_1_1,OIT-1-1-1,d,有冠心病的记录,
OIT_1_1_1,OIT-1-1-1,e,有高血压的记录,
OIT_1_1_1,OIT-1-1-1,f,有糖尿病的记录,
OIT_1_1_1,OIT-1-1-1,g,有头痛、头昏、晕厥的记录,
OIT_1_1_1,OIT-1-1-1,h,有中风或脑溢血的记录,
OIT_1_1_1,OIT-1-1-1,i,有甲亢的记录,
OIT_1_1_1,OIT-1-1-1,j,有肝炎的记录,
OIT_1_1_1,OIT-1-1-1,k,有肾炎的记录,
OIT_1_1_1,OIT-1-1-1,l,有风湿病的记录,
OIT_1_1_1,OIT-1-1-1,m,有自发出血或淤青，或止血困难的记录,
OIT_1_1_1,OIT-1-1-1,oth,有既往史与现病史的其他相关情况记录,
OIT_1_1_1,OIT-1-1-1,UTD,无法确定或无记录,
OIT_1_1_2,OIT-1-1-2,y,是,
OIT_1_1_2,OIT-1-1-2,n,否,
OIT_1_1_3,OIT-1-1-3,a,有白血病,
OIT_1_1_3,OIT-1-1-3,b,有贫血,
OIT_1_1_3,OIT-1-1-3,c,有血小板减少性紫癜,
OIT_1_1_3,OIT-1-1-3,d,有淋巴瘤,
OIT_1_1_3,OIT-1-1-3,oth,有血液系统疾病的其他相关情况记录,
OIT_1_1_4,OIT-1-1-4,a,没有骨质疏松,
OIT_1_1_4,OIT-1-1-4,b,未服用双磷酸盐类药物,
OIT_1_1_4,OIT-1-1-4,c,曾服用双磷酸盐类药物,
OIT_1_1_5,OIT-1-1-5,y,是,
OIT_1_1_5,OIT-1-1-5,n,否,
OIT_1_1_6,OIT-1-1-6,a,有青霉素类药物过敏史,
OIT_1_1_6,OIT-1-1-6,b,有麻药类药物过敏史,
OIT_1_1_6,OIT-1-1-6,c,有食物过敏史,
OIT_1_1_6,OIT-1-1-6,oth,有其他药品、食物等过敏史,
OIT_1_1_7,OIT-1-1-7,a,否认在月经或妊娠期,
OIT_1_1_7,OIT-1-1-7,b,在月经期,
OIT_1_1_7,OIT-1-1-7,c,在妊娠期,
OIT_1_1_7,OIT-1-1-7,d,近期计划妊娠,
OIT_1_2_1,OIT-1-2-1,N,无明显异常情况,
OIT_1_2_1,OIT-1-2-1,a,余留牙情况有异常,
OIT_1_2_1,OIT-1-2-1,b,牙周组织有异常,
OIT_1_2_1,OIT-1-2-1,c,颞颌关节有异常,
OIT_1_2_1,OIT-1-2-1,d,咬合情况有异常,
OIT_1_2_1,OIT-1-2-1,e,口腔黏膜有病变,
OIT_1_2_1,OIT-1-2-1,f,角化龈情况有异常,
OIT_1_2_1,OIT-1-2-1,g,有口腔不良习惯的记录,
OIT_1_2_1,OIT-1-2-1,oth,其他,
OIT_1_3_1,OIT-1-3-1,N,无明显异常情况,
OIT_1_3_1,OIT-1-3-1,a,血常规有异常,
OIT_1_3_1,OIT-1-3-1,b,凝血有异常,
OIT_1_3_1,OIT-1-3-1,c,血糖有异常,
OIT_1_3_1,OIT-1-3-1,d,感染标志物有异常,
OIT_1_3_1,OIT-1-3-1,oth,其他,
OIT_1_3_1,OIT-1-3-1,UTD,无法确定或无记录,
OIT_2_1_1,OIT-2-1-1,y,是,
OIT_2_1_1,OIT-2-1-1,n,否,
OIT_2_1_2,OIT-2-1-2,a,余留牙有异常,
OIT_2_1_2,OIT-2-1-2,b,颌骨有异常,
OIT_2_1_2,OIT-2-1-2,c,缺牙区可用有骨高度异常,
OIT_2_1_2,OIT-2-1-2,d,缺牙区相邻解剖结构有异常,
OIT_2_1_2,OIT-2-1-2,e,无异常情况,
OIT_2_1_2,OIT-2-1-2,oth,其他,
OIT_2_1_2,OIT-2-1-2,UTD,无法确定或无记录,
OIT_2_1_3,OIT-2-1-3,y,是,
OIT_2_1_3,OIT-2-1-3,n,否,
