表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C75.1 垂体恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,D35.2 垂体良性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,c1,D44.3 垂体动态未定或动态未知的肿瘤,
CM_0_1_3_1,CM-0-1-3-1,d,E22.0 肢端肥大症和垂体性巨人症,
CM_0_1_3_1,CM-0-1-3-1,h,E23.6 其他垂体疾患,
CM_0_1_3_1,CM-0-1-3-1,oth,其他,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,C75.100 垂体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,2,D35.200 垂体良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,3,D35.200x004 垂体无功能良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,4,D35.200x007 垂体微小良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,5,D35.200x008 侵袭性垂体瘤,
CM_0_1_3_2,CM-0-1-3-2,6,D35.200x009 巨大侵袭性垂体瘤,
CM_0_1_3_2,CM-0-1-3-2,7,D35.200x010 垂体瘤,
CM_0_1_3_2,CM-0-1-3-2,8,D35.200x011 复杂垂体瘤,
CM_0_1_3_2,CM-0-1-3-2,9,D35.201 鞍区良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,10,D44.300 垂体动态未定或动态未知的肿瘤,
CM_0_1_3_2,CM-0-1-3-2,11,D44.300x001 垂体交界性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,12,D44.301 垂体肿瘤,
CM_0_1_3_2,CM-0-1-3-2,25,E22.000 肢端肥大症和垂体性巨人症,
CM_0_1_3_2,CM-0-1-3-2,26,E22.000x001 垂体性巨人症,
CM_0_1_3_2,CM-0-1-3-2,27,E22.000x002 生长激素生成过多,
CM_0_1_3_2,CM-0-1-3-2,28,E22.000x005 垂体生长激素瘤,
CM_0_1_3_2,CM-0-1-3-2,29,E22.000x006 肢端肥大症性关节病,
CM_0_1_3_2,CM-0-1-3-2,30,E22.001 肢端肥大症,
CM_0_1_3_2,CM-0-1-3-2,31,E22.002 生长激素过度分泌综合征,
CM_0_1_3_2,CM-0-1-3-2,64,E23.600 垂体疾患，其他的,
CM_0_1_3_2,CM-0-1-3-2,65,E23.600x001 鞍区病变,
CM_0_1_3_2,CM-0-1-3-2,66,E23.600x005 垂体管囊肿,
CM_0_1_3_2,CM-0-1-3-2,67,E23.600x008 垂体炎,
CM_0_1_3_2,CM-0-1-3-2,68,E23.600x010 垂体增大,
CM_0_1_3_2,CM-0-1-3-2,69,E23.600x011 下丘脑性肥胖,
CM_0_1_3_2,CM-0-1-3-2,70,E23.600x014 蝶鞍扩大,
CM_0_1_3_2,CM-0-1-3-2,71,E23.600x015 反馈性垂体瘤综合征,
CM_0_1_3_2,CM-0-1-3-2,72,E23.600x016 肥胖-生殖无能综合征,
CM_0_1_3_2,CM-0-1-3-2,73,E23.600x017 间脑综合征,
CM_0_1_3_2,CM-0-1-3-2,74,E23.600x019 拉克囊肿,
CM_0_1_3_2,CM-0-1-3-2,75,E23.600x021 拉克氏囊肿,
CM_0_1_3_2,CM-0-1-3-2,76,E23.600x022 自身免疫性垂体炎,
CM_0_1_3_2,CM-0-1-3-2,77,E23.601 垂体脓肿,
CM_0_1_3_2,CM-0-1-3-2,78,E23.602 垂体卒中,
CM_0_1_3_2,CM-0-1-3-2,79,E23.603 空泡蝶鞍综合征,
CM_0_1_3_2,CM-0-1-3-2,80,E23.604 垂体瘢痕,
CM_0_1_3_2,CM-0-1-3-2,81,E23.605 垂体性肥胖,
CM_0_1_3_2,CM-0-1-3-2,82,E23.606 垂体增生,
CM_0_1_3_2,CM-0-1-3-2,83,E23.607 垂体囊肿,
CM_0_1_3_2,CM-0-1-3-2,84,E23.608 拉特克囊肿,
CM_0_1_3_2,CM-0-1-3-2,85,E23.609 肥胖性生殖无能症,
CM_0_1_3_2,CM-0-1-3-2,86,E23.610 垂体钙化,
CM_0_1_3_2,CM-0-1-3-2,87,E23.611 垂体出血,
CM_0_1_3_2,CM-0-1-3-2,88,E23.612 垂体假腺瘤,
CM_0_1_3_2,CM-0-1-3-2,89,E23.613 淋巴细胞性垂体炎,
CM_0_1_3_2,CM-0-1-3-2,90,E23.614 垂体萎缩,
CM_0_1_3_2,CM-0-1-3-2,91,E23.615 肉芽肿性垂体炎,
CM_0_1_3_2,CM-0-1-3-2,92,E23.616 垂体柄阻断综合征,
CM_0_1_3_2,CM-0-1-3-2,93,E23.617 垂体危象,
CM_0_1_3_2,CM-0-1-3-2,oth,其他,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,07.61 垂体腺部分切除术，经前额入路,
CM_0_1_4_1,CM-0-1-4-1,b,07.62 垂体腺部分切除术，经蝶骨入路,
CM_0_1_4_1,CM-0-1-4-1,c,"07.63 垂体腺部分切除术,未特指入路",
CM_0_1_4_1,CM-0-1-4-1,d,07.64 垂体腺全部切除术，经前额入路,
CM_0_1_4_1,CM-0-1-4-1,e,07.65 垂体腺全部切除术，经蝶骨入路,
