表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,a,H26.2 并发性白内障,
CM_0_1_3_1,CM-0-1-3-1,b,H40.0 可疑青光眼,
CM_0_1_3_1,CM-0-1-3-1,c,H40.2 原发性闭角型青光眼,
CM_0_1_3_1,CM-0-1-3-1,oth,其他,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,H26.200x001 青光眼斑,
CM_0_1_3_2,CM-0-1-3-2,b,H26.202 青光眼性白内障,
CM_0_1_3_2,CM-0-1-3-2,c,H40.000 可疑青光眼,
CM_0_1_3_2,CM-0-1-3-2,d,H40.000x002 青光眼临床前期,
CM_0_1_3_2,CM-0-1-3-2,e,H40.000x004 青光眼术后眼压失控,
CM_0_1_3_2,CM-0-1-3-2,f,H40.200 原发性闭角型青光眼,
CM_0_1_3_2,CM-0-1-3-2,g,H40.200x001 闭角型青光眼,
CM_0_1_3_2,CM-0-1-3-2,h,H40.200x002 急性闭角型青光眼,
CM_0_1_3_2,CM-0-1-3-2,i,H40.200x003 急性青光眼,
CM_0_1_3_2,CM-0-1-3-2,j,H40.200x006 急性充血性青光眼,
CM_0_1_3_2,CM-0-1-3-2,k,H40.200x007 急性闭角型青光眼间歇期,
CM_0_1_3_2,CM-0-1-3-2,l,H40.202 慢性闭角型青光眼,
CM_0_1_3_2,CM-0-1-3-2,m,H40.203 原发性急性闭角型青光眼,
CM_0_1_3_2,CM-0-1-3-2,n,H40.204 间歇性闭角型青光眼,
CM_0_1_3_2,CM-0-1-3-2,o,H40.900 青光眼,
CM_0_1_3_2,CM-0-1-3-2,oth,其他,
CM_0_1_4_1,CM-0-1-4-1,1,10.1 结膜其他切开术,
CM_0_1_4_1,CM-0-1-4-1,2,10.49其他结膜成形术,
CM_0_1_4_1,CM-0-1-4-1,3,10.6 结膜缝合术,
CM_0_1_4_1,CM-0-1-4-1,4,10.91 结膜下注射,
CM_0_1_4_1,CM-0-1-4-1,5,10.99 其他,
CM_0_1_4_1,CM-0-1-4-1,6,12.11 虹膜切开术伴贯穿术,
CM_0_1_4_1,CM-0-1-4-1,7,12.12 其他虹膜切开术,
CM_0_1_4_1,CM-0-1-4-1,8,12.64 外路小梁切除术,
CM_0_1_4_1,CM-0-1-4-1,9,12.66 巩膜造口术后修复术,
CM_0_1_4_1,CM-0-1-4-1,10,12.67 眼房水引流装置置入,
CM_0_1_4_1,CM-0-1-4-1,11,12.71 睫状体透热凝固术,
CM_0_1_4_1,CM-0-1-4-1,12,12.72 睫状体冷冻疗法,
CM_0_1_4_1,CM-0-1-4-1,13,12.73 睫状体光凝固法,
CM_0_1_4_1,CM-0-1-4-1,14,12.79 其他青光眼操作,
CM_0_1_4_1,CM-0-1-4-1,15,12.83 眼前节手术伤口修复术,
CM_0_1_4_1,CM-0-1-4-1,16,12.85 用移植物的巩膜葡萄肿修复术,
CM_0_1_4_1,CM-0-1-4-1,17,12.87 用移植物的巩膜加固术,
CM_0_1_4_1,CM-0-1-4-1,18,12.91 前房治疗性排空术,
CM_0_1_4_1,CM-0-1-4-1,19,12.92 前房注射,
CM_0_1_4_1,CM-0-1-4-1,20,12.99 前房其他术,
CM_0_1_4_1,CM-0-1-4-1,21,13.19 晶状体的其他囊内摘除术,
CM_0_1_4_1,CM-0-1-4-1,22,13.3 晶状体囊外摘出术，用单纯抽吸(和冲洗术)法,
CM_0_1_4_1,CM-0-1-4-1,23,13.41 白内障晶状体乳化和抽吸,
CM_0_1_4_1,CM-0-1-4-1,24,13.59 白内障其他囊外摘除术,
CM_0_1_4_1,CM-0-1-4-1,25,13.70 置入人工晶状体,
CM_0_1_4_1,CM-0-1-4-1,26,13.71 眼内人工晶状体置入伴白内障摘出术，一期,
CM_0_1_4_1,CM-0-1-4-1,27,13.90 晶状体手术,
CM_0_1_4_1,CM-0-1-4-1,28,14.73 经前入路玻璃体切割术,
CM_0_1_4_1,CM-0-1-4-1,29,14.74 其他机械性玻璃体切除术，后入路,
CM_0_1_4_1,CM-0-1-4-1,30,14.79 玻璃体其他手术,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,1,10.1x00x001 结膜切开探查术,
