表代号,表名,选择字母,内容,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,G20.x00 帕金森病,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,01.20 颅神经刺激脉冲发生器植入或置换,
CM_0_1_4_1,CM-0-1-4-1,b,01.42 苍白球手术,
CM_0_1_4_1,CM-0-1-4-1,c,02.93 颅内神经刺激器导线植入或置换术,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,01.2000 颅神经刺激脉冲发生器植入或置换,
CM_0_1_4_2,CM-0-1-4-2,b,01.2001 颅神经刺激脉冲发生器植入,
CM_0_1_4_2,CM-0-1-4-2,c,01.2002 颅神经刺激脉冲发生器置换,
CM_0_1_4_2,CM-0-1-4-2,d,01.4200 苍白球手术,
CM_0_1_4_2,CM-0-1-4-2,e,01.4201 立体定向苍白球切开术,
CM_0_1_4_2,CM-0-1-4-2,f,01.4202 苍白球切开术,
CM_0_1_4_2,CM-0-1-4-2,g,01.4203 苍白球射频毁损术,
CM_0_1_4_2,CM-0-1-4-2,h,01.4204 苍白球丘脑化学破坏术,
CM_0_1_4_2,CM-0-1-4-2,i,02.9300 颅内神经刺激器导线植入或置换术,
CM_0_1_4_2,CM-0-1-4-2,j,02.9300x001 颅内神经刺激器调整术,
CM_0_1_4_2,CM-0-1-4-2,k,02.9301 颅内神经刺激器植入术,
CM_0_1_4_2,CM-0-1-4-2,l,02.9302 颅内神经刺激器置换术,
CM_0_1_4_2,CM-0-1-4-2,m,02.9303 脑深部电极置入术,
CM_0_1_4_2,CM-0-1-4-2,n,02.9304 丘脑底核电极刺激器置入术,
CM_0_1_4_2,CM-0-1-4-2,oth,其他,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_2_2_1,CM-0-2-2-1,UTD,无法确定或无记录,
CM_0_3_1,CM-0-3-1,def,请选择,
CM_0_3_1,CM-0-3-1,a,城镇职工基本医疗保险,
CM_0_3_1,CM-0-3-1,b,城镇居民基本医疗保险,
CM_0_3_1,CM-0-3-1,c,新型农村合作医疗,
CM_0_3_1,CM-0-3-1,d,贫困救助,
CM_0_3_1,CM-0-3-1,e,商业医疗保险,
CM_0_3_1,CM-0-3-1,f,公费医疗,
CM_0_3_1,CM-0-3-1,g,全自费,
CM_0_3_1,CM-0-3-1,h,其他社会保险（ 生育保险、工伤保险、农民工保险等）,
CM_0_3_1,CM-0-3-1,i,其他,
CM_0_3_2,CM-0-3-2,def,请选择,
CM_0_3_2,CM-0-3-2,a,门诊,
CM_0_3_2,CM-0-3-2,b,急诊,
CM_0_3_2,CM-0-3-2,c,其他医疗机构转入,
CM_0_3_2,CM-0-3-2,d,院内其他临床科室转入,
CM_0_3_2,CM-0-3-2,e,其他,
CM_0_3_3,CM-0-3-3,def,请选择,
CM_0_3_3,CM-0-3-3,a,救护车,
CM_0_3_3,CM-0-3-3,b,出租车,
CM_0_3_3,CM-0-3-3,c,私家车,
CM_0_3_3,CM-0-3-3,d,其他,
