表代号,表名,选择字母,内容,
PIP_0_1_1,PIP-0-1-1,def,请选择,
PIP_0_1_1,PIP-0-1-1,a,住院手术,
PIP_0_1_1,PIP-0-1-1,b,日间手术,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
其他颅骨切开术ICD_9_CM_3：01.24,其他颅骨切开术ICD-9-CM-3：01.24,i,椎间盘切除术或破坏术ICD 9-CM-3：80.50至80.59,
"关节脱位切开复位内固定术ICD_9_CM_3:76.94, 79.8","关节脱位切开复位内固定术ICD-9-CM-3:76.94, 79.8",n,骨内固定（不伴骨折复位术）及固定装置取出术：78.5-78.6,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,m,肌腱松解术：83.11-83.14,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,p,睾丸相关手术：62.0-62.9,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,q,阴茎相关手术：64.0-64.4,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,r,室间隔补片修补术：35.62*,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,s,房间隔补片修补术：35.61*,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,u,髋关节置换术：00.7，81.51至81.53*,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,v,膝关节置换术：00.80至00.83，81.54，81.55*,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,t,冠状动脉搭桥术：36.1*,
卵巢切除术ICD_9_CM_3：65.2_65.6,卵巢切除术ICD-9-CM-3：65.2-65.6,w,剖宫产术：74.0，74.1，74.2，74.4，74.99 *,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,3,06.1200 开放性甲状腺活组织检查,
CM_0_1_4_2,CM-0-1-4-2,4,06.2x00 单侧甲状腺叶切除术,
CM_0_1_4_2,CM-0-1-4-2,5,06.2x01 腔镜下单侧甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,6,06.2x02 单侧甲状腺切除伴甲状腺峡部切除术,
CM_0_1_4_2,CM-0-1-4-2,7,06.2x03 单侧甲状腺切除伴他叶部分切除术,
CM_0_1_4_2,CM-0-1-4-2,8,06.2x04 单侧甲状腺切除伴峡部和其他叶部分切除术,
CM_0_1_4_2,CM-0-1-4-2,9,06.3100 甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,10,06.3100x001 甲状腺病损射频消融术,
CM_0_1_4_2,CM-0-1-4-2,11,06.3101 腔镜下甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,12,06.3900 其他部分甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,13,06.3900x001 残余甲状腺大部切除术,
CM_0_1_4_2,CM-0-1-4-2,14,06.3900x003 单侧甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,15,06.3900x004 单侧甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,16,06.3900x011 腔镜下甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,17,06.3900x012 双侧甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,18,06.3900x013 双侧甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,19,06.3901 甲状腺大部切除术,
CM_0_1_4_2,CM-0-1-4-2,20,06.3902 腔镜下甲状腺大部切除术,
CM_0_1_4_2,CM-0-1-4-2,21,06.3903 异位甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,22,06.3904 甲状腺楔形切除术,
CM_0_1_4_2,CM-0-1-4-2,23,06.3905 甲状腺峡部切除术,
CM_0_1_4_2,CM-0-1-4-2,24,06.3906 甲状腺峡部部分切除术,
CM_0_1_4_2,CM-0-1-4-2,25,06.3907 腔镜下甲状腺峡部切除术,
CM_0_1_4_2,CM-0-1-4-2,26,06.3908 腔镜下甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,27,06.4x00 甲状腺全部切除术,
CM_0_1_4_2,CM-0-1-4-2,28,06.4x01 残余甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,29,06.4x02 腔镜下甲状腺全部切除术,
CM_0_1_4_2,CM-0-1-4-2,30,06.5000 胸骨下甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,31,06.5100 胸骨下甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,32,06.5100x001 腔镜下胸骨后甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,33,06.5100x002 腔镜下胸骨后甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,34,06.5101 胸骨后甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,35,06.5200 胸骨下甲状腺全部切除术,
CM_0_1_4_2,CM-0-1-4-2,36,80.6x00 膝半月软骨切除术,
CM_0_1_4_2,CM-0-1-4-2,37,80.6x00x002 膝半月板切除术,
CM_0_1_4_2,CM-0-1-4-2,38,80.6x00x010 膝关节镜下外侧半月板切除术,
CM_0_1_4_2,CM-0-1-4-2,39,80.6x00x011 膝关节镜下内侧半月板切除术,
CM_0_1_4_2,CM-0-1-4-2,40,80.6x01 膝内侧半月板切除术,
CM_0_1_4_2,CM-0-1-4-2,41,80.6x02 膝外侧半月板切除术,
CM_0_1_4_2,CM-0-1-4-2,42,80.6x03 膝半月板部分切除术,
CM_0_1_4_2,CM-0-1-4-2,43,80.6x04 膝盘状半月板切除术,
CM_0_1_4_2,CM-0-1-4-2,44,80.6x05 关节镜膝关节半月板切除术,
CM_0_1_4_2,CM-0-1-4-2,45,80.6x06 关节镜膝关节半月板部分切除术,
CM_0_1_4_2,CM-0-1-4-2,46,80.6x07 关节镜膝内侧半月板部分切除术,
CM_0_1_4_2,CM-0-1-4-2,47,80.6x08 关节镜膝外侧半月板部分切除术,
CM_0_1_4_2,CM-0-1-4-2,48,13.0000 去除晶状体异物,
CM_0_1_4_2,CM-0-1-4-2,49,13.0100 用磁吸法的去除晶状体异物,
CM_0_1_4_2,CM-0-1-4-2,50,13.0200 不使用磁吸法的去除晶状体异物,
CM_0_1_4_2,CM-0-1-4-2,51,13.0201 晶状体切开异物取出术,
CM_0_1_4_2,CM-0-1-4-2,52,13.1100 经颞下入路晶状体囊内摘出术,
CM_0_1_4_2,CM-0-1-4-2,53,13.1900 晶状体的其他囊内摘出术,
CM_0_1_4_2,CM-0-1-4-2,54,13.1900x006 白内障针吸术,
CM_0_1_4_2,CM-0-1-4-2,55,13.1900x007 晶状体囊内摘除术,
CM_0_1_4_2,CM-0-1-4-2,56,13.1900x008 膜性白内障剪除术,
CM_0_1_4_2,CM-0-1-4-2,57,13.1901 白内障囊内冷凝摘出术,
CM_0_1_4_2,CM-0-1-4-2,58,13.1902 白内障囊内摘除术,
CM_0_1_4_2,CM-0-1-4-2,59,13.2x00 晶状体囊外摘出术，用线形摘出法,
CM_0_1_4_2,CM-0-1-4-2,60,13.2x01 晶状体刮匙摘除术,
CM_0_1_4_2,CM-0-1-4-2,61,13.3x00 晶状体囊外摘出术，用单纯抽吸(和冲洗术)法,
CM_0_1_4_2,CM-0-1-4-2,62,13.3x00x001 晶状体单纯抽吸囊外摘除术,
CM_0_1_4_2,CM-0-1-4-2,63,13.3x01 创伤性白内障冲洗术,
CM_0_1_4_2,CM-0-1-4-2,64,13.4100 白内障晶状体乳化和抽吸,
CM_0_1_4_2,CM-0-1-4-2,65,13.4100x001 白内障超声乳化抽吸术,
CM_0_1_4_2,CM-0-1-4-2,66,13.4101 飞秒激光白内障超声乳化抽吸术,
CM_0_1_4_2,CM-0-1-4-2,67,13.4200 白内障晶状体机械性碎裂术和抽吸，用后入路,
CM_0_1_4_2,CM-0-1-4-2,68,13.4200x001 经后路白内障切割吸出术,
CM_0_1_4_2,CM-0-1-4-2,69,13.4300 白内障晶状体机械性碎裂术和其他抽吸,
CM_0_1_4_2,CM-0-1-4-2,70,13.4300x001 白内障切割吸出术,
CM_0_1_4_2,CM-0-1-4-2,71,13.5100 经颞下入路晶状体囊外摘出术,
CM_0_1_4_2,CM-0-1-4-2,72,13.5900 晶状体其他囊外摘出术,
CM_0_1_4_2,CM-0-1-4-2,73,13.5900x001 白内障囊外摘除术,
CM_0_1_4_2,CM-0-1-4-2,74,13.6400 后发膜刺开术[复发性白内障],
CM_0_1_4_2,CM-0-1-4-2,75,13.6400x001 后发性白内障切开术,
CM_0_1_4_2,CM-0-1-4-2,76,13.6500 后发膜切除术[复发性白内障],
CM_0_1_4_2,CM-0-1-4-2,77,13.6500x002 后发性白内障切除术,
CM_0_1_4_2,CM-0-1-4-2,78,13.6501 晶状体前囊膜切除术,
CM_0_1_4_2,CM-0-1-4-2,79,13.6502 晶状体后囊膜切除术,
CM_0_1_4_2,CM-0-1-4-2,80,13.6503 晶状体后囊膜激光切开术,
CM_0_1_4_2,CM-0-1-4-2,81,13.6600 后发膜机械性碎裂术[复发性白内障],
CM_0_1_4_2,CM-0-1-4-2,82,13.6900 其他白内障摘出术,
CM_0_1_4_2,CM-0-1-4-2,83,13.6900x002 激光后囊切开术[YAG],
CM_0_1_4_2,CM-0-1-4-2,84,13.6901 残留晶状体皮质切除术,
CM_0_1_4_2,CM-0-1-4-2,85,13.7000 置入人工晶状体,
CM_0_1_4_2,CM-0-1-4-2,86,13.7100 眼内人工晶状体置入伴白内障摘出术，一期,
