表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,D11.0 腮腺良性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,D33.2 脑未特指的良性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,c,D10.5 其他部位的口咽良性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,d,C07 腮腺恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,e,C71.9 未特指的脑恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,f,C10.2 口咽侧壁恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,D11.000 腮腺良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,b,D33.202 颅底良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,c,D10.500x001 口咽良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,d,C07.x00 腮腺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,e,C07.x00x003 副腮腺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,f,C71.900x006 颅底恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,g,C10.200 口咽侧壁恶性肿瘤,
CM_0_1_4_1,CM-0-1-4-1,a,26.29 涎腺病损的其他切除术,
CM_0_1_4_1,CM-0-1-4-1,b,26.31 部分涎腺切除术,
CM_0_1_4_1,CM-0-1-4-1,c,26.32 全部涎腺切除术,
CM_0_1_4_1,CM-0-1-4-1,d,04.42 其他颅神经减压术,
CM_0_1_4_1,CM-0-1-4-1,e,04.03 其他颅的和周围神经切断术或压轧术,
CM_0_1_4_1,CM-0-1-4-1,f,04.04 颅的和周围神经的其他切开术,
CM_0_1_4_1,CM-0-1-4-1,g,40.29 其他淋巴结构单纯性切除术,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,26.2901 腮腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,b,26.3100x008 腮腺深叶切除术,
CM_0_1_4_2,CM-0-1-4-2,c,26.3100x009 腮腺浅叶切除术,
CM_0_1_4_2,CM-0-1-4-2,d,26.3101 腮腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,e,26.3102 腮腺叶切除术,
