表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,a,A02.1 沙门菌脓毒病,
CM_0_1_3_1,CM-0-1-3-1,b,A22.7 炭疽性败血症,
CM_0_1_3_1,CM-0-1-3-1,c,A32.7 利斯特菌脓毒病,
CM_0_1_3_1,CM-0-1-3-1,d,A40.0 A族链球菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,e,A40.1 B族链球菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,f,A40.2 D族链球菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,g,A40.3 肺炎链球菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,h,A40.8 其他链球菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,i,A40.9 未特指的链球菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,j,A41.0 金黄色葡萄球菌性败血症,
CM_0_1_3_1,CM-0-1-3-1,k,A41.1 其他特指的葡萄球菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,l,A41.2 未特指的葡萄球菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,m,A41.3 流感嗜血杆菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,n,A41.4 厌氧菌性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,o,A41.5 其他革兰氏阴性病原体性脓毒病,
CM_0_1_3_1,CM-0-1-3-1,p,A41.8 其他特指的脓毒病,
CM_0_1_3_1,CM-0-1-3-1,q,A42.7 放线菌病性败血症,
CM_0_1_3_1,CM-0-1-3-1,r,A54.8 淋球菌性败血症,
CM_0_1_3_1,CM-0-1-3-1,s,B37.7 念珠菌性败血症,
CM_0_1_3_1,CM-0-1-3-1,t,A41.9 未特指的脓毒病(感染性休克),
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,A02.100 沙门菌败血症,
CM_0_1_3_2,CM-0-1-3-2,2,A02.100x002 鼠伤寒沙门菌败血症,
CM_0_1_3_2,CM-0-1-3-2,3,A02.100x004 沙门菌脓毒血症,
CM_0_1_3_2,CM-0-1-3-2,4,A02.101 猪霍乱沙门菌败血症,
CM_0_1_3_2,CM-0-1-3-2,5,A22.700 炭疽性败血症,
CM_0_1_3_2,CM-0-1-3-2,6,A32.700 利斯特菌败血症,
