表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,I21.0前壁急性透壁性心肌梗死,
CM_0_1_3_1,CM-0-1-3-1,b,I21.1下壁急性透壁性心肌梗死,
CM_0_1_3_1,CM-0-1-3-1,c,I21.2其他部位的急性透壁性心肌梗死,
CM_0_1_3_1,CM-0-1-3-1,d,I21.3未特指部位的急性透壁性心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,I21.000 前壁急性透壁性心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,2,I21.000x001 急性透壁前间壁心肌梗塞,
CM_0_1_3_2,CM-0-1-3-2,3,I21.000x002 急性透壁前侧壁心肌梗塞,
CM_0_1_3_2,CM-0-1-3-2,4,I21.000x003 急性透壁广泛前壁心肌梗塞,
CM_0_1_3_2,CM-0-1-3-2,5,I21.001 急性前壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,6,I21.002 急性前侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,7,I21.003 急性前间壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,8,I21.004 急性广泛前壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,9,I21.100下壁急性透壁性心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,10,I21.100x001 急性ST段抬高型下间壁心肌梗塞,
CM_0_1_3_2,CM-0-1-3-2,11,I21.100x002 急性下壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,12,I21.100x003 急性下侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,13,I21.103 急性下壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,14,I21.104 急性下间壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,15,I21.105 急性下侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,16,I21.106 急性下后壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,17,I21.200 急性透壁心肌梗死，其他部位的,
CM_0_1_3_2,CM-0-1-3-2,18,I21.200x003 急性后壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,19,I21.200x009 急性心房心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,20,I21.200x010 急性心尖部心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,21,I21.200x014 急性侧壁正后壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,22,I21.200x015 急性尖-侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,23,I21.200x016 急性下壁高侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,24,I21.200x017 急性下壁高侧壁正后壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,25,I21.200x018 急性下壁后壁右心室心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,26,I21.200x019 急性广泛前壁高侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,27,I21.200x020 急性前侧壁下壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,28,I21.200x021 急性前壁高侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,29,I21.200x022 急性前间壁高侧壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,30,I21.200x023 急性广泛前壁下壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,31,I21.200x024 急性前壁高侧壁下壁心肌梗死,
CM_0_1_3_2,CM-0-1-3-2,32,I21.200x025 急性广泛前壁下壁高侧壁心肌梗死,
