表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,I63.0 入脑前动脉血栓形成引起的脑梗死,
CM_0_1_3_1,CM-0-1-3-1,b,I63.1 入脑前动脉栓塞引起的脑梗死,
CM_0_1_3_1,CM-0-1-3-1,c,I63.2 入脑前动脉未特指的闭塞或狭窄引起的脑梗死,
CM_0_1_3_1,CM-0-1-3-1,d,I63.3 大脑动脉血栓形成引起的脑梗死,
CM_0_1_3_1,CM-0-1-3-1,e,I63.4 大脑动脉栓塞引起的脑梗死,
CM_0_1_3_1,CM-0-1-3-1,f,I63.5 大脑动脉未特指的闭塞或狭窄引起的脑梗死,
CM_0_1_3_1,CM-0-1-3-1,g,I63.6 大脑静脉血栓形成引起的脑梗死,
CM_0_1_3_1,CM-0-1-3-1,h,I63.8 其他脑梗死,
CM_0_1_3_1,CM-0-1-3-1,i,I63.9 未特指的脑梗死,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,I63.000入脑前动脉血栓形成引起的脑梗死,
CM_0_1_3_2,CM-0-1-3-2,2,I63.001 基底动脉血栓形成脑梗死,
CM_0_1_3_2,CM-0-1-3-2,3,I63.002 颈动脉血栓形成脑梗死,
CM_0_1_3_2,CM-0-1-3-2,4,I63.003 椎动脉血栓形成脑梗死,
CM_0_1_3_2,CM-0-1-3-2,5,I63.100入脑前动脉栓塞引起的脑梗死,
CM_0_1_3_2,CM-0-1-3-2,6,I63.101 基底动脉栓塞脑梗死,
CM_0_1_3_2,CM-0-1-3-2,7,I63.102 颈动脉栓塞脑梗死,
CM_0_1_3_2,CM-0-1-3-2,8,I63.103 椎动脉栓塞脑梗死,
CM_0_1_3_2,CM-0-1-3-2,9,I63.200 入脑前动脉的闭塞或狭窄引起的脑梗死,
CM_0_1_3_2,CM-0-1-3-2,10,I63.200x001入脑前动脉未特指的闭塞或狭窄引起的脑梗死,
CM_0_1_3_2,CM-0-1-3-2,11,I63.201 颈内动脉狭窄脑梗死,
CM_0_1_3_2,CM-0-1-3-2,12,I63.202 颈总动脉狭窄脑梗死,
CM_0_1_3_2,CM-0-1-3-2,13,I63.203 颈动脉狭窄脑梗死,
CM_0_1_3_2,CM-0-1-3-2,14,I63.204 颈动脉闭塞脑梗死,
CM_0_1_3_2,CM-0-1-3-2,15,I63.205 基底动脉闭塞脑梗死,
CM_0_1_3_2,CM-0-1-3-2,16,I63.206 基底动脉狭窄脑梗死,
CM_0_1_3_2,CM-0-1-3-2,17,I63.207 椎动脉闭塞脑梗死,
CM_0_1_3_2,CM-0-1-3-2,18,I63.208 椎动脉狭窄脑梗死,
