表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C73 甲状腺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,C73.x00甲状腺恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,c,C73.x00x003甲状腺多处恶性肿瘤,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,c,06.2 单侧甲状腺叶切除术,
CM_0_1_4_1,CM-0-1-4-1,d,06.3 其他甲状腺部分切除术,
CM_0_1_4_1,CM-0-1-4-1,e,06.4 甲状腺全部切除术,
CM_0_1_4_1,CM-0-1-4-1,h,06.5 胸骨下甲状腺切除术,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,4,06.2x00 单侧甲状腺叶切除术,
CM_0_1_4_2,CM-0-1-4-2,5,06.2x01 腔镜下单侧甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,6,06.2x02 单侧甲状腺切除伴甲状腺峡部切除术,
CM_0_1_4_2,CM-0-1-4-2,7,06.2x03 单侧甲状腺切除伴他叶部分切除术,
CM_0_1_4_2,CM-0-1-4-2,8,06.2x04 单侧甲状腺切除伴峡部和其他叶部分切除术,
CM_0_1_4_2,CM-0-1-4-2,9,06.3100 甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,10,06.3100x001 甲状腺病损射频消融术,
CM_0_1_4_2,CM-0-1-4-2,11,06.3101 腔镜下甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,12,06.3900x003 单侧甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,13,06.3900x004 单侧甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,14,06.3900x011 腔镜下甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,15,06.3900x012 双侧甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,16,06.3900x013 双侧甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,17,06.3901 甲状腺大部切除术,
CM_0_1_4_2,CM-0-1-4-2,18,06.3902 腔镜下甲状腺大部切除术,
CM_0_1_4_2,CM-0-1-4-2,19,06.4x00 甲状腺全部切除术,
CM_0_1_4_2,CM-0-1-4-2,20,06.4x02 腔镜下甲状腺全部切除术,
CM_0_1_4_2,CM-0-1-4-2,30,06.5000 胸骨下甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,31,06.5100 胸骨下甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,32,06.5100x001 腔镜下胸骨后甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,33,06.5100x002 腔镜下胸骨后甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,34,06.5101 胸骨后甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,35,06.5200 胸骨下甲状腺全部切除术,
CM_0_1_4_2,CM-0-1-4-2,oth,其他,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
