表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,G45.0 椎基底动脉综合征,
CM_0_1_3_1,CM-0-1-3-1,b,G45.1 颈动脉综合征（大脑半球的）,
CM_0_1_3_1,CM-0-1-3-1,c,G45.2 多发性和双侧入脑前动脉综合征,
CM_0_1_3_1,CM-0-1-3-1,d,G45.3 一过性黑朦,
CM_0_1_3_1,CM-0-1-3-1,e,G45.4 短暂性完全性遗忘,
CM_0_1_3_1,CM-0-1-3-1,f,G45.8 其他短暂性大脑缺血性发作和相关的综合征,
CM_0_1_3_1,CM-0-1-3-1,g,G45.9 未特指的短暂性大脑缺血性发作,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,G45.000 椎基底动脉综合征,
CM_0_1_3_2,CM-0-1-3-2,b,G45.001 基底动脉尖综合征,
CM_0_1_3_2,CM-0-1-3-2,c,G45.002 椎-基底动脉供血不足,
CM_0_1_3_2,CM-0-1-3-2,d,G45.003 椎-基底动脉盗血综合征,
CM_0_1_3_2,CM-0-1-3-2,f,G45.100 颈动脉综合征,
CM_0_1_3_2,CM-0-1-3-2,g,G45.100x002 颈内动脉缺血,
CM_0_1_3_2,CM-0-1-3-2,h,G45.101 颈内动脉供血不足,
CM_0_1_3_2,CM-0-1-3-2,i,G45.102 颈动脉闭塞综合征,
CM_0_1_3_2,CM-0-1-3-2,j,G45.200多发性和双侧入脑前动脉综合征,
CM_0_1_3_2,CM-0-1-3-2,k,G45.300 一过性黑朦,
CM_0_1_3_2,CM-0-1-3-2,l,G45.400 短暂性完全性遗忘,
CM_0_1_3_2,CM-0-1-3-2,m,G45.800 短暂性大脑缺血性发作和相关的综合征，其他的,
CM_0_1_3_2,CM-0-1-3-2,n,G45.800x002 无名动脉盗血综合征,
CM_0_1_3_2,CM-0-1-3-2,o,G45.800x003 锁骨下盗血综合征伴锁骨下动脉闭塞,
CM_0_1_3_2,CM-0-1-3-2,p,G45.800x004 锁骨下盗血综合征伴锁骨下动脉狭窄,
CM_0_1_3_2,CM-0-1-3-2,q,G45.801 锁骨下动脉盗血综合征,
CM_0_1_3_2,CM-0-1-3-2,r,G45.802 脑血管供血不足伴短暂性局灶性神经症状,
CM_0_1_3_2,CM-0-1-3-2,s,G45.900 短暂性大脑缺血性发作,
CM_0_1_3_2,CM-0-1-3-2,t,G45.900x001 短暂性脑缺血发作,
CM_0_1_3_2,CM-0-1-3-2,u,G45.901 脑动脉痉挛,
CM_0_1_5,CM-0-1-5,y,是,
CM_0_1_5,CM-0-1-5,n,否,
CM_0_2_1_2,CM-0-2-1-2,M,男,
CM_0_2_1_2,CM-0-2-1-2,F,女,
CM_0_2_2_1,CM-0-2-2-1,UTD,无法确定或无记录,
CM_0_2_3_1,CM-0-2-3-1,UTD,无法确定或无记录,
