表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,D34 甲状腺良性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,E04.0 非毒性弥漫性甲状腺肿,
CM_0_1_3_1,CM-0-1-3-1,c,E04.1 非毒性单个甲状腺结节,
CM_0_1_3_1,CM-0-1-3-1,d,E04.2 非毒性多结节性甲状腺肿,
CM_0_1_3_1,CM-0-1-3-1,e,E04.9 结节性甲状腺肿,
CM_0_1_3_1,CM-0-1-3-1,oth,其他,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,D34.x00 甲状腺良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,b,D34.x00x003 胸骨后甲状腺良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,c,D34.x00x005 异位甲状腺良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,d,D34.x01 甲状舌管良性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,e,E04.000 非毒性弥漫性甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,f,E04.001 单纯性甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,g,E04.100 非毒性单个甲状腺结节,
CM_0_1_3_2,CM-0-1-3-2,h,E04.100x005 非毒性单结节性甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,i,E04.101 甲状腺结节,
CM_0_1_3_2,CM-0-1-3-2,j,E04.102 甲状腺囊肿,
CM_0_1_3_2,CM-0-1-3-2,k,E04.103 胸骨后甲状腺囊肿,
CM_0_1_3_2,CM-0-1-3-2,l,E04.104 胶性结节甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,m,E04.200 非毒性多结节性甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,n,E04.200x001 囊性甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,o,E04.200x003 非毒性多个甲状腺结节,
CM_0_1_3_2,CM-0-1-3-2,p,E04.201 甲状腺肿伴囊性变,
CM_0_1_3_2,CM-0-1-3-2,q,E04.901 胸骨后甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,r,E04.902 结节性甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,s,E04.903 胸骨后结节性甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,t,E04.904 锁骨下甲状腺肿,
CM_0_1_3_2,CM-0-1-3-2,oth,其他,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,b,06.2 单侧甲状腺叶切除术,
CM_0_1_4_1,CM-0-1-4-1,c,06.31 甲状腺病损切除术,
CM_0_1_4_1,CM-0-1-4-1,d,06.39 其他部分甲状腺切除术,
CM_0_1_4_1,CM-0-1-4-1,e,06.4 甲状腺全部切除术,
CM_0_1_4_1,CM-0-1-4-1,f,06.5 胸骨下甲状腺切除术,
CM_0_1_4_1,CM-0-1-4-1,oth,其他,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,3,06.2x00 单侧甲状腺叶切除术,
CM_0_1_4_2,CM-0-1-4-2,4,06.2x01 腔镜下单侧甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,5,06.2x02 单侧甲状腺切除伴甲状腺峡部切除术,
CM_0_1_4_2,CM-0-1-4-2,6,06.2x03 单侧甲状腺切除伴他叶部分切除术,
CM_0_1_4_2,CM-0-1-4-2,7,06.2x04 单侧甲状腺切除伴峡部和其他叶部分切除术,
CM_0_1_4_2,CM-0-1-4-2,8,06.3100 甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,9,06.3100x001 甲状腺病损射频消融术,
CM_0_1_4_2,CM-0-1-4-2,10,06.3101 腔镜下甲状腺病损切除术,
CM_0_1_4_2,CM-0-1-4-2,11,06.3900 其他部分甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,12,06.3900x001 残余甲状腺大部切除术,
CM_0_1_4_2,CM-0-1-4-2,13,06.3900x003 单侧甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,14,06.3900x004 单侧甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,15,06.3900x011 腔镜下甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,16,06.3900x012 双侧甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,17,06.3900x013 双侧甲状腺次全切除术,
CM_0_1_4_2,CM-0-1-4-2,18,06.3901 甲状腺大部切除术,
CM_0_1_4_2,CM-0-1-4-2,19,06.3902 腔镜下甲状腺大部切除术,
CM_0_1_4_2,CM-0-1-4-2,20,06.3903 异位甲状腺切除术,
CM_0_1_4_2,CM-0-1-4-2,21,06.3904 甲状腺楔形切除术,
CM_0_1_4_2,CM-0-1-4-2,22,06.3905 甲状腺峡部切除术,
CM_0_1_4_2,CM-0-1-4-2,23,06.3906 甲状腺峡部部分切除术,
CM_0_1_4_2,CM-0-1-4-2,24,06.3907 腔镜下甲状腺峡部切除术,
CM_0_1_4_2,CM-0-1-4-2,25,06.3908 腔镜下甲状腺部分切除术,
CM_0_1_4_2,CM-0-1-4-2,26,06.4x00 甲状腺全部切除术,
