表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,C01.x 舌根恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,b,C02.0 舌背面恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,c,C02.1 舌缘恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,d,C02.2 舌腹面恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,e,C02.3 舌前三分之二部位未特指的恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,f,C02.4 舌扁桃体恶性肿瘤,
CM_0_1_3_1,CM-0-1-3-1,g,C02.8 舌交搭跨越恶性肿瘤的损害,
CM_0_1_3_1,CM-0-1-3-1,h,C02.9 未特指的舌恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,C01.x00 舌根恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,b,C01.x00x003 舌后三分之一恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,c,C01.x01 舌根背面恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,d,C02.000 舌背面恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,e,C02.000x002 舌前三分之二背面恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,f,C02.100 舌缘恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,g,C02.100x001 舌尖及侧缘的恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,h,C02.101 舌尖恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,i,C02.200 舌腹面恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,j,C02.200x002 舌前三分之二腹面恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,k,C02.201 舌系带恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,l,C02.300 舌前三分之二部位的恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,m,C02.300x002 舌中三分之一恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,n,C02.300x003 舌活动部分恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,o,C02.300x011 舌前三分之二恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,p,C02.400 舌扁桃体恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,q,C02.800 舌交搭跨越恶性肿瘤的损害,
CM_0_1_3_2,CM-0-1-3-2,r,C02.900 舌恶性肿瘤,
CM_0_1_3_2,CM-0-1-3-2,s,C02.900x002 舌多处恶性肿瘤,
CM_0_1_4_1,CM-0-1-4-1,a,25.1 舌病损或组织切除术或破坏术,
CM_0_1_4_1,CM-0-1-4-1,b,25.2 舌部分切除术,
CM_0_1_4_1,CM-0-1-4-1,c,25.3 舌全部切除术,
CM_0_1_4_1,CM-0-1-4-1,d,25.4 根治性舌切除术,
CM_0_1_4_1,CM-0-1-4-1,e,40.4 颈淋巴结根治性切除术,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,a,25.1x00 舌病损或组织切除术或破坏术,
CM_0_1_4_2,CM-0-1-4-2,b,25.1x01 舌病损切除术,
CM_0_1_4_2,CM-0-1-4-2,c,25.1x02 舌病损破坏术,
