表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,D25.0子宫粘膜下平滑肌瘤,
CM_0_1_3_1,CM-0-1-3-1,b,D25.1子宫壁内平滑肌瘤,
CM_0_1_3_1,CM-0-1-3-1,c,D25.2子宫浆膜下层平滑肌瘤,
CM_0_1_3_1,CM-0-1-3-1,d,D25.9未特指的子宫平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,a,D25.000子宫黏膜下平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,b,D25.000x001子宫粘膜下平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,c,D25.000x002子宫颈粘膜下平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,d,D25.100子宫壁内平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,e,D25.100x001子宫肌壁间平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,f,D25.100x002子宫颈壁内平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,g,D25.200子宫浆膜下层平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,h,D25.200x001子宫浆膜下平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,i,D25.200x002阔韧带平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,j,D25.900子宫平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,k,D25.900x001子宫多发性平滑肌瘤,
CM_0_1_3_2,CM-0-1-3-2,l,D25.901宫颈平滑肌瘤,
CM_0_1_4_1,CM-0-1-4-1,def,请选择,
CM_0_1_4_1,CM-0-1-4-1,a,68.29子宫病损的其他切除术或破坏术,
CM_0_1_4_1,CM-0-1-4-1,b,68.31腹腔镜子宫颈上子宫切除术[LSH],
CM_0_1_4_1,CM-0-1-4-1,c,68.39其他和未特指的腹部次全子宫切除术,
CM_0_1_4_1,CM-0-1-4-1,d,68.41腹腔镜经腹全子宫切除术,
CM_0_1_4_1,CM-0-1-4-1,e,68.49其他和未特指的腹式全子宫切除术,
CM_0_1_4_1,CM-0-1-4-1,f,68.51腹腔镜辅助阴道子宫切除术(LAVH),
CM_0_1_4_1,CM-0-1-4-1,g,68.59其他和未特指的阴道子宫切除术,
CM_0_1_4_1,CM-0-1-4-1,h,68.9其他和未特指子宫切除术,
CM_0_1_4_2,CM-0-1-4-2,def,请选择,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,1,68.2900子宫病损的其他切除术或破坏术,
CM_0_1_4_2,CM-0-1-4-2,2,68.2900x013腹腔镜下子宫断蒂止血术,
CM_0_1_4_2,CM-0-1-4-2,3,68.2900x028子宫病损烧灼术,
CM_0_1_4_2,CM-0-1-4-2,4,68.2900x031子宫病损电凝术,
CM_0_1_4_2,CM-0-1-4-2,5,68.2900x035子宫角部分切除术,
CM_0_1_4_2,CM-0-1-4-2,6,68.2900x037子宫角楔形切除术,
CM_0_1_4_2,CM-0-1-4-2,7,68.2900x038子宫内膜病损烧灼术,
CM_0_1_4_2,CM-0-1-4-2,8,68.2900x048宫腔镜下子宫电凝止血术,
CM_0_1_4_2,CM-0-1-4-2,9,68.2901子宫肌瘤切除术,
CM_0_1_4_2,CM-0-1-4-2,10,68.2902子宫内膜病损破坏术,
CM_0_1_4_2,CM-0-1-4-2,11,68.2903子宫内膜病损切除术,
CM_0_1_4_2,CM-0-1-4-2,12,68.2904子宫病损破坏术,
CM_0_1_4_2,CM-0-1-4-2,13,68.2905子宫病损射频消融术,
CM_0_1_4_2,CM-0-1-4-2,14,68.2906子宫病损切除术,
CM_0_1_4_2,CM-0-1-4-2,15,68.2907经阴道子宫病损切除术,
CM_0_1_4_2,CM-0-1-4-2,16,68.2908腹腔镜子宫内膜病损烧灼术,
CM_0_1_4_2,CM-0-1-4-2,17,68.2909腹腔镜子宫病损电凝术,
CM_0_1_4_2,CM-0-1-4-2,18,68.2910腹腔镜子宫病损射频消融术,
CM_0_1_4_2,CM-0-1-4-2,19,68.2911腹腔镜子宫病损激光切除术,
CM_0_1_4_2,CM-0-1-4-2,20,68.2912腹腔镜子宫病损切除术,
CM_0_1_4_2,CM-0-1-4-2,21,68.2913宫腔镜子宫病损电切术,
CM_0_1_4_2,CM-0-1-4-2,22,68.2914宫腔镜子宫病损射频消融术,
CM_0_1_4_2,CM-0-1-4-2,23,68.2915宫腔镜子宫内膜病损切除术,
CM_0_1_4_2,CM-0-1-4-2,24,68.2916宫腔镜子宫内膜成形术,
CM_0_1_4_2,CM-0-1-4-2,25,68.2917宫腔镜子宫病损切除术,
CM_0_1_4_2,CM-0-1-4-2,26,68.2918腹腔镜辅助经阴道子宫病损切除术,
CM_0_1_4_2,CM-0-1-4-2,27,68.3100腹腔镜子宫颈上子宫切除术[LSH],
CM_0_1_4_2,CM-0-1-4-2,28,68.3100x002筋膜内子宫切除术[CISH手术],
CM_0_1_4_2,CM-0-1-4-2,29,68.3101标准子宫筋膜内子宫切除术,
CM_0_1_4_2,CM-0-1-4-2,30,68.3102腹腔镜子宫次全切除术,
CM_0_1_4_2,CM-0-1-4-2,31,68.3103腹腔镜子宫楔形切除术,
CM_0_1_4_2,CM-0-1-4-2,32,68.3104腹腔镜残角子宫切除术,
CM_0_1_4_2,CM-0-1-4-2,33,68.3105腹腔镜双子宫单侧切除术,
CM_0_1_4_2,CM-0-1-4-2,34,68.3106腹腔镜辅助子宫颈上子宫切除术,
CM_0_1_4_2,CM-0-1-4-2,35,68.3900其他和未特指的腹部次全子宫切除术,
CM_0_1_4_2,CM-0-1-4-2,36,68.3900x003子宫颈上子宫切除术,
CM_0_1_4_2,CM-0-1-4-2,37,68.3901子宫次全切除术,
CM_0_1_4_2,CM-0-1-4-2,38,68.3902子宫部分切除术,
