表代号,表名,选择字母,内容,
VTE_0_1_2,VTE-0-1-2,a,重症医学科 (各类ICU),
VTE_0_1_2,VTE-0-1-2,b,肿瘤科 (化疗、放疗等非手术治疗),
VTE_0_1_2,VTE-0-1-2,c,内科 (中高风险患者),
VTE_0_1_2,VTE-0-1-2,d,产科（高危孕产妇),
VTE_0_1_2,VTE-0-1-2,oth,其他临床科室的其他中高风险患者,
VTE_0_1_2,VTE-0-1-2,f,医师认为需VTE评估的其他中高风险患者,
VTE_0_1_1,VTE-0-1-1,def,请选择,
VTE_0_1_1,VTE-0-1-1,a,高龄（≥70岁）,
VTE_0_1_1,VTE-0-1-1,b,既往VTE病史或VTE家族史,
VTE_0_1_1,VTE-0-1-1,s,C00-C97 恶性肿瘤住院接受化疗、放疗等非手术治疗的患者,
VTE_0_1_1,VTE-0-1-1,e,严重创伤,
VTE_0_1_1,VTE-0-1-1,d,脓毒症,
VTE_0_1_1,VTE-0-1-1,f,急性生理和慢性健康评分⁃Ⅱ（APACHE⁃Ⅱ）＞12分,
VTE_0_1_1,VTE-0-1-1,g,急诊手术及麻醉复苏室转入,
VTE_0_1_1,VTE-0-1-1,h,转入ICU前住院时间长（&gt;30天）,
VTE_0_1_1,VTE-0-1-1,i,制动,
VTE_0_1_1,VTE-0-1-1,j,机械通气,
VTE_0_1_1,VTE-0-1-1,k,留置中心静脉导管,
VTE_0_1_1,VTE-0-1-1,l,血液净化治疗,
VTE_0_1_1,VTE-0-1-1,m,使用肌肉松弛和镇静药物,
VTE_0_1_1,VTE-0-1-1,n,应用收缩血管药物,
VTE_0_1_1,VTE-0-1-1,o,输注血小板,
VTE_0_1_1,VTE-0-1-1,p,血栓预防失败,
VTE_0_1_1,VTE-0-1-1,q,高危孕产妇,
VTE_0_1_1,VTE-0-1-1,r,医师认为需评估的其他中高风险患者,
VTE_0_1_1_c,VTE-0-1-1-c,def,请选择,
VTE_0_1_1_c,VTE-0-1-1-c,a,C00-C97恶性肿瘤住院接受病损或组织手术切除治疗的患者,
VTE_0_1_1_c,VTE-0-1-1-c,b,C00-C97恶性肿瘤住院接受根治性巴结清扫术的患者,
