序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,,,,
0,,,,,,,,,,,,,,,,
1,VTE-0-1-2,适用临床科室患者凡符合下列条件者，应首先进行VTE风险评估,"(注：VTE范围的手术患者不在此上报范围，请按手术名称填报""围手术期预防深靜栓塞（DVT))",数组,是,"例:[""a"",""b""]",见,VTE-0-1-2选择代码表,,,,,,,,
2,VTE-0-1-2-1,其他临床科室的其他中高风险患者的科室名称,字符串,参考备注,"例:""填写文字说明""",适用临床科室患者凡符合下列条件者，应首先进行VTE风险评估,"(注：VTE范围的手术患者不在此上报范围，请按手术名称填报""围手术期预防深靜栓塞（DVT))(VTE-0-1-2)等于""其他临床科室的其他中高风险患者""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过50个文字说明,,,,,,,
3,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
4,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
5,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
6,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
7,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
8,caseId,患者病案号,字符串,是,"例:""填写文字说明""",,,,,,,,,,,
9,IDCard,患者身份证号,字符串,是,"例:""填写文字说明""",身份证号不正确,,,,,,,,,,
10,VTE-0-1-1,中高风险患者和入住ICU的患者的主要风险项选择,字符串,是,"例:""a""",见,VTE-0-1-1选择代码表,,,,,,,,,
11,VTE-0-1-1-c,恶性肿瘤ICD-10类目编码,字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""C00-C97 恶性肿瘤住院接受化疗、放疗等非手术治疗的患者""(s)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-c选择代码表,,,,,,,
12,VTE-0-1-1-d,脓毒症ICD-10亚目编码,字符串,参考备注,"例:""d""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""脓毒症""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-d选择代码表,,,,,,,
13,VTE-0-1-1-e,严重创伤 (累及身体多个部位损伤),字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""严重创伤""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-e选择代码表,,,,,,,
14,VTE-0-1-1-i,制动选择,字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""制动""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-i选择代码表,,,,,,,
15,VTE-0-1-1-j,机械通气ICD-9-CM-3亚目编码,字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""机械通气""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-j选择代码表,,,,,,,
16,VTE-0-1-1-k,留置中心静脉导管ICD-9-CM-3亚目编码,字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""留置中心静脉导管""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-k选择代码表,,,,,,,
17,VTE-0-1-1-l,血液净化治疗ICD-9-CM-3亚目编码,字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""血液净化治疗""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-l选择代码表,,,,,,,
18,VTE-0-1-1-m,使用肌肉松弛和镇静药物选择,字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""使用肌肉松弛和镇静药物""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-m选择代码表,,,,,,,
19,VTE-0-1-1-n,应用收缩血管药物选择,字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""应用收缩血管药物""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-n选择代码表,,,,,,,
20,VTE-0-1-1-q,医师认为需评估的其他中高风险患者--高危孕产妇记录,字符串,参考备注,"例:""a""","中高风险患者和入住ICU的患者的主要风险项选择(VTE-0-1-1)等于""高危孕产妇""(q)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-0-1-1-q选择代码表,,,,,,,
21,VTE-0-1-3,出院时主要诊断ICD-10编码及名称,字符串,是,"例:""填写文字说明""",文本长度不能超过30个字说明,,,,,,,,,,
22,VTE-0-1-4,出院时其他诊断ICD-10编码及名称,字符串,否,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,,,,,,,,
23,VTE-0-1-5,出院时主要手术及操作ICD-9-CM-3编码及名称,字符串,否,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,,,,,,,,
24,VTE-0-1-6,出院时其他手术及操作ICD-9-CM-3编码及名称,字符串,否,"例:""填写文字说明""",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,,,,,,,,
25,CM-0-1-5,是否出院后31天内重复住院,字符串,是,"例:""y""",见,CM-0-1-5选择代码表,,,,,,,,,
26,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,,,,,,,
27,CM-0-2-1-2,患者性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,,,,,,,
28,CM-0-2-1-3,患者体重（kg）,数值,是,例:10,患者体重应大于等于0,,,,,,,,,,
29,CM-0-2-1-5,患者身高（cm）,数值,是,例:10,患者身高应大于等于0,,,,,,,,,,
30,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,,,,,,,
31,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,,,,,,,
32,CM-0-2-5-1,入住ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,,,
33,CM-0-2-5-2,离开ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,,,,,,
34,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术开始日期时间应大于入院日期时间,,,,,,,,,
35,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,,,,,,
36,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,,,,,,
37,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,,,,,,
38,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,,,,,,
39,VTE-1-1-1,实施血栓风险因素评估工具选择,字符串,是,"例:""a""",见,VTE-1-1-1选择代码表,,,,,,,,,
40,VTE-1-1-2,Caprini评估分值,数值,参考备注,例:10,"实施血栓风险因素评估工具选择(VTE-1-1-1)等于""手术患者静脉血栓栓塞症风险评估表（Caprini评分表）""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,Caprini评估分值填写值应大于等于0,,,,,,,,
41,VTE-1-1-3,风险分层,字符串,否,"例:""a""","实施血栓风险因素评估工具选择(VTE-1-1-1)等于""手术患者静脉血栓栓塞症风险评估表（Caprini评分表）""(a)时可填写;",见,VTE-1-1-3选择代码表,,,,,,,,
42,VTE-1-1-4,Padua评分分值,数值,参考备注,例:10,"实施血栓风险因素评估工具选择(VTE-1-1-1)等于""内科住院患者静脉血栓栓塞症风险评估表（Padua评分表）""(b)时可填写;",若该字段无相应取值，则接口中不必提交该字段,Padua评分分值填写值应大于等于0,,,,,,,,
43,VTE-1-1-5,风险分层,字符串,否,"例:""a""","实施血栓风险因素评估工具选择(VTE-1-1-1)等于""内科住院患者静脉血栓栓塞症风险评估表（Padua评分表）""(b)时可填写;",见,VTE-1-1-5选择代码表,,,,,,,,
44,VTE-1-2-1,呼吸(次/分),数值,是,例:10,呼吸填写值范围(10~40);,呼吸填写值范围(10~40),,,,,,,,,
45,VTE-1-2-2,脉搏(次/分),数值,是,例:10,脉搏填写值范围(30~200);,脉搏填写值范围(30~200),,,,,,,,,
46,VTE-1-2-3,收缩压(mmHg),数值,是,例:10,收缩压填写值范围(40~300);,收缩压填写值范围(40~300),,,,,,,,,
47,VTE-1-2-4,舒张压(mmHg),数值,是,例:10,舒张压填写值范围(30~200);,舒张压填写值范围(30~200),,,,,,,,,
48,VTE-2-1-1,是否实施下肢静脉血管多普勒超声检查评估,字符串,是,"例:""y""",见,VTE-2-1-1选择代码表,,,,,,,,,
49,VTE-2-1-2,实施多普勒超声检查评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施下肢静脉血管多普勒超声检查评估(VTE-2-1-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,实施多普勒超声检查评估日期时间应小于出院日期时间,,,,,,,,
50,VTE-2-1-3,有无多普勒超声检查阳性发现,字符串,参考备注,"例:""y""","是否实施下肢静脉血管多普勒超声检查评估(VTE-2-1-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-1-3选择代码表,,,,,,,
51,VTE-2-2-1,实施D⁃二聚体检测评估,字符串,是,"例:""y""",见,VTE-2-2-1选择代码表,,,,,,,,,
52,VTE-2-2-2,D⁃二聚体检测评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","实施D⁃二聚体检测评估(VTE-2-2-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,D⁃二聚体检测评估日期时间应小于出院日期时间,,,,,,,,
53,VTE-2-2-3,D⁃二聚体检测值(μg／L),数值,参考备注,例:10,"实施D⁃二聚体检测评估(VTE-2-2-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,D⁃二聚体检测值应大于等于0,,,,,,,,
54,VTE-2-2-4,D⁃二聚体检测评估结论,字符串,参考备注,"例:""a""","实施D⁃二聚体检测评估(VTE-2-2-1)等于""实施""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-2-4选择代码表,,,,,,,
55,VTE-2-2-5,是否实施氧合评估,字符串,参考备注,"例:""y""","实施D⁃二聚体检测评估(VTE-2-2-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-2-5选择代码表,,,,,,,
56,VTE-2-2-6,氧合评估,字符串,参考备注,"例:""a""","是否实施氧合评估(VTE-2-2-5)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-2-6选择代码表,,,,,,,
57,VTE-2-2-6-1,动脉血气分析值(mmHg),数值,参考备注,例:10,"氧合评估(VTE-2-2-6)等于""动脉血气分析（PaO₂）""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,动脉血气分析值填写范围(0~150);,动脉血气分析值填写范围(0~150),,,,,,,
58,VTE-2-2-6-2,指氧仪检查值(%),数值,参考备注,例:10,"氧合评估(VTE-2-2-6)等于""指氧仪检查（SatO₂）""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,指氧仪检查值填写范围(0~100);,指氧仪检查值填写范围(0~100),,,,,,,
59,VTE-2-2-7,是否实施心脏生物学标志物检测,字符串,参考备注,"例:""y""","实施D⁃二聚体检测评估(VTE-2-2-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-2-7选择代码表,,,,,,,
60,VTE-2-2-8,心脏生物学标志物检测项目,数组,参考备注,"例:[""a"",""b""]","是否实施心脏生物学标志物检测(VTE-2-2-7)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-2-8选择代码表,,,,,,,
61,VTE-2-2-8-1,肌钙蛋白T（TnT）检测值,数值,参考备注,例:10,"心脏生物学标志物检测项目(VTE-2-2-8)等于""肌钙蛋白T（TnT）""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,肌钙蛋白T（TnT）检测值填写范围应大于等于0,,,,,,,,
62,VTE-2-2-8-2,肌钙蛋白I（TnI）检测值,数值,参考备注,例:10,"心脏生物学标志物检测项目(VTE-2-2-8)等于""肌钙蛋白I（TnI）""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,肌钙蛋白I（TnI）检测值填写范围应大于等于0,,,,,,,,
63,VTE-2-2-8-3,肌酸激酶同工酶（CK-MB）检测值,数值,参考备注,例:10,"心脏生物学标志物检测项目(VTE-2-2-8)等于""肌酸激酶同工酶（CK-MB）""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,肌酸激酶同工酶（CK-MB）检测值填写范围应大于等于0,,,,,,,,
64,VTE-2-2-8-4,心肌肌红蛋白（Myo）检测值,数值,参考备注,例:10,"心脏生物学标志物检测项目(VTE-2-2-8)等于""心肌肌红蛋白（Myo）""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,心肌肌红蛋白（Myo）检测值填写范围应大于等于0,,,,,,,,
65,VTE-2-2-8-5,B型钠尿肽（BNP）检测值,数值,参考备注,例:10,"心脏生物学标志物检测项目(VTE-2-2-8)等于""B型钠尿肽（BNP）""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,B型钠尿肽（BNP）检测值填写范围应大于等于0,,,,,,,,
