表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,def,请选择,
CM_0_1_3_1,CM-0-1-3-1,a,I60.0颈动脉弯管和杈的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,b,I60.1大脑中动脉的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,c,I60.2前交通动脉的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,d,I60.3后交通动脉的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,e,I60.4基底动脉的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,f,I60.5椎动脉的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,g,I60.6其他颅内动脉的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,h,I60.7未特指颅内动脉的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,i,I60.8其他的蛛网膜下出血,
CM_0_1_3_1,CM-0-1-3-1,j,I60.9未特指的蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,def,请选择,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,I60.000 颈动脉弯管和杈的蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,2,I60.000x001 颈内动脉虹吸弯和分叉部蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,3,I60.000x002 颈内动脉分叉段动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,4,I60.000x003 颈内动脉眼动脉段动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,5,I60.000x004 脉络膜前动脉动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,6,I60.000x005 垂体上动脉动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,7,I60.000x006 颈内动脉海绵窦段动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,8,I60.000x007 颈内动脉床突段动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,9,I60.000x008 颈内动脉背侧动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,10,I60.000x011 颈动脉动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,11,I60.001 颈动脉动脉瘤破裂伴蛛网膜下隙出血,
CM_0_1_3_2,CM-0-1-3-2,12,I60.100 大脑中动脉的蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,13,I60.101 大脑中动脉瘤破裂伴蛛网膜下隙出血,
CM_0_1_3_2,CM-0-1-3-2,14,I60.200 前交通动脉的蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,15,I60.200x002 大脑前-前交通动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,16,I60.200x003 大脑前动脉近侧段(A1)动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,17,I60.200x005 大脑前动脉远侧段(A2-A5)动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,18,I60.200x007 胼胝体动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,19,I60.201 前交通动脉瘤破裂伴蛛网膜下隙出血,
CM_0_1_3_2,CM-0-1-3-2,20,I60.300 后交通动脉的蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,21,I60.301 后交通动脉瘤破裂伴蛛网膜下隙出血,
CM_0_1_3_2,CM-0-1-3-2,22,I60.400 基底动脉的蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,23,I60.400x002 椎动脉与基底动脉结合部动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,24,I60.400x003 基底动脉顶端动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,25,I60.400x004 基底动脉干动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,26,I60.400x011 基底动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,27,I60.400x012 基底动脉蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,28,I60.400x013 小脑前下动脉动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,29,I60.401 基底动脉瘤破裂伴蛛网膜下隙出血,
CM_0_1_3_2,CM-0-1-3-2,30,I60.500 椎动脉的蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,31,I60.500x003 椎动脉动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,32,I60.500x004 脊髓前动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,33,I60.600 颅内动脉的蛛网膜下出血，其他的,
CM_0_1_3_2,CM-0-1-3-2,34,I60.600x001 大脑后动脉动脉瘤伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,35,I60.600x003 小脑前下动脉瘤伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,36,I60.600x004 小脑上动脉动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,37,I60.600x005 迷路动脉动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,38,I60.600x006 多发颅内动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,39,I60.600x007 颅内镜像动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,40,I60.600x008 脑干前非动脉瘤出血[中脑周围非动脉瘤性出血],
CM_0_1_3_2,CM-0-1-3-2,41,I60.601 小脑后下动脉动脉瘤破裂伴蛛网膜下隙出血,
CM_0_1_3_2,CM-0-1-3-2,42,I60.700 颅内动脉的蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,43,I60.700x001 颅内动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,44,I60.701 颅内动脉瘤破裂伴蛛网膜下隙出血,
CM_0_1_3_2,CM-0-1-3-2,45,I60.800 蛛网膜下出血，其他的,
CM_0_1_3_2,CM-0-1-3-2,46,I60.800x002 脑动脉畸形伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,47,I60.800x003 脑静脉畸形伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,48,I60.800x004 脑海绵状血管畸形伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,49,I60.800x005 脑干海绵状血管畸形伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,50,I60.800x006 小脑幕下海绵状血管畸形伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,51,I60.800x008 硬脑膜动静脉瘘伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,52,I60.800x010 脑动脉夹层伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,53,I60.800x013 脊髓动静脉畸形伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,54,I60.800x014 脊髓髓周动静脉瘘伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,55,I60.800x015 颅脑肿瘤伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,56,I60.801 脑动静脉畸形破裂伴蛛网膜下隙出血,
CM_0_1_3_2,CM-0-1-3-2,57,I60.802 脑膜出血,
CM_0_1_3_2,CM-0-1-3-2,58,I60.900 蛛网膜下出血,
CM_0_1_3_2,CM-0-1-3-2,59,I60.900x003 脑动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,60,I60.900x004 脑实质出血继发蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,61,I60.900x005 感染性颅内动脉瘤破裂伴蛛网膜下腔出血,
CM_0_1_3_2,CM-0-1-3-2,62,I60.901 脑动脉瘤破裂,
CM_0_1_3_2,CM-0-1-3-2,63,I60.902+H45.0* 眼-脑综合征,
CM_0_1_4_1,CM-0-1-4-1,a,01.39脑的其他切开术,
CM_0_1_4_1,CM-0-1-4-1,b,02.21脑室外引流[EVD]装置置入或置换,
CM_0_1_4_1,CM-0-1-4-1,c,02.22颅内脑室脑分流或吻合术,
CM_0_1_4_1,CM-0-1-4-1,d,02.31脑室分流术至头和颈部结构,
CM_0_1_4_1,CM-0-1-4-1,e,02.32脑室分流至循环系统,
CM_0_1_4_1,CM-0-1-4-1,f,02.33脑室分流至胸腔,
CM_0_1_4_1,CM-0-1-4-1,g,02.34脑室分流术至腹腔和腹部器官,
CM_0_1_4_1,CM-0-1-4-1,h,02.35脑室分流至泌尿系统,
CM_0_1_4_1,CM-0-1-4-1,i,02.39脑室颅外分流术,
CM_0_1_4_1,CM-0-1-4-1,j,38.31血管部分切除伴吻合术（颅内）,
CM_0_1_4_1,CM-0-1-4-1,k,38.32血管部分切除伴吻合术（头和颈部）,
CM_0_1_4_1,CM-0-1-4-1,l,38.41血管部分切除伴置换术（颅内）,
CM_0_1_4_1,CM-0-1-4-1,m,38.61血管的其他切除术,
CM_0_1_4_1,CM-0-1-4-1,n,38.42血管部分切除伴置换术（头和颈部）,
CM_0_1_4_1,CM-0-1-4-1,o,39.51钳夹动脉瘤,
CM_0_1_4_1,CM-0-1-4-1,p,39.52动脉瘤其他修补术,
CM_0_1_4_2,CM-0-1-4-2,UTD,无,
CM_0_1_4_2,CM-0-1-4-2,1,01.3901 脑室钻孔引流术,
CM_0_1_4_2,CM-0-1-4-2,2,02.2100 脑室外引流[EVD]装置置入或置换,
CM_0_1_4_2,CM-0-1-4-2,3,02.2101 脑室外引流[EVD]装置置入术,
CM_0_1_4_2,CM-0-1-4-2,4,02.2102 脑室外引流[EVD]装置置换术,
CM_0_1_4_2,CM-0-1-4-2,5,02.2200 颅内脑室分流或吻合术,
CM_0_1_4_2,CM-0-1-4-2,6,02.2200x001 神经内镜下第三脑室底造瘘术,
CM_0_1_4_2,CM-0-1-4-2,7,02.2200x005 脑室-静脉窦分流术,
CM_0_1_4_2,CM-0-1-4-2,8,02.2200x006神经内镜下透明隔造瘘术,
CM_0_1_4_2,CM-0-1-4-2,9,02.2200x007脑室镜下蛛网膜囊肿开窗术,
CM_0_1_4_2,CM-0-1-4-2,10,02.2201 经胼胝体第三脑室造口引流术,
CM_0_1_4_2,CM-0-1-4-2,11,02.2202 神经内镜第三脑室造口术,
CM_0_1_4_2,CM-0-1-4-2,12,02.2203 第三脑室造口术,
CM_0_1_4_2,CM-0-1-4-2,13,02.2204 脑室Ommaya泵置入术,
CM_0_1_4_2,CM-0-1-4-2,14,02.2205 侧脑室脑池造口引流术,
CM_0_1_4_2,CM-0-1-4-2,15,02.2206 脑室脑池分流术,
CM_0_1_4_2,CM-0-1-4-2,16,02.2207 脑室蛛网膜下腔分流术,
CM_0_1_4_2,CM-0-1-4-2,17,02.2208 脑室造口术,
CM_0_1_4_2,CM-0-1-4-2,18,02.2209 脑室分流术,
CM_0_1_4_2,CM-0-1-4-2,19,02.2210 脑室小脑延髓池分流术,
CM_0_1_4_2,CM-0-1-4-2,20,02.2211 脑室胼胝体周围池分流术,
CM_0_1_4_2,CM-0-1-4-2,21,02.2212 脑室颈蛛网膜下腔分流术,
CM_0_1_4_2,CM-0-1-4-2,22,02.2213 脑室矢状窦分流术,
CM_0_1_4_2,CM-0-1-4-2,23,02.2214 内镜下脑室造口术,
CM_0_1_4_2,CM-0-1-4-2,24,02.2215 侧脑室枕大池分流术,
CM_0_1_4_2,CM-0-1-4-2,25,02.2216 透明隔造瘘术,
CM_0_1_4_2,CM-0-1-4-2,26,02.3100 脑室分流术至头和颈部结构,
CM_0_1_4_2,CM-0-1-4-2,27,02.3101 侧脑室乳突造口引流术,
CM_0_1_4_2,CM-0-1-4-2,28,02.3102 脑室乳突分流术,
CM_0_1_4_2,CM-0-1-4-2,29,02.3103 脑室鼻咽分流术,
CM_0_1_4_2,CM-0-1-4-2,30,02.3200 脑室分流至循环系统,
CM_0_1_4_2,CM-0-1-4-2,31,02.3200x001 脑室-颈外静脉分流术,
CM_0_1_4_2,CM-0-1-4-2,32,02.3201 脑室心房分流术,
CM_0_1_4_2,CM-0-1-4-2,33,02.3202 脑室腔静脉分流术,
CM_0_1_4_2,CM-0-1-4-2,34,02.3203 脑室颈静脉分流术,
CM_0_1_4_2,CM-0-1-4-2,35,02.3204 脑室颈外动脉分流术,
CM_0_1_4_2,CM-0-1-4-2,36,02.3300 脑室分流至胸腔,
CM_0_1_4_2,CM-0-1-4-2,37,02.3300x001 脑室-胸腔分流术,
CM_0_1_4_2,CM-0-1-4-2,38,02.3301 侧脑室胸腔造口引流术,
CM_0_1_4_2,CM-0-1-4-2,39,02.3400 脑室分流术至腹腔和腹部器官,
CM_0_1_4_2,CM-0-1-4-2,40,02.3400x002 脑室-腹腔分流术,
CM_0_1_4_2,CM-0-1-4-2,41,02.3401 侧脑室腹腔内分流术,
CM_0_1_4_2,CM-0-1-4-2,42,02.3402 脑室胆囊分流术,
CM_0_1_4_2,CM-0-1-4-2,43,02.3403 硬膜下腹腔分流术,
CM_0_1_4_2,CM-0-1-4-2,44,02.3404 脑室镜下脑室腹腔分流术,
CM_0_1_4_2,CM-0-1-4-2,45,02.3405 腹腔镜下脑室腹腔分流术,
CM_0_1_4_2,CM-0-1-4-2,46,02.3500 脑室分流至泌尿系统,
CM_0_1_4_2,CM-0-1-4-2,47,02.3501 脑室膀胱分流术,
CM_0_1_4_2,CM-0-1-4-2,48,02.3502 脑室输尿管分流术,
CM_0_1_4_2,CM-0-1-4-2,49,02.3900 脑室颅外分流术,
CM_0_1_4_2,CM-0-1-4-2,50,02.3901 脑室骨髓分流术,
CM_0_1_4_2,CM-0-1-4-2,51,38.3100 颅内血管部分切除伴吻合术,
CM_0_1_4_2,CM-0-1-4-2,52,38.3100x001 脑血管切除伴吻合术,
CM_0_1_4_2,CM-0-1-4-2,53,38.3101 颅内血管畸形切除伴吻合术,
CM_0_1_4_2,CM-0-1-4-2,54,38.3200 头和颈部的其他血管切除伴吻合术,
CM_0_1_4_2,CM-0-1-4-2,55,38.3200x002 颈内动脉瘤切除伴吻合术,
CM_0_1_4_2,CM-0-1-4-2,56,38.3201 颈动脉动脉瘤切除伴吻合术,
CM_0_1_4_2,CM-0-1-4-2,57,38.3202 颈动脉部分切除伴吻合术,
CM_0_1_4_2,CM-0-1-4-2,58,38.4100 颅内血管部分切除术伴置换术,
CM_0_1_4_2,CM-0-1-4-2,59,38.6100 颅内血管其他切除术,
CM_0_1_4_2,CM-0-1-4-2,60,38.6100x001 脊髓畸形血管切除术,
CM_0_1_4_2,CM-0-1-4-2,61,38.6100x002 颅内动脉瘤切除术,
CM_0_1_4_2,CM-0-1-4-2,62,38.6100x005椎管内畸形血管切除术,
CM_0_1_4_2,CM-0-1-4-2,63,38.6101 颅内血管畸形切除术,
CM_0_1_4_2,CM-0-1-4-2,64,38.4200 头和颈部的其他血管部分切除术伴置换术,
CM_0_1_4_2,CM-0-1-4-2,65,38.4200x001 颈动脉部分切除伴颈总-颈内动脉人工血管搭桥术,
CM_0_1_4_2,CM-0-1-4-2,66,38.4200x002 颈总动脉切除伴自体血管移植术,
CM_0_1_4_2,CM-0-1-4-2,67,38.4200x003 颈动脉部分切除伴颈总-颈内动脉自体血管搭桥术,
CM_0_1_4_2,CM-0-1-4-2,68,38.4201 颈动脉部分切除伴置换术,
CM_0_1_4_2,CM-0-1-4-2,69,38.4202 椎动脉瘤切除伴置换术,
CM_0_1_4_2,CM-0-1-4-2,70,38.4203 颈动脉动脉瘤切除伴置换术,
CM_0_1_4_2,CM-0-1-4-2,71,39.5100 钳夹动脉瘤,
CM_0_1_4_2,CM-0-1-4-2,72,39.5100x004 内窥镜下脑动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,73,39.5100x007 脑动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,74,39.5101 颈动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,75,39.5102 大脑前动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,76,39.5103 大脑中动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,77,39.5104 后交通动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,78,39.5105 基底动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,79,39.5106 椎动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,80,39.5107 前交通动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,81,39.5108 小脑上动脉瘤夹闭术,
CM_0_1_4_2,CM-0-1-4-2,82,39.5200 动脉瘤其他修补术,
CM_0_1_4_2,CM-0-1-4-2,83,39.5200x002 动脉瘤破裂修补术,
CM_0_1_4_2,CM-0-1-4-2,84,39.5200x003 动脉瘤孤立术,
