表代号,表名,选择字母,内容,
CM_0_1_3_1,CM-0-1-3-1,a,Z37.0 单一活产,
CM_0_1_3_1,CM-0-1-3-1,b,Z37.1 单一死产,
CM_0_1_3_1,CM-0-1-3-1,c,Z37.2 双胎，均为活产,
CM_0_1_3_1,CM-0-1-3-1,d,Z37.3 双胎，一为活产，一为死产,
CM_0_1_3_1,CM-0-1-3-1,e,Z37.4 双胎，均为死产,
CM_0_1_3_1,CM-0-1-3-1,f,Z37.5 其他多胎产，均为活产,
CM_0_1_3_1,CM-0-1-3-1,g,Z37.6 其他多胎产，某些为活产,
CM_0_1_3_1,CM-0-1-3-1,h,Z37.7 其他多胎产，均为死产,
CM_0_1_3_2,CM-0-1-3-2,UTD,无,
CM_0_1_3_2,CM-0-1-3-2,1,Z37.000单一活产,
CM_0_1_3_2,CM-0-1-3-2,2,Z37.000x001单胎活产,
CM_0_1_3_2,CM-0-1-3-2,3,Z37.001人工授精，单胎活产,
CM_0_1_3_2,CM-0-1-3-2,4,Z37.002试管婴儿，单胎活产,
CM_0_1_3_2,CM-0-1-3-2,5,Z37.100单一死产,
CM_0_1_3_2,CM-0-1-3-2,6,Z37.100x002单胎死产,
CM_0_1_3_2,CM-0-1-3-2,7,Z37.200双胎，均为活产,
CM_0_1_3_2,CM-0-1-3-2,8,Z37.200x003双胎活产,
CM_0_1_3_2,CM-0-1-3-2,9,Z37.201单卵双胎活产,
CM_0_1_3_2,CM-0-1-3-2,10,Z37.202双卵双胎活产,
CM_0_1_3_2,CM-0-1-3-2,11,Z37.203人工授精，双胎活产,
CM_0_1_3_2,CM-0-1-3-2,12,Z37.204试管婴儿，双胎活产,
CM_0_1_3_2,CM-0-1-3-2,13,Z37.300双胎，一为活产，一为死产,
CM_0_1_3_2,CM-0-1-3-2,14,"Z37.300x001双胎,一胎活产,一胎死产",
CM_0_1_3_2,CM-0-1-3-2,15,Z37.301双胎，一胎活产，一胎葡萄胎,
CM_0_1_3_2,CM-0-1-3-2,16,Z37.302人工授精，一胎活产，一胎死产,
CM_0_1_3_2,CM-0-1-3-2,17,Z37.303试管婴儿，一胎活产，一胎死产,
CM_0_1_3_2,CM-0-1-3-2,18,Z37.400双胎，均为死产,
CM_0_1_3_2,CM-0-1-3-2,19,Z37.400x001双胎死产,
CM_0_1_3_2,CM-0-1-3-2,20,Z37.500多胎产，均为活产，其他的,
CM_0_1_3_2,CM-0-1-3-2,21,Z37.500x001多胎活产,
CM_0_1_3_2,CM-0-1-3-2,22,Z37.501三胎活产,
CM_0_1_3_2,CM-0-1-3-2,23,Z37.502试管婴儿，三胎活产,
CM_0_1_3_2,CM-0-1-3-2,24,Z37.600多胎产，某些为活产，其他的,
CM_0_1_3_2,CM-0-1-3-2,25,"Z37.600x001多胎产,某些为活产",
CM_0_1_3_2,CM-0-1-3-2,26,Z37.600x011三胎妊娠，二胎死产,
